"","sort(unique(names(data_CoOccur_CA)))"
"1","Pyrene_uf_µg_L"
"2","PCB194_uf_µg_L"
"3","Perylene_uf_µg_L"
"4","Phosmet_uf_µg_L"
"5","PCB200_uf_µg_L"
"6","Heptachlor_uf_µg_L"
"7","PCB158_uf_µg_L"
"8","PCB195_uf_µg_L"
"9","PCB203_uf_µg_L"
"10","Fe_uf_µg_L"
"11","PCB201_uf_µg_L"
"12","Prallethrin_uf_µg_L"
"13","PCB209_uf_µg_L"
"14","Fenitrothion_uf_µg_L"
"15","PCB206_uf_µg_L"
"16","Fenchlorphos_uf_µg_L"
"17","PCB183_uf_µg_L"
"18","Prometon_uf_µg_L"
"19","Permethrin_cis_uf_µg_L"
"20","HCH_gamma_uf_µg_L"
"21","PCB189_uf_µg_L"
"22","Fenvalerate_uf_µg_L"
"23","Permethrin_uf_µg_L"
"24","Permethrin_trans_uf_µg_L"
"25","PhenanthreneAnthracene_C4_uf_µg_L"
"26","Heptachlor_epoxide_uf_µg_L"
"27","PhenanthreneAnthracene_C3_uf_µg_L"
"28","Fe_f_µg_L"
"29","Sulfotep_uf_µg_L"
"30","Phorate_uf_µg_L"
"31","Se_µg_g"
"32","Pheo_a_Particulate_µg_L"
"33","Hg_µg_g"
"34","PCB170_uf_µg_L"
"35","Hexachlorobenzene_uf_µg_L"
"36","PCB180_uf_µg_L"
"37","Tetrachloroethane_1112_uf_µg_L"
"38","PCB177_uf_µg_L"
"39","Tedion_uf_µg_L"
"40","PCB174_uf_µg_L"
"41","Prometryn_uf_µg_L"
"42","Indeno.123cd.pyrene_uf_µg_L"
"43","Thiobencarb_uf_µg_L"
"44","Sulfamerazine_uf_µg_L"
"45","Propylbenzene_n_uf_µg_L"
"46","Propazine_uf_µg_L"
"47","PCB187_uf_µg_L"
"48","Sulfathiazole_uf_µg_L"
"49","Naphthalenes_C1_uf_µg_L"
"50","Naphthalenes_C4_uf_µg_L"
"51","PCB015_uf_µg_L"
"52","Simetryn_uf_µg_L"
"53","Xylene_o_uf_µg_L"
"54","Xylene_mp_uf_µg_L"
"55","MicrocystinLY_uf_µg_L"
"56","Tokuthion_uf_µg_L"
"57","Trichlorfon_uf_µg_L"
"58","Ibuprofen_uf_µg_L"
"59","Parathion_Methyl_uf_µg_L"
"60","Terphenyl_d14_Surrogate_uf_µg_L"
"61","Simazine_uf_µg_L"
"62","Isopropyltoluene_p_uf_µg_L"
"63","Triclosan_uf_µg_L"
"64","Sb_µg_g"
"65","Secbumeton_uf_µg_L"
"66","Pb_µg_g"
"67","PhenanthreneAnthracene_C2_uf_µg_L"
"68","HCH_delta_uf_µg_L"
"69","PCB005_uf_µg_L"
"70","Merphos_uf_µg_L"
"71","Methyldibenzothiophene_4_uf_µg_L"
"72","Sulfamethazine_uf_µg_L"
"73","PCB008_uf_µg_L"
"74","PCB095_uf_µg_L"
"75","Ni_µg_g"
"76","Methylfluoranthene_2_uf_µg_L"
"77","PCB031_uf_µg_L"
"78","Methylnaphthalene_1_uf_µg_L"
"79","Trichloronate_uf_µg_L"
"80","Trichloroethylene_uf_µg_L"
"81","Sulfachloropyridazine_uf_µg_L"
