StationID_Master	Alg.Metrics.SampID	AlgalSampIdent	RepNum	CollDate	PollTolClass.1.tot	PollTolClass.2.tot	PollTolClass.3.tot	PollTolClass.11.tot	pHClass.2.tot	pHClass.3.tot	pHClass.4.tot	pHClass.5.tot	pHClass.6.tot	SalinityClass.1.tot	SalinityClass.2.tot	SalinityClass.3.tot	SalinityClass.4.tot	N_UptakeClass.1.tot	N_UptakeClass.2.tot	N_UptakeClass.3.tot	N_UptakeClass.4.tot	OxygenClass.1.tot	OxygenClass.2.tot	OxygenClass.3.tot	OxygenClass.4.tot	OxygenClass.5.tot	SaprobityClass.1.tot	SaprobityClass.2.tot	SaprobityClass.3.tot	SaprobityClass.4.tot	SaprobityClass.5.tot	TrophicClass.1.tot	TrophicClass.2.tot	TrophicClass.3.tot	TrophicClass.4.tot	TrophicClass.5.tot	TrophicClass.6.tot	TrophicClass.7.tot	MoistureClass.1.tot	MoistureClass.2.tot	MoistureClass.3.tot	MoistureClass.4.tot	MoistureClass.5.tot	MotilityClass.H.tot	MotilityClass.M.tot	MotilityClass.N.tot	MotilityClass.V.tot	PhosphorusClass.H.tot	PhosphorusClass.L.tot	NitrogenClass.H.tot	NitrogenClass.L.tot
LCBEN002.57	LCBEN002.57_2007-05-09_49_1	49	1	5/9/2007	0.3333	6.3333	3.3333	0	0	1.3333	8.1667	0.1667	0	0	9	0.6667	0	0.3333	9	0.3333	0	1.3333	1	7	0.3333	0	0	3.1667	0.3333	6.1667	0	0	0.1667	1.1667	0.1667	2.1667	0	6	0.5	0.8333	2.5	0	0	0.3333	2	7.6667	0	0.6667	1.1667	6.8333	1.6667
LCBRB006.74	LCBRB006.74_2007-06-20_56_1	56	1	6/20/2007	0.9852	11.8227	6.8966	0	0	2.2989	14.6141	2.7915	0	0	18.2266	1.4778	0	2.7915	13.7931	1.9704	0.821	1.4778	4.9261	12.6437	0.1642	0.1642	0	8.3744	3.1199	7.8818	0	0	0.3284	1.4778	1.4778	8.2102	0	8.2102	0.9852	5.4187	5.5829	0	0	3.1199	5.9113	10.6732	0	2.4631	3.1199	11.4943	4.9261
LCCHC081.26	LCCHC081.26_2007-06-18_57_1	57	1	6/18/2007	2.6359	7.2488	39.5387	0	0	1.4827	9.3904	38.2208	0	0	44.8105	4.2834	0	39.0445	7.5783	0.3295	2.1417	1.1532	39.374	8.0725	0.4942	0	0	44.9753	1.9769	1.9769	0.1647	0	0	0.3295	4.2834	41.6804	0.1647	2.6359	2.9654	33.1137	11.3674	0	0	4.7776	40.8567	2.9654	0.8237	5.9308	1.6474	6.2603	39.5387
LCCLE063.52	LCCLE063.52_2007-05-07_39_1	39	1	5/7/2007	1.9386	2.9079	13.2472	0	0	2.2617	8.4006	7.1082	0	0	15.832	1.9386	0	10.5008	5.4927	0.3231	0.8078	4.3619	8.5622	2.7464	1.454	0	0	13.4087	2.1002	1.6155	0	0	0.8078	1.2924	1.6155	13.4087	0	0.6462	1.7771	10.8239	4.5234	0	0	2.1002	10.6624	2.1002	3.231	2.2617	3.8772	2.4233	11.147
LCCOY000.71	LCCOY000.71_2007-04-11_48_1	48	1	4/11/2007	47.6667	21.5	9.3333	0	0	8.8333	69	0.3333	0	0	19.1667	57	2	0.5	24.1667	0.6667	46.8333	3.8333	15.3333	45.1667	11.1667	0	0.5	11.1667	47.8333	12.1667	5.5	0	8.6667	0.1667	6.6667	52.3333	7.1667	3	41.8333	11.8333	22.1667	1.8333	0	57	21	0.5	0	18.6667	8.5	19.1667	0
LCECL018.17	LCECL018.17_2007-05-01_52_1	52	1	5/1/2007	1.3333	5.3333	9.8333	0	0	2.8333	9	4.5	0	0.3333	14	2	0	4.5	9.8333	0.1667	1	1.3333	9.1667	4.6667	0.6667	0	0	11.8333	1	2.6667	0.3333	0	0.5	1.6667	2.1667	8.1667	0.3333	3.5	2	4.8333	7.1667	0	0	3.6667	8.3333	4.5	0	2.5	2	7.3333	6.5
LCECL021.13	LCECL021.13_2007-05-02_36_1	36	1	5/2/2007	0.3322	8.1395	23.2558	0	0	3.9867	10.1329	17.4419	0	0	30.897	0.6645	0	17.4419	13.1229	0.4983	0.1661	2.3256	20.598	7.6412	0.6645	0	0	24.7508	1.9934	4.3189	0.1661	0	0.3322	2.3256	2.8239	20.7641	0.1661	5.1495	0.4983	17.2757	9.3023	0	0	2.99	23.7542	4.9834	0	2.6578	2.8239	9.8007	19.7674
LCECL021.13	LCECL021.13_2016-05-02_95_1	95	1	5/2/2016	13.245	27.3179	37.7483	0	0.1656	17.8808	46.1921	7.2848	0	1.4901	66.3907	6.2914	0	8.9404	40.2318	11.0927	5.1325	17.5497	26.1589	11.755	10.4305	0	0.4967	44.3709	9.9338	14.7351	2.1523	0.6623	0.3311	1.8212	3.1457	40.0662	2.4834	22.1854	2.1523	10.7616	42.053	2.8146	0	14.404	30.4636	30.6291	0.9934	17.2185	8.2781	27.3179	24.3377
LCECL040.69	LCECL040.69_2007-04-30_30_1	30	1	4/30/2007	1.6393	11.4754	13.1148	0	0	1.8033	8.5246	15.9016	0	0	24.7541	1.4754	0	15.7377	8.1967	1.8033	0.4918	0	11.8033	13.4426	0.9836	0	0	18.5246	4.918	2.2951	0.4918	0	0	0	10.4918	12.2951	0.4918	2.9508	0.6557	2.9508	21.8033	0	0	2.9508	17.8689	5.4098	0	9.0164	0.9836	4.4262	18.5246
LCELR000.13	LCELR000.13_2007-06-12_55_1	55	1	6/12/2007	2.9801	15.3974	9.6026	0	0	6.7881	20.1987	0.4967	0	0	24.6689	2.8146	0	0.6623	23.0132	1.8212	1.9868	4.4702	7.6159	13.245	2.1523	0	0	12.9139	3.9735	9.106	1.4901	0	0.1656	4.1391	4.1391	8.4437	1.4901	9.106	0.4967	3.3113	15.3974	0.1656	0	6.2914	8.4437	13.0795	0.1656	2.9801	5.1325	17.2185	7.4503
LCELR007.19	LCELR007.19_2007-06-13_47_1	47	1	6/13/2007	2.9255	14.0957	5.1862	0	0	5.1862	16.4894	0.5319	0	1.0638	18.75	1.9947	0.3989	0.3989	17.2872	0.5319	1.0638	0.5319	7.5798	11.5691	0.6649	0	0.3989	7.9787	5.4521	6.25	0.3989	0	1.8617	1.0638	2.3936	7.1809	0.5319	9.1755	4.5213	2.7926	7.4468	0.6649	0	6.6489	2.1277	13.4309	0	3.0585	0.6649	8.7766	4.2553
