"COMID"	"Al2O3Cat"	"Al2O3Ws"	"BFICat"	"BFIWs"	"CompStrgthCat"	"CompStrgthWs"	"KffactCat"	"KffactWs"	"Na2OWs"	"PctSilicicWs"	"SandCat"	"SandWs"	"SiO2Cat"	"SiO2Ws"	"Tmax8110Cat"	"Tmax8110Ws"	"Tmean08Cat"	"Tmean08Ws"	"Tmean09Cat"	"Tmean09Ws"	"Tmean8110Cat"	"Tmean8110Ws"	"Tmin8110Cat"	"Tmin8110Ws"	"WtDepCat"	"WtDepWs"	"CaOCat"	"CaOWs"	"CatAreaSqKm"	"CatAreaSqKmRp100"	"ClayCat"	"ClayWs"	"Fe2O3Cat"	"Fe2O3Ws"	"HydrlCondCat"	"HydrlCondWs"	"K2OCat"	"MgOCat"	"MgOWs"	"Na2OCat"	"OmCat"	"OmWs"	"PctNonCarbResidCat"	"PctNonCarbResidWs"	"PctSilicicCat"	"PermCat"	"PermWs"	"Precip08Cat"	"Precip08Ws"	"Precip09Cat"	"Precip09Ws"	"Precip8110Cat"	"Precip8110Ws"	"QC_01"	"QC_02"	"QC_03"	"QC_04"	"QC_05"	"QC_06"	"QC_07"	"QC_08"	"QC_09"	"QC_10"	"QC_11"	"QC_12"	"QC_MA"	"RckDepCat"	"RckDepWs"	"RunoffCat"	"RunoffWs"	"WetIndexCat"	"WetIndexWs"	"WsAreaSqKm"	"WsAreaSqKmRp100"	"ElevCat"	"ElevWs"	"K2OWs"	"NCat"	"NWs"	"P2O5Cat"	"P2O5Ws"	"SCat"	"SLOPE"	"SWs"	"clust"
1385930	5.51845884323202	5.81039052787094	44	43.7430033537643	93.4645538330294	87.7502210041055	0.32	0.2470469527	0.389654414967619	0	44.44	50.2056817393316	44.9755020141844	44.4739193071296	20.3908784106	19.6143701589	12.8419792297	12.548941241	12.9423948179	12.6512055796	13.0227408249	12.6385764431	5.65210473622	5.65757817464	182.88	182.88	2.82325536358532	2.84906223809469	0.635676953405395	0.111451925294143	2.23964529322017	2.59842362027194	1.14708461685837	1.15343835674924	0.140770131160106	0.134292346263172	0.852347228175586	1.70477973638544	1.67290171126568	0.319039007469013	0.0582689081239758	0.172152354412967	4.61512051684126	4.59983273360693	0	2.70604819843154	2.58014280617286	4.63075551821008	4.70430090806291	4.65004589882279	4.65542602685229	4.8783278595427	4.9455985150177	0	0	1.72365905652412	0.0421011760186354	0.55790003115192	0	0.608133806232989	0.608133806232989	0.608133806232989	0.608133806232989	0.538829820175588	0	0.385262400790645	5.03304888893316	4.62471498918117	1.09861228866811	1.09861228866811	6.07695881642568	5.99424873721366	4.14722792511376	2.04303685978604	39.8778474256071	41.1670613490932	1.16560645328048	0.25337324684988	0.254589170412696	0.348318818754428	0.344390201646451	0.404487325435161	0.119427258195104	0.392716451911923	"1"
1385944	5.51845884322813	5.68382484298658	43.926488214143	43.5086286940095	93.4645538327341	90.2276446143502	0.286079371421	0.252685300804	0.383650058531041	0	52.9117938473831	52.8514218935101	44.975502014183	44.6913782614542	20.0394751448	19.668401252	12.6971122502	12.5795662065	12.7884286843	12.6677375853	12.9307888511	12.6762284338	5.81802762674	5.67918379291	182.88	182.88	2.82325536358357	2.83795546542869	2.67526526715616	0.672638303928405	2.35906712655935	2.53793849860982	1.14708461685868	1.15068867675513	0.140770131159887	0.137105915152554	0.852347228178345	1.70477973638598	1.68684724081371	0.319039007469117	0.141924540578983	0.176469559688179	4.61512051684126	4.58982329765746	0	2.78204678325254	2.67233468687585	4.64402373083949	4.67210210430797	4.64936988676967	4.65124197596214	4.86242120466709	4.90077611200294	0	0	1.13365763041091	0	0.260824618281898	0	0.319907219746518	0.319907219746518	0.319907219746518	0.319907219746518	0.316998126785834	0	0.183154543097847	4.89635417987673	4.69625735512971	1.09861228866811	1.09861228866811	6.09778395166712	6.0321523668416	3.37107145196757	1.31849720305407	40.3885459723422	41.049084579318	1.16309431819341	0.253373246849788	0.25406272671983	0.348318818754603	0.346098912000005	0.404487325435883	0.119022980974264	0.397862425754715	"1"
1385946	5.51845884323144	5.92515301864379	44	43.9342190713281	93.4645538331878	85.5038356234441	0.32	0.240333369412	0.395098820380994	0	44.44	48.1236470397229	44.9755020139738	44.2767400224591	20.5424800939	19.5479677675	12.8201492884	12.5152325592	12.9314251821	12.6294567995	12.9306640917	12.5964951879	5.31233005651	5.63946458031	182.88	182.88	2.8232553635836	2.85902767942793	0.18739201360706	0.103368532977033	2.23964529322017	2.65447750181747	1.14708461685858	1.15592508940715	0.140770131159908	0.131734302319364	0.852347228176639	1.70477973638244	1.66008635743917	0.319039007469189	0.0582689081239758	0.171370253854175	4.61512051684126	4.60780660367581	0	2.70604819843154	2.49108964591592	4.65697421701848	4.73257031635138	4.64914481386131	4.65909132715235	4.86788574529817	4.98364769811127	0	0	1.44172906800799	0.0421011760186354	0.368109321564395	0	0.369492447649347	0.369492447649347	0.369492447649347	0.369492447649347	0.365337317017385	0	0.232697764119021	5.03304888893316	4.54551214130988	1.09861228866811	1.09861228866811	6.08910428609243	5.95867169139397	3.53399016825105	1.58068858248144	39.4813576039376	41.3003022200807	1.16787964178375	0.253373246849808	0.255065580020538	0.348318818754102	0.342833479290464	0.404487325435533	0.166631179555328	0.387991382029581	"1"
1385968	5.51845884323604	5.87925006867164	44	44	93.4645538329949	86.4023497207907	0.32	0.249436197216	0.392921155294977	0	44.44	42.7888377817091	44.9755020142132	44.3556082204446	20.3788697029	19.5336963816	12.8197069168	12.7117927406	12.9312028885	12.8309988012	12.9805084981	12.6018319704	5.57772277697	5.66380182496	182.88	182.88	2.82325536358235	2.85505358965308	0.536025424787733	0.259359755447192	2.23964529322017	2.67153769908252	1.14708461685644	1.15493118261089	0.140770131160335	0.132758259637429	0.852347228177407	1.70477973638472	1.66523199488547	0.319039007469426	0.0582689081239758	0.137447068399978	4.61512051684126	4.59729447264433	0	2.70604819843154	2.35018944406207	4.65749848229382	4.69132808881307	4.64912654547751	4.66315685974996	4.88830022901396	4.97643537801089	0	0	0.894862784460535	0	0.14583044821154	0	0.14583044821154	0.14583044821154	0.14583044821154	0.14583044821154	0.14583044821154	0	0.0870947068509338	5.03304888893316	4.55390065467243	1.09861228866811	1.09861228866811	6.19086395720945	5.72182123938521	2.54167285709539	1.15313203911056	39.7312095228675	41.3492568893324	1.16697093827202	0.253373246849707	0.254875131530705	0.348318818754241	0.343456987166792	0.404487325435318	0.0965405096319674	0.389888197284577	"1"
1385984	5.51845884322791	5.51845884322791	44.0639625585023	44.0639625585023	93.4645538327897	93.4645538327897	0.296218976032	0.296218976032	0.375804990529712	0	43.6813033612254	43.6813033612254	44.9755020141824	44.9755020141824	20.3129685005	20.3129685005	12.8486186052	12.8486186052	12.9832892946	12.9832892946	12.9576982042	12.9576982042	5.59758690762	5.59758690762	182.88	182.88	2.82325536358424	2.82325536358424	2.61679711349143	0.762626600329749	2.39049018126918	2.39049018126918	1.1470846168585	1.1470846168585	0.140770131160329	0.140770131160329	0.852347228178093	1.70477973638518	1.70477973638518	0.319039007468885	0.0813374845490518	0.0813374845490518	4.61512051684126	4.61512051684126	0	2.60748834584258	2.60748834584258	4.70327304516715	4.70327304516715	4.70554969489499	4.70554969489499	4.94127723124934	4.94127723124934	0	0	0.936485439159674	0	0.136277618292548	0	0.157003748809665	0.157003748809665	0.157003748809665	0.157003748809665	0.157003748809665	0	0.0925791812930932	4.91221428483563	4.91221428483563	1.09861228866811	1.09861228866811	6.0721225809603	6.0721225809603	2.61679711349143	0.762626600329749	40.0104033592515	40.0104033592515	1.15980385717078	0.253373246849759	0.253373246849759	0.348318818754676	0.348318818754676	0.404487325435661	0.144227597913853	0.404487325435661	"1"
1386014	5.95423154931299	5.95423154931299	43.897538565287	43.897538565287	84.9346462850881	84.9346462850881	0.234576414061	0.234576414061	0.396478324334907	0	51.0824858804687	51.0824858804687	44.2267787165978	44.2267787165978	19.5461890844	19.5461890844	12.404581592	12.404581592	12.5161044298	12.5161044298	12.5903454707	12.5903454707	5.62928609631	5.62928609631	182.88	182.88	2.86153703292434	2.86153703292434	3.10697843476934	0.948293147999649	2.6483072064	2.6483072064	1.15655419725048	1.15655419725048	0.131085104506617	0.131085104506617	0.860899325659035	1.65681295425169	1.65681295425169	0.333953584861159	0.190495301542703	0.190495301542703	4.61344990017068	4.61344990017068	0	2.5584688565161	2.5584688565161	4.75515566776328	4.75515566776328	4.65695226624286	4.65695226624286	4.98862822210914	4.98862822210914	0	0	1.19270961204723	0.0421011760186354	0.25231392861399	0	0.25231392861399	0.25231392861399	0.25231392861399	0.25231392861399	0.247641022914597	0	0.157003748809665	4.53477449336104	4.53477449336104	1.09861228866811	1.09861228866811	6.06682258808393	6.06682258808393	3.10697843476934	0.948293147999649	41.2906293719289	41.2906293719289	1.16845492026308	0.255186151500679	0.255186151500679	0.342437913096132	0.342437913096132	0.386784977650617	0.139661411993435	0.386784977650617	"1"
1386042	7.63743710870039	4.7351164089399	43	42.9912413168227	30.3885126893385	64.5790689359028	0.237237354086	0.158946424918	0.296091207950039	0	55.7615875486381	58.695136933584	42.641654588249	33.2507966103214	19.9378162102	18.498353264	12.4691771763	11.1828906203	12.6038019796	11.4044797266	12.4951482654	11.3242060686	5.04964240627	4.14514380389	182.88	182.88	2.39314292067398	3.028322562107	0.768486537105761	0.163223681102014	2.54749470482757	2.51366969486583	2.39520516812304	1.19048337341786	4.47505016737351	1.50049991615868	0.958260064665889	1.83794487248569	2.21670334381754	0.634148907313261	0.202899550362415	0.20717510892946	3.25734797896335	4.59056111226925	0	2.7298512879179	3.06260775798974	5.03642971900665	5.50424930489334	4.72224925698615	5.00975606036353	5.21550033809473	5.51972456969387	0	0.938443536515288	2.11239264181952	2.23879295990627	0.807368324649968	0.0109399400383344	1.09058011697085	0.534737443812304	0.501986675098786	0.6270073780554	0.711478137244669	0	0.726098280699631	4.6596382525696	4.67885873038716	1.09861228866811	1.09861228866811	6.16857638304189	5.86238078278216	4.53664399130486	2.25257518523977	40.8755800301354	43.6822699724957	1.08090829986216	0.509521190817251	0.264782399319498	0.382334762668459	0.36012759044434	0.245310009297059	0.0920242359381484	0.503950166017257	"1"
1386044	7.2462736691164	5.28877785687496	43	43.3844008870915	64.7731731448598	62.9307007015198	0.168067119796	0.15491406301	0.315197363942339	0	66.6159855564996	49.966579479486	44.6645329553951	34.8801878607071	19.4400814554	17.7901937136	10.9428493853	10.4101535229	11.1936332837	10.7043253566	12.0719282175	10.7354514158	4.70141962005	3.67656424299	182.88	182.88	2.71612738219175	3.01972730999196	1.13738418316865	0.250291683233222	2.14979330254237	2.77154997806911	1.22534564028506	1.12179154466791	0.132209221877092	0.213113687369115	0.909914881308902	1.67400239210263	2.1129665742009	0.35627455752546	0.200020140187982	0.232147056736688	4.61512051684126	4.61512051684126	0	3.37093245790134	2.6325366917875	5.63894809433617	5.74709476537172	5.18189481739942	5.24599431078029	5.42499349196809	5.71295944325473	0.115112807100505	1.47086526257016	1.77053583277643	1.97269117173296	0.555033878430311	0	0.815364813284195	0.848868055556721	0.417393678973438	0.498955451195503	0.498348102254878	0	0.559044196036465	4.97911344172138	4.2643318336712	1.09861228866811	1.09861228866811	6.00063435522459	5.6930070181885	4.02876727953629	2.1718155971047	41.9619714453456	44.9046078974085	1.10443262917748	0.275777735343084	0.254574085798482	0.353933661889756	0.3531269159987	1.33293745470214	0.136413232495972	0.606671698117834	"1"
1386046	7.2051894170581	7.2051894170581	43	43	65.917332157602	65.917332157602	0.168564070869	0.168564070869	0.424077065984755	0	66.566920065925	66.566920065925	44.9112735618047	44.9112735618047	18.6911371492	18.6911371492	11.1575082418	11.1575082418	11.3965216048	11.3965216048	11.5732155108	11.5732155108	4.45180286471	4.45180286471	182.88	182.88	2.69285370044826	2.69285370044826	1.68056716689562	0.57627622882853	2.19208250527587	2.19208250527587	1.22719163562162	1.22719163562162	0.135106361018722	0.135106361018722	0.910727117011927	1.68906300243163	1.68906300243163	0.3535239308967	0.201127945666303	0.201127945666303	4.61512051684126	4.61512051684126	0	3.34515540973649	3.34515540973649	5.55692641500555	5.55692641500555	5.08900849009811	5.08900849009811	5.48831248431225	5.48831248431225	0	0.313349819200359	0.0563803334361076	0.0525924501191706	0.0563803334361076	0	0.0563803334361076	0.0582689081239758	0.0582689081239758	0.0806579030174545	0.0563803334361076	0	0.0449733656427312	4.95319662576292	4.95319662576292	1.09861228866811	1.09861228866811	5.87103431479626	5.87103431479626	1.68056716689562	0.57627622882853	43.2083452124702	43.2083452124702	1.21906914629596	0.276604269443052	0.276604269443052	0.356343832513394	0.356343832513394	1.37427854675269	0.179191796687237	1.37427854675269	"1"
1386050	7.18255361570632	5.03173360277922	43	43.4356013009092	66.5477186154275	62.5826651995713	0.18	0.153117562274	0.300524467772932	0	69.2770446096654	47.753356863035	45.0472178973978	33.55482681499	19.283232111	17.6376137892	10.935344696	10.3199468213	11.1919765472	10.6209534989	11.9573297554	10.6021715484	4.6271531347	3.56244794046	182.88	182.88	2.67979555044242	3.05548003725436	0.394875906553896	0.0542987734073788	2.0515563381903	2.82943087811991	1.22820725210359	1.10696598850124	0.136698991441628	0.22317459628578	0.91117434511248	1.69726490408922	2.15836650895181	0.352005205326569	0.198850858745165	0.236253484474747	4.61512051684126	4.61512051684126	0	3.42458833445273	2.48084178955119	5.60677109072837	5.76688997590743	5.12405779838902	5.26160403969357	5.45102517893682	5.74147992807476	0.115112807100505	1.3865443298751	1.69064916785892	1.91323936676576	0.5031965966015	0	0.775648402071689	0.80692219481879	0.392717535285662	0.462475362824944	0.454889991435687	0	0.518198378095404	5.03304888893316	4.12007866663673	1.09861228866811	1.09861228866811	6.02858303784123	5.65929908480053	3.90609346037105	2.04257006690393	42.1369887134807	45.1768653301665	1.08829295975492	0.277058603596026	0.251533653669302	0.357664802249299	0.352801773956288	1.39653307239258	0.112574197754192	0.412775099529956	"1"
