"FinalID"	"Phylum"	"Class"	"Subclass"	"Order"	"Family"	"Tribe"	"Genus"	"Species"	"Variety"	"Poll_Tol_Class"	"pH_class"	"Salinity_class"	"Nitrogen_Uptake_class"	"Oxygen_class"	"Saprobity_class"	"Trophic_class"	"Moisture_class"	"Motility_class"	"Phosphorus_class"	"Nitrogen_class"	"TaxaGroup"	"GroupName"
"Achnanthes"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	""	""	3	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	"Achnanthes"
"Achnanthes subhudsonis var. kraeuselii"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"subhudsonis"	"kraeuselii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes affinis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"affinis"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes clevei"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"clevei"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes daonensis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"daonensis"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes deflexa"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"deflexa"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes detha"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"detha"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes exigua"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"exigua"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes flexella"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"flexella"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes girdle sp."	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"girdle"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
