ANALYSIS_TYPE	CHEMICAL_NAME	FinalUnit	StdParamName	Category	LogTransf	SSD	SSTV	SensMin	SensMax	TolMin	TolMax	UseInStressorID
TOTAL	BOD	MG/L	BOD_uf_mg_L	Bacteria	1	0						1
TOTAL	E. COLI	CFU/100	Ecoli_uf_CFU_100	Bacteria	1	0						1
TOTAL	E. COLI	MG/L	Ecoli_uf_mg_L	Bacteria	1	0						0
TOTAL	"ALKALINITY, PHENOLPHTHALEIN"	MG/L	Alkalinity_phenolphthalein_uf_mg_L	Ions	1	0						1
CALCULATED	CALCIUM CARBONATE	MG/L	CaCO3_calc_mg_L	Ions	1	0						1
DISSOLVED	CALCIUM CARBONATE	MG/L	CaCO3_f_mg_L	Ions	1	0						1
STANDARD	CALCIUM CARBONATE	MG/L	CaCO3_mg_L	Ions	1	0						1
OTHER	CALCIUM CARBONATE	MG/L	CaCO3_other_mg_L	Ions	1	0						1
TOTAL	CALCIUM CARBONATE	MG/L	CaCO3_uf_mg_L	Ions	1	0						1
DISSOLVED	CALCIUM	MG/L	Calcium_f_mg_L	Ions	1	0						1
TOTAL	CALCIUM	MG/L	Calcium_uf_mg_L	Ions	1	0						1
TOTAL	CARBONATE	MG/L	Carbonate_uf_mg_L	Ions	1	0						1
TOTAL	CHLORIDE	MG/L	Chloride_uf_mg_L	Ions	1	0						1
OTHER	CHLORINE	MG/L	Chlorine_other_mg_L	Ions	1	0						1
TOTAL	CHLORINE	MG/L	Chlorine_uf_mg_L	Ions	1	0						1
TOTAL	CYANIDE	MG/L	Cyanide_uf_mg_L	Ions	1	0						1
DISSOLVED	FLUORIDE	MG/L	Fluoride_f_mg_L	Ions	1	0						1
TOTAL	FLUORIDE	MG/L	Fluoride_uf_mg_L	Ions	1	0						1
CALCULATED	HARDNESS (CACO3 + MGCO3)	MG/L	Hardness_CaCO3_MgCO3_calc_mg_L	Ions	1	0						1
DISSOLVED	HARDNESS (CACO3 + MGCO3)	MG/L	Hardness_CaCO3_MgCO3_f_mg_L	Ions	1	0						1
TOTAL	HYDROGEN CARBONATE	MG/L	HydrogenCarbonate_uf_mg_L	Ions	1	0						1
DISSOLVED	POTASSIUM	MG/L	Potassium_f_mg_L	Ions	1	0						1
TOTAL	POTASSIUM	MG/L	Potassium_uf_mg_L	Ions	1	0						1
DISSOLVED	SODIUM	MG/L	Sodium_f_mg_L	Ions	1	0						1
TOTAL	SODIUM	MG/L	Sodium_uf_mg_L	Ions	1	0						1
TOTAL	SULFATE	MG/L	Sulfate_uf_mg_L	Ions	1	0						1
DISSOLVED	ALUMINUM	MG/L	Aluminum_f_mg_L	Metals_metalloids	1	0						1
TOTAL	ALUMINUM	UG/L	Aluminum_uf_ug_L	Metals_metalloids	1	0						1
DISSOLVED	ANTIMONY	MG/L	Antimony_f_mg_L	Metals_metalloids	1	0						1
TOTAL	ANTIMONY	MG/L	Antimony_uf_mg_L	Metals_metalloids	1	0						1
CALCULATED	"ARSENIC, INORGANIC"	MG/KG	Arsenic_inorg_calc_mg_kg	Metals_metalloids	1	0						0
DISSOLVED	"ARSENIC, INORGANIC"	UG/L	Arsenic_inorg_f_ug_L	Metals_metalloids	1	1						1
SUSPENDED	"ARSENIC, INORGANIC"	UG/L	Arsenic_inorg_susp_ug_L	Metals_metalloids	1	1						1
TOTAL	"ARSENIC, INORGANIC"	UG/L	Arsenic_inorg_uf_ug_L	Metals_metalloids	1	1						1
CALCULATED	BARIUM AND COMPOUNDS	MG/KG	Barium_cmpds_calc_mg_kg	Metals_metalloids	1	0						0
DISSOLVED	BARIUM AND COMPOUNDS	UG/L	Barium_cmpds_f_ug_L	Metals_metalloids	1	0						1
TOTAL	BARIUM AND COMPOUNDS	UG/L	Barium_cmpds_uf_ug_L	Metals_metalloids	1	0						1
CALCULATED	BERYLLIUM AND COMPOUNDS	MG/KG	Beryllium_cmpds_calc_mg_kg	Metals_metalloids	1	0						0
DISSOLVED	BERYLLIUM AND COMPOUNDS	MG/L	Beryllium_cmpds_f_mg_L	Metals_metalloids	1	0						1
TOTAL	BERYLLIUM AND COMPOUNDS	MG/L	Beryllium_cmpds_uf_mg_L	Metals_metalloids	1	0						1
DISSOLVED	BORON (BORON AND BORATES ONLY)	MG/L	Boron_borates_f_mg_L	Metals_metalloids	1	0						1
TOTAL	BORON (BORON AND BORATES ONLY)	MG/L	Boron_borates_uf_mg_L	Metals_metalloids	1	0						1
CALCULATED	CADMIUM	MG/KG	Cadmium_calc_mg_kg	Metals_metalloids	1	0						0
DISSOLVED	CADMIUM	MG/L	Cadmium_f_mg_L	Metals_metalloids	1	1						1
TOTAL	CADMIUM	MG/L	Cadmium_uf_mg_L	Metals_metalloids	1	1						1
CALCULATED	CHROMIUM	MG/KG	Chromium_calc_mg_kg	Metals_metalloids	1	0						0
DISSOLVED	CHROMIUM	MG/L	Chromium_f_mg_L	Metals_metalloids	1	1						1
STANDARD	CHROMIUM	MG/L	Chromium_mg_L	Metals_metalloids	1	1						1
TOTAL	CHROMIUM	MG/L	Chromium_uf_mg_L	Metals_metalloids	1	1						1
DISSOLVED	COBALT	MG/L	Cobalt_f_mg_L	Metals_metalloids	1	0						1
TOTAL	COBALT	UG/L	Cobalt_uf_ug_L	Metals_metalloids	1	0						1
DISSOLVED	COPPER	UG/L	Copper_f_ug_L	Metals_metalloids	1	1						1
TOTAL	COPPER	MG/KG	Copper_uf_mg_kg	Metals_metalloids	1	0						0
TOTAL	COPPER	UG/L	Copper_uf_ug_L	Metals_metalloids	1	1						1
DISSOLVED	IRON	MG/L	Iron_f_mg_L	Metals_metalloids	1	0						1
TOTAL	IRON	UG/L	Iron_uf_ug_L	Metals_metalloids	1	0						1
TOTAL	LEAD AND COMPOUNDS (INORGANIC)	MG/L	Lead_cmpdsInorg_uf_mg_L	Metals_metalloids	1	1						1
CALCULATED	LEAD AND COMPOUNDS (INORGANIC)	MG/KG	Lead_cmpdsInorg_calc_mg_kg	Metals_metalloids	1	0						0
DISSOLVED	LEAD AND COMPOUNDS (INORGANIC)	MG/L	Lead_cmpdsInorg_f_mg_L	Metals_metalloids	1	1						1
SUSPENDED	LEAD AND COMPOUNDS (INORGANIC)	MG/L	Lead_cmpdsInorg_susp_mg_L	Metals_metalloids	1	1						1
DISSOLVED	MAGNESIUM	MG/L	Magnesium_f_mg_L	Metals_metalloids	1	0						1
TOTAL	MAGNESIUM	MG/L	Magnesium_uf_mg_L	Metals_metalloids	1	0						1
DISSOLVED	MANGANESE	UG/L	Manganese_f_ug_L	Metals_metalloids	1	0						1
TOTAL	MANGANESE	UG/L	Manganese_uf_ug_L	Metals_metalloids	1	0						1
CALCULATED	"MERCURY, ELEMENTAL"	MG/KG	Mercury_elemental_calc_mg_kg	Metals_metalloids	1	0						0
DISSOLVED	"MERCURY, ELEMENTAL"	MG/L	Mercury_elemental_f_mg_L	Metals_metalloids	1	1						1
SUSPENDED	"MERCURY, ELEMENTAL"	MG/KG	Mercury_elemental_susp_mg_kg	Metals_metalloids	1	0						0
TOTAL	"MERCURY, ELEMENTAL"	MG/L	Mercury_elemental_uf_mg_L	Metals_metalloids	1	1						1
TOTAL	"MERCURY, ELEMENTAL"	NG/G	Mercury_elemental_uf_ng_g	Metals_metalloids	1	0						0
TOTAL	METHYLMERCURY	NG/G	Methylmercury_uf_ng_g	Metals_metalloids	1	0						0
TOTAL	METHYLMERCURY	NG/L	Methylmercury_uf_ng_L	Metals_metalloids	1	1						1
DISSOLVED	MOLYBDENUM	MG/L	Molybdenum_f_mg_L	Metals_metalloids	1	0						1
TOTAL	MOLYBDENUM	UG/L	Molybdenum_uf_ug_L	Metals_metalloids	1	0						1
CALCULATED	NICKEL	MG/KG	Nickel_calc_mg_kg	Metals_metalloids	1	0						0
DISSOLVED	NICKEL	MG/L	Nickel_f_mg_L	Metals_metalloids	1	1						1
TOTAL	NICKEL	UG/L	Nickel_uf_ug_L	Metals_metalloids	1	1						1
CALCULATED	SELENIUM AND COMPOUNDS	MG/KG	Selenium_cmpds_calc_mg_kg	Metals_metalloids	1	0						0
DISSOLVED	SELENIUM AND COMPOUNDS	MG/L	Selenium_cmpds_f_mg_L	Metals_metalloids	1	1						1
TOTAL	SELENIUM AND COMPOUNDS	MG/L	Selenium_cmpds_uf_mg_L	Metals_metalloids	1	1						1
CALCULATED	SILVER	MG/KG	Silver_calc_mg_kg	Metals_metalloids	1	0						0
DISSOLVED	SILVER	MG/L	Silver_f_mg_L	Metals_metalloids	1	0						1
TOTAL	SILVER	MG/L	Silver_uf_mg_L	Metals_metalloids	1	0						1
DISSOLVED	STRONTIUM	MG/L	Strontium_f_mg_L	Metals_metalloids	1	0						1
DISSOLVED	THALLIUM	MG/L	Thallium_f_mg_L	Metals_metalloids	1	0						1
TOTAL	THALLIUM	MG/L	Thallium_uf_mg_L	Metals_metalloids	1	0						1
DISSOLVED	"URANIUM, NATURAL"	UG/L	Uranium_natural_f_ug_L	Metals_metalloids	1	0						1
TOTAL	"URANIUM, NATURAL"	UG/L	Uranium_Natural_uf_ug_L	Metals_metalloids	1	0						1
