StationID_Master	Group	SampYear	ChemSampleID	SampDate	BenCollDate	IBI	124Trichlorobenzene_uf_ug_L	12Dichlorobenzene_uf_ug_L	13Dichlorobenzene_uf_ug_L	14Dichlorobenzene_uf_ug_L	245Trichlorophenol_uf_ug_L	246Trichlorophenol_uf_ug_L	24Dichlorophenol_uf_ug_L	24Dimethylphenol_uf_ug_L	24Dinitrophenol_uf_ug_L	24Dinitrotoluene_uf_ug_L	26Dinitrotoluene_uf_ug_L	2Chlorophenol_uf_ug_L	2Methylnaphthalene_uf_ug_L	2Methylphenol_uf_ug_L	2Nitroaniline_uf_ug_L	2Nitrophenol_uf_ug_L	33primeDichlorobenzidine_uf_ug_L	3Nitroaniline_uf_ug_L	4Chlorophenylphenylether_uf_ug_L	4Methylphenol_uf_ug_L	4Nitroaniline_uf_ug_L	Acenaphthene_uf_ug_L	Acenaphthylene_uf_ug_L	Aldrin_uf_ug_L	Alkalinity_phenolphthalein_uf_mg_L	Alpha_grossAsUNatural_calc_pCi_L	Alpha_grossAsUNatural_uf_pCi_L	alphaHexachlorocyclohexane_uf_ug_L	Aluminum_f_mg_L	Aluminum_uf_ug_L	Ammonia_N_calc_mg_kg	Aniline_uf_ug_L	Anthracene_uf_ug_L	Antimony_f_mg_L	Antimony_uf_mg_L	Arsenic_inorg_calc_mg_kg	Arsenic_inorg_f_ug_L	Arsenic_inorg_susp_ug_L	Arsenic_inorg_uf_ug_L	Azobenzene_uf_ug_L	Barium_cmpds_calc_mg_kg	Barium_cmpds_f_ug_L	Barium_cmpds_uf_pCi_L	Barium_cmpds_uf_ug_L	BarometricPressure_mmHg	Benzo_a_antracene_uf_ug_L	Benzo_a_pyrene_uf_ug_L	Benzo_b_flouranthene_uf_ug_L	Benzo_ghi_perylene_uf_ug_L	Benzo_k_fluoranthene_uf_ug_L	BenzoicAcid_uf_ug_L	BenzylAlcohol_uf_ug_L	Beryllium_cmpds_calc_mg_kg	Beryllium_cmpds_f_mg_L	Beryllium_cmpds_uf_mg_L	Beta_radiation_calc_pCi_L	Beta_radiation_uf_pCi_L	betaChloronapthalene_uf_ug_L	betaHexachlorocyclohexane_uf_ug_L	Bis_2chloroethoxy_methane_uf_ug_L	Bis_2chloroisopropyl_ether_uf_ug_L	Bis_chloroethyl_ether_uf_ug_L	Bismuth_f_pCi_L	BOD_uf_mg_L	Bolstar_uf_ug_L	Boron_borates_f_mg_L	Boron_borates_uf_mg_L	ButylBenzylPhthalate_uf_ug_L	CaCO3_calc_mg_L	CaCO3_f_mg_L	CaCO3_mg_L	CaCO3_other_mg_L	CaCO3_uf_mg_L	Cadmium_calc_mg_kg	Cadmium_f_mg_L	Cadmium_uf_mg_L	Caffeine_f_mg_L	Calcium_f_mg_L	Calcium_uf_mg_L	Carbazole_uf_ug_L	Carbon_calc_%	Carbon_f_mg_L	Carbon_uf_mg_L	Carbonate_uf_mg_L	Cesium_134_uf_pCi_L	Cesium_137_uf_pCi_L	Chlordane_cis_uf_ug_L	Chlordane_gamma_uf_ug_L	Chlordane_uf_ug_L	Chloride_uf_mg_L	Chlorine_other_mg_L	Chlorine_uf_mg_L	Chlorophyll_a_uf_ug_L	Chlorpyrifos_uf_ug_L	Chromium_calc_mg_kg	Chromium_f_mg_L	Chromium_mg_L	Chromium_uf_mg_L	Chrysene_uf_ug_L	Cobalt_58_uf_pCi_L	Cobalt_60_uf_pCi_L	Cobalt_f_mg_L	Cobalt_uf_ug_L	Copper_f_ug_L	Copper_uf_mg_kg	Copper_uf_ug_L	Coumaphos_uf_ug_L	CrossSectionalArea_calc	Cyanide_uf_mg_L	deltaHexachlorocyclohexane_uf_ug_L	Demeton_o_uf_ug_L	Demeton_s_total_uf_ug_L	Depth_ft	Di_2ethylhexylPhthalate_uf_ug_L	Di_n_octylPhthalate_uf_ug_L	Diazinon_uf_ug_L	Dibenz_ah_anthracene_uf_ug_L	Dibenzofuran_uf_ug_L	DibutylPhthalate_uf_ug_L	Dichlorvos_uf_ug_L	Dieldrin_uf_ug_L	DiethylPhthalate_uf_ug_L	Dimethoate_uf_ug_L	DimethylPhthalate_uf_ug_L	Dinitro_o_cresol_uf_ug_L	Disulfoton_uf_ug_L	DO_f_%	DO_f_mg_L	Ecoli_uf_CFU_100	Ecoli_uf_mg_L	Endosulfan_alpha_uf_ug_L	Endosulfan_beta_uf_ug_L	EndosulfanSulfate_uf_ug_L	Endrin_uf_ug_L	EndrinAldehyde_uf_ug_L	EndrinKetone_uf_ug_L	Ethoprop_std_ug_L	Ethyl_p_nitrophenylPhenylphosphorothioate_uf_ug_L	Fensulfothion_uf_ug_L	Fenthion_uf_ug_L	Flow_calc_cfs	Flow_cfs	Flow_ft_sec	Fluoranthene_uf_ug_L	Fluorene_uf_ug_L	Fluoride_f_mg_L	Fluoride_uf_mg_L	gammaHexachlorocyclohexane_uf_ug_L	Hardness_CaCO3_MgCO3_calc_mg_L	Hardness_CaCO3_MgCO3_f_mg_L	Heptachlor_uf_ug_L	HeptachlorEpoxide_uf_ug_L	Hexachlorobenzene_uf_ug_L	Hexachlorobutadiene_uf_ug_L	Hexachlorocyclopentadiene_uf_ug_L	Hexachloroethane_uf_ug_L	HydrogenCarbonate_uf_mg_L	Indeno_123cd_pyrene_uf_ug_L	Iodine_131_uf_pCi_L	Iron_59_uf_pCi_L	Iron_f_mg_L	Iron_uf_ug_L	Isophorone_uf_ug_L	Kjeldahl_N_calc_mg_kg	Kjeldahl_N_uf_mg_L	Lanthanum_140_uf_pCi_L	Lead_214_uf_pCi_L	Lead_cmpdsInorg_calc_mg_kg	Lead_cmpdsInorg_f_mg_L	Lead_cmpdsInorg_susp_mg_L	Lead_cmpdsInorg_uf_mg_L	Magnesium_f_mg_L	Magnesium_uf_mg_L	Malathion_uf_ug_L	Manganese_54_uf_pCi_L	Manganese_f_ug_L	Manganese_uf_ug_L	Mercury_elemental_calc_mg_kg	Mercury_elemental_f_mg_L	Mercury_elemental_susp_mg_kg	Mercury_elemental_uf_mg_L	Mercury_elemental_uf_ng_g	Merphos_uf_ug_L	Methoxychlor_uf_ug_L	MethylAzinphos_uf_ug_L	Methylmercury_uf_ng_g	Methylmercury_uf_ng_L	MethylParathion_uf_ug_L	Mevinphos_uf_ug_L	Molybdenum_f_mg_L	Molybdenum_uf_ug_L	Monocrotophos_uf_ug_L	N_nitrosodi_N_propylamine_uf_ug_L	N_nitrosodiphenylamine_uf_ug_L	Naled_uf_ug_L	Naphthalene_uf_ug_L	NH3_N_uf_mg_L	Nickel_calc_mg_kg	Nickel_f_mg_L	Nickel_uf_ug_L	Niobium_95_uf_pCi_L	Nitrobenzene_uf_ug_L	Nitrogen_uf_mg_L	NO2_N_uf_mg_L	NO2NO3_calc_mg_kg	NO3_N_uf_mg_L	NO3NO2_uf_mg_L	p_BromodiphenylEther_uf_ug_L	p_Chloroaniline_uf_ug_L	p_Nitrophenol_uf_ug_L	p_p_primeDichlorodiphenyldichloroethane_uf_ug_L	p_p_primeDichlorodiphenyldichloroethylene_uf_ug_L	p_p_primeDichlorodiphenyltrichloroethane_uf_ug_L	ParachlorometaCresol_uf_ug_L	Parathion_uf_ug_L	Pentachlorophenol_uf_ug_L	Perchlorate_uf_ug_L	pH_SU	Phenanthrene_uf_ug_L	Phenol_uf_ug_L	PheophytinA_uf_ug_L	Phorate_uf_ug_L	Phosphorus_calc_mg_kg	Phosphorus_uf_mg_L	Potassium_40_uf_pCi_L	Potassium_f_mg_L	Potassium_uf_mg_L	Pyrene_uf_ug_L	Radium_226_228_calc_pCi_L	Radium_226_228_uf_pCi_L	Radium_226_uf_pCi_L	Radium_228_f_pCi_L	Radium_228_uf_pCi_L	RedoxPotential_uf_mV	Ronnel_uf_ug_L	Selenium_cmpds_calc_mg_kg	Selenium_cmpds_f_mg_L	Selenium_cmpds_uf_mg_L	Silica_uf_mg_L	Silicon_uf_ug_L	Silver_calc_mg_kg	Silver_f_mg_L	Silver_uf_mg_L	Sodium_f_mg_L	Sodium_uf_mg_L	SolidsInSediment_calc_%	SpecCond_umhos_cm	StreamWidth_ft	Strontium_f_mg_L	Sulfate_uf_mg_L	TDS_calc_mg_L	TDS_f_mg_L	Temp_degC	Temp_degF	Tetrachlorovinphos_uf_ug_L	Tetraethyldithiopyrophosphate_uf_ug_L	Tetraethylpyrophosphate_uf_ug_L	Thallium_208_uf_pCi_L	Thallium_f_mg_L	Thallium_uf_mg_L	Tokuthion_uf_ug_L	Toxaphene_uf_ug_L	Trichloronate_uf_ug_L	TSS_coarse_susp_mg_L	TSS_fine_susp_mg_L	TSS_susp_mg_L	Turbidity_NTU	Uranium_natural_f_ug_L	Uranium_Natural_uf_pCi_L	Uranium_Natural_uf_ug_L	Vanadium_f_mg_L	Vanadium_uf_mg_L	Velocity_ft_sec	Zinc_65_uf_pCi_L	Zinc_calc_mg_kg	Zinc_f_mg_L	Zinc_uf_mg_L	Zirconium_95_uf_pCi_L
BWBRO029.91	2	2013	BWBRO029.91_4/29/2013	4/29/2013	4/29/2013	58.97211904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	3.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.43	NA	NA	NA	NA	0.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.1	7.73	24.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3	0.53	NA	NA	NA	NA	NA	180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.31	NA	NA	NA	NA	NA	NA	NA	23	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.46	NA	NA	NA	NA	NA	0.22	NA	NA	6.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	NA	445.25	6.75	NA	3.5	NA	287.85	29.475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	19.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BWBRO029.91	2	2013	BWBRO029.91_3/13/2013	3/13/2013	4/29/2013	58.97211904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.5	NA	9.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.23	NA	NA	NA	NA	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.5	8.68	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.3	1.01	NA	NA	NA	0.44	NA	190	NA	NA	NA	NA	NA	NA	NA	260	NA	NA	NA	NA	NA	NA	NA	0.305	NA	NA	NA	NA	NA	NA	NA	21	NA	NA	NA	52.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.493333333	NA	NA	NA	NA	NA	NA	NA	NA	5.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.5	NA	564.5	11.5	NA	7.8	NA	335.2666667	21.055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	15.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BWBRO029.91	2	2010	BWBRO029.91_4/20/2010	4/20/2010	4/20/2010	36.97226296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.7	NA	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	210	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.82	NA	NA	NA	NA	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.9	0.35	NA	NA	NA	NA	NA	160	NA	NA	NA	NA	NA	NA	NA	190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	0.0021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.06	NA	NA	NA	NA	NA	NA	NA	NA	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	420	38.5	NA	5.8	NA	320	29.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.935	0.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BWBRO029.91	2	2010	BWBRO029.91_2/25/2010	2/25/2010	4/20/2010	36.97226296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5	NA	5.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	110	NA	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.18	NA	NA	NA	NA	1.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	101.3	11.1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58	1.13	NA	NA	NA	NA	NA	92	NA	NA	NA	NA	NA	NA	NA	110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.7	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.57	NA	NA	NA	NA	NA	NA	NA	NA	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	233.5	41.3	NA	4.7	NA	197	11.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.957	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BWBSR034.68	2	2010	BWBSR034.68_2/24/2010	2/24/2010	6/14/2010	45.59740492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.46	NA	NA	NA	NA	NA	350	NA	NA	NA	NA	NA	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.9	9.59	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	300	NA	NA	NA	NA	2.3	NA	290	NA	NA	NA	NA	NA	NA	NA	350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	NA	NA	NA	180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.255	NA	NA	NA	NA	NA	0.24	NA	NA	5.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	150	NA	1151	NA	NA	130	NA	748	12.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.2	11.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BWBSR034.68	2	2010	BWBSR034.68_5/18/2010	5/18/2010	6/14/2010	45.59740492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.44	NA	NA	NA	NA	NA	340	NA	NA	NA	NA	NA	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.2	5.41	116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6	NA	NA	NA	NA	2.5	NA	250	NA	NA	NA	NA	NA	NA	NA	340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0019	NA	NA	NA	25	NA	NA	NA	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.065	NA	NA	NA	NA	NA	0.11	NA	NA	5.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	140	NA	1056.5	NA	NA	120	NA	687.5	26.835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.5	3.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BWBSR037.79	1	2013	BWBSR037.79_5/16/2013	5/16/2013	5/16/2013	56.9378373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.9	NA	8.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.37	NA	NA	NA	NA	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.4	5.99	93.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.37	0.98	NA	NA	NA	1.6	NA	285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.36	NA	NA	NA	NA	NA	NA	NA	26	NA	NA	NA	145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.166666667	NA	NA	NA	NA	NA	0.28	NA	NA	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	105	NA	925.3666667	2.7	NA	100	NA	586.0333333	19.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	5.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BWBSR037.79	1	2013	BWBSR037.79_3/6/2013	3/6/2013	5/16/2013	51.60575679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.1	NA	7.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.21	NA	NA	NA	NA	0.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.2	8.45	8.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1.11	NA	NA	NA	1.7	NA	290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14	NA	NA	NA	NA	NA	0.001	NA	25	NA	NA	NA	110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.335	NA	NA	NA	NA	NA	0.17	NA	NA	5.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	908.9	19.8	NA	100	NA	596.05	22.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	23.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BWBSR037.79	1	2010	BWBSR037.79_4/21/2010	4/21/2010	6/1/2010	75.88592194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.2	NA	8.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	280	NA	NA	NA	NA	NA	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1.4	NA	240	NA	NA	NA	NA	NA	NA	NA	280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	0.28	NA	NA	NA	2.00E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.04	NA	NA	NA	NA	NA	0.14	NA	NA	4.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79	NA	800	NA	NA	64	NA	490	16.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.4	2.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BWBSR037.79	1	2013	BWBSR037.79_3/6/2013	3/6/2013	5/16/2013	56.9378373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.1	NA	7.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.21	NA	NA	NA	NA	0.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.2	8.45	8.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1.11	NA	NA	NA	1.7	NA	290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14	NA	NA	NA	NA	NA	0.001	NA	25	NA	NA	NA	110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.335	NA	NA	NA	NA	NA	0.17	NA	NA	5.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	908.9	19.8	NA	100	NA	596.05	22.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	23.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
