"HUC08"	"Region"	"RegionName"	"WaterbodyName"	"WBID"	"Category"	"Impairments"	"Exceedances"	"Pollutant"	"PollutantCategory"	"EstimatedSizeAffected"	"Unit"	"WaterbodyType"	"WBType"	"ReachCode"	"Year"	"PotentialSources"	"SourceCategory"	"COMID"	"Comments"
"14070006"	"CG"	"Colorado-Grand Canyon"	"COLORADO RIVER/Glen Canyon Dam - Lees Ferry/1"	"14070006-001"	"Category 1"	"DWS-Attaining • FC-Attaining • BC-Attaining/AGI-Attaining • AGL-Attaining • AW-Attaining"	"Dissolved Oxygen"	"Dissolved Oxygen"	NA	16.9	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"14070007"	"CG"	"Colorado-Grand Canyon"	"PARIA RIVER/Paria River, Utah border - Colorado River/1"	"14070007-123"	"Category 5"	"FC-Inconclusive • BC-Impaired • AW-Impaired"	NA	NA	NA	29.426	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	18267741	"CGPAR001.62"
"14070007"	"CG"	"Colorado-Grand Canyon"	"PARIA RIVER/Paria River, Utah border - Colorado River/1"	"14070007-123"	"Category 5"	"FC-Inconclusive • BC-Impaired • AW-Impaired"	NA	NA	NA	29.426	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	18267741	"CGPAR000.49"
"15010001"	NA	NA	"COLORADO RIVER/Unnamed Trib @ 360554.796/1120435.253 - Bright Angel Creek/1"	"15010001-001"	"Category 3"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive AGI-Inconclusive • AGL-Inconclusive • AW-Inconclusive"	NA	NA	NA	1.06	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15010002"	"CG"	"Colorado-Grand Canyon"	"COLORADO RIVER/Parashant Canyon - Diamond Creek/1"	"15010002-003"	"Category 5"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive AGI-Attaining • AGL-Attaining • AW-Impaired"	"Selenium and SSC (2004)"	"Selenium and SSC (2004)"	NA	27.621	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15010003"	"CG"	"Colorado-Grand Canyon"	"KANAB CREEK/Jump - up Canyon - Colorado River/1"	"15010003-001"	"Category 5"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive AGL-Inconclusive • AW-Impaired"	"Add selenium to the 303(d) list."	"Add selenium to the 303(d) list."	NA	12.769	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20709491	"CGKAN000.26"
"15010003"	"CG"	"Colorado-Grand Canyon"	"KANAB CREEK/Johnson Wash - Jacob Canyon/1"	"15010003-013"	"Category 3"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive AGL-Inconclusive • AW-Inconclusive"	NA	NA	NA	4.238	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15010004"	NA	NA	"HAVASU CREEK/Unnamed Trib @ 36°18’02”/112°45’14” - Colorado River/1"	"15010004-001B"	"Category 3"	"FC-Inconclusive • BC-Inconclusive • AW-Inconclusive"	"Selenium (dissolved)"	"Selenium (dissolved)"	NA	0.87	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15010010"	"CG"	"Colorado-Grand Canyon"	"VIRGIN RIVER/Beaver Dam Wash - Sand Hollow Wash/1"	"15010010-003"	"Category 5"	"FC-Inconclusive • BC-Impaired • AGI-Inconclusive/AGL-Inconclusive • AW-Impaired"	"Selenium (dissolved)"	"Selenium (dissolved)"	NA	8.56	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15010010"	"CG"	"Colorado-Grand Canyon"	"VIRGIN RIVER/Sullivans Canyon - Beaver Dam Wash/1"	"15010010-004"	"Category 5"	"FC-Attaining • BC-Attaining • AGI-Inconclusive/AGL-Attaining • AW-Impaired"	"Selenium (2012)"	"Selenium (2012)"	NA	9.734	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	4916176	"CGVGR044.58"
