"STATION_CD"	"STATION_NAME"	"COMID"	"STATION_RID"	"HUC12"	"COUNTY_NAME"	"STATION_TYPE"	"LATITUDE"	"LONGITUDE"	"UTM_EAST"	"UTM_NORTH"	"UTM_ZONE"	"Elevation"	"ReferenceStatus"	"Year"
"BWBOU000.66"	101007	21396859	530	15030202	"YAVAPAI"	"Stream"	34.612885	-113.299833	289133	3832520	"12N"	NA	NA	NA
"BWBOU001.51"	102225	21396859	1130	15030202	"YAVAPAI"	"Stream"	34.606937	-113.289473	290068	3831838	"12N"	NA	NA	NA
"BWBOU002.18"	102224	21396855	1129	15030202	"YAVAPAI"	"Stream"	34.608333	-113.278056	291118	3831969	"12N"	NA	NA	NA
"BWBOU005.11"	101008	21397227	531	15030202	"YAVAPAI"	"Stream"	34.60738	-113.2328	295266	3831771	"12N"	NA	NA	NA
"BWBOU005.15"	102193	21396853	1116	15030202	"YAVAPAI"	"Stream"	34.6075	-113.231667	295371	3831782	"12N"	NA	NA	NA
"BWBOU006.01"	101009	21396853	1071	15030202	"YAVAPAI"	"Stream"	34.614143	-113.220615	296400	3832496	"12N"	NA	NA	NA
"BWBOU006.53"	102082	21396853	1054	15030202	"YAVAPAI"	"Stream"	34.619	-113.218528	296604	3833031	"12N"	NA	NA	NA
"BWBOU006.57"	102223	21396849	1128	15030202	"YAVAPAI"	"Stream"	34.619444	-113.217222	296724	3833077	"12N"	NA	NA	NA
"BWBOU007.13"	101010	21396849	532	15030202	"YAVAPAI"	"Stream"	34.625844	-113.216667	296791	3833786	"12N"	NA	NA	NA
"BWBOU007.43"	102230	21396849	1135	15030202	"YAVAPAI"	"Stream"	34.62925	-113.214028	297041	3834159	"12N"	NA	NA	NA
"BWBOU007.49"	102229	21396849	1134	15030202	"YAVAPAI"	"Stream"	34.629889	-113.213778	297066	3834229	"12N"	NA	NA	NA
"BWBOU007.55"	102228	21396849	1133	15030202	"YAVAPAI"	"Stream"	34.631861	-113.213111	297132	3834446	"12N"	NA	NA	NA
"BWBOU007.59"	102227	21396849	1132	15030202	"YAVAPAI"	"Stream"	34.632389	-113.21275	297166	3834504	"12N"	NA	NA	NA
"BWBOU007.76"	101011	21396849	1066	15030202	"YAVAPAI"	"Stream"	34.63277	-113.212465	297193	3834546	"12N"	NA	NA	NA
"BWBOU007.83"	102024	21396849	1049	15030202	"YAVAPAI"	"Stream"	34.633333	-113.211666	297268	3834607	"12N"	NA	NA	NA
"BWBOU007.92"	101012	21396849	533	15030202	"YAVAPAI"	"Stream"	34.634566	-113.211459	297290	3834743	"12N"	NA	NA	NA
"BWBOU007.98"	102226	21396849	1131	15030202	"YAVAPAI"	"Stream"	34.636667	-113.213611	297098	3834980	"12N"	NA	NA	NA
