Taxa,Exposure_mgperL,ExposureRange,OrganismStatus,ResponseType,StudyInfo,Duration_days,Hardness_mgperL,pH,Temperature_C,Alkalinity_mgperL,OrganicCarbon_mgperL,DissolvedOxygen_mgperL,Salinity_ppt,Taxonomy,Citation,Common_Name,ECOTOX_MED_Location,Dataline,SSD_Number,SSD_Title,CAS_Number,ChemicalClass,ChemName,Authors,Year,Title,Source
Chironomus,1654,,4TH INSTAR LARVAE,LC50-MOR-MORT,LAB-C-S-INC-NA-NA,2,45.5(43-48),6.95(6.7-7.2),13,.,.,86.264(83.108-89.42),.,Arthropoda-Insecta-Diptera-Chironomidae-Chironomus,50648,Midge,212088,17,0,SSD 0 arthropods exposed to arsenic at <=15 degrees C over a moderate (1-3 days) exposure period,7631892,arsenic,"arsenic acid, sodium salt","Jeyasingham, K., and N. Ling",2000,"Acute Toxicity of Arsenic to Three Species of New Zealand Chironomids: Chironomus zealandicus, Chironomus sp. a and Polypedilum pavidus (Diptera, Chironomidae)",Bull.Environ.Contam.Toxicol. 64(5):708-715
Chironomus,811,,4TH INSTAR LARVAE,LC50-MOR-MORT,LAB-C-S-INC-NA-NA,3,45.5(43-48),6.95(6.7-7.2),13,.,.,86.264(83.108-89.42),.,Arthropoda-Insecta-Diptera-Chironomidae-Chironomus,50648,Midge,212089,18,0,SSD 0 arthropods exposed to arsenic at <=15 degrees C over a moderate (1-3 days) exposure period,7631892,arsenic,"arsenic acid, sodium salt","Jeyasingham, K., and N. Ling",2000,"Acute Toxicity of Arsenic to Three Species of New Zealand Chironomids: Chironomus zealandicus, Chironomus sp. a and Polypedilum pavidus (Diptera, Chironomidae)",Bull.Environ.Contam.Toxicol. 64(5):708-715
Chironomus,64.6,,4TH INSTAR LARVAE,LC50-MOR-MORT,LAB-C-S-INC-NA-NA,2,45.5(43-48),6.95(6.7-7.2),13,.,.,86.264(83.108-89.42),.,Arthropoda-Insecta-Diptera-Chironomidae-Chironomus,50648,Midge,212252,19,0,SSD 0 arthropods exposed to arsenic at <=15 degrees C over a moderate (1-3 days) exposure period,7784465,arsenic,"arsenenous acid, sodium salt","Jeyasingham, K., and N. Ling",2000,"Acute Toxicity of Arsenic to Three Species of New Zealand Chironomids: Chironomus zealandicus, Chironomus sp. a and Polypedilum pavidus (Diptera, Chironomidae)",Bull.Environ.Contam.Toxicol. 64(5):708-715
Chironomus,44.6,,4TH INSTAR LARVAE,LC50-MOR-MORT,LAB-C-S-INC-NA-NA,3,45.5(43-48),6.95(6.7-7.2),13,.,.,86.264(83.108-89.42),.,Arthropoda-Insecta-Diptera-Chironomidae-Chironomus,50648,Midge,212253,20,0,SSD 0 arthropods exposed to arsenic at <=15 degrees C over a moderate (1-3 days) exposure period,7784465,arsenic,"arsenenous acid, sodium salt","Jeyasingham, K., and N. Ling",2000,"Acute Toxicity of Arsenic to Three Species of New Zealand Chironomids: Chironomus zealandicus, Chironomus sp. a and Polypedilum pavidus (Diptera, Chironomidae)",Bull.Environ.Contam.Toxicol. 64(5):708-715
Chironomus tentans,0.68,,3RD INSTAR LARVAE,LC50-MOR-IMBL,LAB-C-S-INC-NA-NA,2,25,6.3,14,25,.,66.885,.,Arthropoda-Insecta-Diptera-Chironomidae-Chironomus,4553,Midge,186692,21,0,SSD 0 arthropods exposed to arsenic at <=15 degrees C over a moderate (1-3 days) exposure period,15502746,arsenic,arsenite (AsO3),"Khangarot, B.S., and P.K. Ray",1989,Sensitivity of Midge Larvae of Chironomus tentans Fabricius (Diptera Chironomidae) to Heavy Metals,Bull.Environ.Contam.Toxicol. 42(3):325-330
Chironomus zealandicus,3619,,4TH INSTAR LARVAE,LC50-MOR-MORT,LAB-C-S-INC-NA-NA,2,45.5(43-48),6.95(6.7-7.2),13,.,.,86.264(83.108-89.42),.,Arthropoda-Insecta---,50648,Chironomid,212111,22,0,SSD 0 arthropods exposed to arsenic at <=15 degrees C over a moderate (1-3 days) exposure period,7631892,arsenic,"arsenic acid, sodium salt","Jeyasingham, K., and N. Ling",2000,"Acute Toxicity of Arsenic to Three Species of New Zealand Chironomids: Chironomus zealandicus, Chironomus sp. a and Polypedilum pavidus (Diptera, Chironomidae)",Bull.Environ.Contam.Toxicol. 64(5):708-715
Chironomus zealandicus,2262,,4TH INSTAR LARVAE,LC50-MOR-MORT,LAB-C-S-INC-NA-NA,3,45.5(43-48),6.95(6.7-7.2),13,.,.,86.264(83.108-89.42),.,Arthropoda-Insecta---,50648,Chironomid,212112,23,0,SSD 0 arthropods exposed to arsenic at <=15 degrees C over a moderate (1-3 days) exposure period,7631892,arsenic,"arsenic acid, sodium salt","Jeyasingham, K., and N. Ling",2000,"Acute Toxicity of Arsenic to Three Species of New Zealand Chironomids: Chironomus zealandicus, Chironomus sp. a and Polypedilum pavidus (Diptera, Chironomidae)",Bull.Environ.Contam.Toxicol. 64(5):708-715
Chironomus zealandicus,42.9,,4TH INSTAR LARVAE,LC50-MOR-MORT,LAB-C-S-INC-NA-NA,2,45.5(43-48),6.95(6.7-7.2),13,.,.,86.264(83.108-89.42),.,Arthropoda-Insecta---,50648,Chironomid,212226,24,0,SSD 0 arthropods exposed to arsenic at <=15 degrees C over a moderate (1-3 days) exposure period,7784465,arsenic,"arsenenous acid, sodium salt","Jeyasingham, K., and N. Ling",2000,"Acute Toxicity of Arsenic to Three Species of New Zealand Chironomids: Chironomus zealandicus, Chironomus sp. a and Polypedilum pavidus (Diptera, Chironomidae)",Bull.Environ.Contam.Toxicol. 64(5):708-715
Chironomus zealandicus,32.9,,4TH INSTAR LARVAE,LC50-MOR-MORT,LAB-C-S-INC-NA-NA,3,45.5(43-48),6.95(6.7-7.2),13,.,.,86.264(83.108-89.42),.,Arthropoda-Insecta---,50648,Chironomid,212227,25,0,SSD 0 arthropods exposed to arsenic at <=15 degrees C over a moderate (1-3 days) exposure period,7784465,arsenic,"arsenenous acid, sodium salt","Jeyasingham, K., and N. Ling",2000,"Acute Toxicity of Arsenic to Three Species of New Zealand Chironomids: Chironomus zealandicus, Chironomus sp. a and Polypedilum pavidus (Diptera, Chironomidae)",Bull.Environ.Contam.Toxicol. 64(5):708-715
Daphnia magna,1.54,(1.2-1.97),"FIRST INSTAR, 24 H",LC50-MOR-IMBL,LAB-I-S--NA-NA,2,48.7,8(7.9-8.1),15(13.4-16.0),46.8,.,91.15(90.7-91.6),.,Arthropoda-Branchiopoda-Diplostraca-Daphniidae-Daphnia,10579,Water flea,76943,26,0,SSD 0 arthropods exposed to arsenic at <=15 degrees C over a moderate (1-3 days) exposure period,7784465,arsenic,"arsenenous acid, sodium salt","Call, D.J., L.T. Brooke, N. Ahmad, and J.E. Richter",1983,Toxicity and Metabolism Studies with EPA (Environmental Protection Agency) Priority Pollutants and Related Chemicals in Freshwater Organisms,"EPA 600/3-83-095, U.S.EPA, Duluth, MN :120 p. (U.S.NTIS PB83-263665)"
