Taxa	Exposure
Triops	0.084
Trichodactylus	0.010932632
Toxorhynchites	2.64
Thermocyclops	29
Tanytarsus	0.195415775
Tanypus	0.06
Simulium	5.466582469
Pycnopsyche	3.2
Procloeon	0.0896
Procladius	0.394968353
Procambarus	11.75178704
Piona	0.05
Paratya	0.041352146
Palaemonetes	0.002236068
Orconectes	0.151653916
Ophiogomphus	7.4
Odonata	2.014944168
Notonecta	2.8
Mesocyclops	2.6
Macrobrachium	0.192304613
Hydropsychidae	2.874021573
Hydropsyche	4.4
Hydrophilus	19.32614809
Hyalella	0.028817714
Hexagenia	0.1
Heptageniidae	2.391652149
Goeldichironomus	0.576791133
Glyptotendipes	0.661860123
Gammarus	0.215992603
Eucyclops	5
Eretes	5.8
Dicrotendipes	6.67313816
Diaptomus	7
Daphnia	14.27739462
Cypria	5
Culiseta	5.9
Culex	2.405753265
Cricotopus	0.877984367
Cloeon	0.109544512
Chironomus	1.75117624
Chaoborus	0.2
Ceriodaphnia	0.884669138
Caecidotea	0.2
Baetis	0.012
Anopheles	4.295045755
Alonella	4
Aedes	3.297987872
Acartia	0.75
