FinalID	LifeStageCode	Phylum	Class	Order	Family	Tribe	Genus	Species	FFG	TolVal	Habit	SpecCondTolVal	PCT_SAFN_score
Abedus	A	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	NA	P	8	CB	NA	
Abedus	L	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	NA	P	8	CB	NA	
Abedus	U	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	NA	P	8	CB	NA	
Abedus breviceps	A	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	Abedus breviceps	P	8	CB	NA	
Abedus breviceps	L	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	Abedus breviceps	P	NA	CB	NA	
Abedus herberti	A	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	Abedus herberti	P	8	CB	NA	
Abedus herberti	L	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	Abedus herberti	P	NA	CB	NA	
Abedus indentatus	A	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	Abedus indentatus	P	8	CB	NA	
Abedus indentatus	L	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	Abedus indentatus	P	8	CB	NA	
Abedus indentatus	U	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	Abedus indentatus	P	8	CB	NA	
Abedus ovatus	A	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	Abedus ovatus	P	8	CB	NA	
Abedus ovatus	L	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	Abedus ovatus	P	NA	CB	NA	
Abedus parkeri	A	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	Abedus parkeri	P	8	CB	NA	
Abedus parkeri	L	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	Abedus parkeri	P	NA	CB	NA	
Abedus vicinus	A	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	Abedus vicinus	P	8	CB	NA	
Abedus vicinus	L	Arthropoda	Insecta	Hemiptera	Belostomatidae	NA	Abedus	Abedus vicinus	P	NA	CB	NA	
Ablabesmyia	L	Arthropoda	Insecta	Diptera	Chironomidae	Pentaneurini	Ablabesmyia	NA	CG	8	SP	4	
Ablabesmyia	P	Arthropoda	Insecta	Diptera	Chironomidae	Pentaneurini	Ablabesmyia	NA	CG	8	SP	4	
Ablabesmyia	U	Arthropoda	Insecta	Diptera	Chironomidae	Pentaneurini	Ablabesmyia	NA	CG	8	SP	4	
Ablabesmyia annulata	A	Arthropoda	Insecta	Diptera	Chironomidae	Pentaneuriini	Ablabesmyia	Ablabesmyia annulata	NA	NA	SP	NA	
Ablabesmyia annulata	L	Arthropoda	Insecta	Diptera	Chironomidae	Pentaneuriini	Ablabesmyia	Ablabesmyia annulata	OM	8	SP	NA	
Ablabesmyia annulata	P	Arthropoda	Insecta	Diptera	Chironomidae	Pentaneuriini	Ablabesmyia	Ablabesmyia annulata	OM	8	SP	NA	
Ablabesmyia aspera	A	Arthropoda	Insecta	Diptera	Chironomidae	Pentaneuriini	Ablabesmyia	Ablabesmyia aspera	NA	NA	SP	NA	
Ablabesmyia aspera	L	Arthropoda	Insecta	Diptera	Chironomidae	Pentaneuriini	Ablabesmyia	Ablabesmyia aspera	OM	8	SP	NA	
Ablabesmyia aspera	P	Arthropoda	Insecta	Diptera	Chironomidae	Pentaneuriini	Ablabesmyia	Ablabesmyia aspera	OM	8	SP	NA	
Ablabesmyia cinctipes	A	Arthropoda	Insecta	Diptera	Chironomidae	Pentaneuriini	Ablabesmyia	Ablabesmyia cinctipes	NA	NA	SP	NA	
