StationID_Master	ChemSampleID	SampDate	matrixname	StdParamName	ResultValue	ConvertTo	COMID	clust
402BA0079	402BA0079_modeledflow_bmi	NA	flow_bmi	HighDur	-2.5	HighDur	17586810	2
402BA0079	402BA0079_modeledflow_algae	NA	flow_algae	HighDur_Dry	0.957563779	HighDur_Dry	17586810	2
402BA0079	402BA0079_modeledflow_bmi	NA	flow_bmi	HighNum	1.5	HighNum	17586810	2
402BA0079	402BA0079_modeledflow_algae	NA	flow_algae	HighNum_Dry	0.996972415	HighNum_Dry	17586810	2
402BA0079	402BA0079_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.0352538	MaxMonthQ	17586810	2
402BA0079	402BA0079_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	1	MaxMonthQ_Dry	17586810	2
402BA0079	402BA0079_modeledflow_bmi	NA	flow_bmi	NoDisturb	-124.5	NoDisturb	17586810	2
402BA0079	402BA0079_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	0.504851573	NoDisturb_Dry	17586810	2
402BA0079	402BA0079_modeledflow_bmi	NA	flow_bmi	Q99	0.241346285	Q99	17586810	2
402BA0079	402BA0079_modeledflow_algae	NA	flow_algae	Qmax_Dry	0.98968216	Qmax_Dry	17586810	2
402BA0079	402BA0079_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.26837339	QmaxIDR	17586810	2
402BA0079	402BA0079_modeledflow_algae	NA	flow_algae	QmaxIDR_All	0.993733814	QmaxIDR_All	17586810	2
402BA0079	402BA0079_modeledflow_bmi	NA	flow_bmi	RBI	0.040255074	RBI	17586810	2
402BA0095	402BA0095_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17586570	2
402BA0095	402BA0095_modeledflow_algae	NA	flow_algae	HighDur_Dry	0.996791816	HighDur_Dry	17586570	2
402BA0095	402BA0095_modeledflow_bmi	NA	flow_bmi	HighNum	0	HighNum	17586570	2
402BA0095	402BA0095_modeledflow_algae	NA	flow_algae	HighNum_Dry	1	HighNum_Dry	17586570	2
402BA0095	402BA0095_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	1.90E-05	MaxMonthQ	17586570	2
402BA0095	402BA0095_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	1	MaxMonthQ_Dry	17586570	2
402BA0095	402BA0095_modeledflow_bmi	NA	flow_bmi	NoDisturb	-111.5	NoDisturb	17586570	2
402BA0095	402BA0095_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	1	NoDisturb_Dry	17586570	2
402BA0095	402BA0095_modeledflow_bmi	NA	flow_bmi	Q99	-6.73E-06	Q99	17586570	2
402BA0095	402BA0095_modeledflow_algae	NA	flow_algae	Qmax_Dry	1	Qmax_Dry	17586570	2
402BA0095	402BA0095_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.000317946	QmaxIDR	17586570	2
402BA0095	402BA0095_modeledflow_algae	NA	flow_algae	QmaxIDR_All	1	QmaxIDR_All	17586570	2
402BA0095	402BA0095_modeledflow_bmi	NA	flow_bmi	RBI	0.000961197	RBI	17586570	2
402BA0143	402BA0143_modeledflow_bmi	NA	flow_bmi	HighDur	-1.5	HighDur	17587720	5
402BA0143	402BA0143_modeledflow_bmi	NA	flow_bmi	HighNum	1	HighNum	17587720	5
402BA0143	402BA0143_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.068922473	MaxMonthQ	17587720	5
402BA0143	402BA0143_modeledflow_bmi	NA	flow_bmi	NoDisturb	-100.5	NoDisturb	17587720	5
402BA0143	402BA0143_modeledflow_bmi	NA	flow_bmi	Q99	0.167851319	Q99	17587720	5
402BA0143	402BA0143_modeledflow_bmi	NA	flow_bmi	QmaxIDR	1.12775304	QmaxIDR	17587720	5
402BA0143	402BA0143_modeledflow_bmi	NA	flow_bmi	RBI	0.005298506	RBI	17587720	5
402BA0335	402BA0335_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17586848	5
402BA0335	402BA0335_modeledflow_bmi	NA	flow_bmi	HighNum	1.5	HighNum	17586848	5
402BA0335	402BA0335_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.099315716	MaxMonthQ	17586848	5
402BA0335	402BA0335_modeledflow_bmi	NA	flow_bmi	NoDisturb	-60	NoDisturb	17586848	5
402BA0335	402BA0335_modeledflow_bmi	NA	flow_bmi	Q99	0.0603182	Q99	17586848	5
402BA0335	402BA0335_modeledflow_bmi	NA	flow_bmi	QmaxIDR	1.3346122	QmaxIDR	17586848	5
402BA0335	402BA0335_modeledflow_bmi	NA	flow_bmi	RBI	0.019603577	RBI	17586848	5
402WE0536	402WE0536_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17585714	2
402WE0536	402WE0536_modeledflow_bmi	NA	flow_bmi	HighNum	0	HighNum	17585714	2
402WE0536	402WE0536_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.000212398	MaxMonthQ	17585714	2
402WE0536	402WE0536_modeledflow_bmi	NA	flow_bmi	NoDisturb	-33.5	NoDisturb	17585714	2
402WE0536	402WE0536_modeledflow_bmi	NA	flow_bmi	Q99	0.176670608	Q99	17585714	2
402WE0536	402WE0536_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.001076773	QmaxIDR	17585714	2
402WE0536	402WE0536_modeledflow_bmi	NA	flow_bmi	RBI	3.27E-05	RBI	17585714	2
402WE0803	402WE0803_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17586740	2
402WE0803	402WE0803_modeledflow_bmi	NA	flow_bmi	HighNum	0	HighNum	17586740	2
402WE0803	402WE0803_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.000399381	MaxMonthQ	17586740	2
402WE0803	402WE0803_modeledflow_bmi	NA	flow_bmi	NoDisturb	-45.5	NoDisturb	17586740	2
402WE0803	402WE0803_modeledflow_bmi	NA	flow_bmi	Q99	-0.000175786	Q99	17586740	2
402WE0803	402WE0803_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.00371802	QmaxIDR	17586740	2
402WE0803	402WE0803_modeledflow_bmi	NA	flow_bmi	RBI	0.000116791	RBI	17586740	2
403BA0027	403BA0027_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17567373	6
403BA0027	403BA0027_modeledflow_bmi	NA	flow_bmi	HighNum	0	HighNum	17567373	6
403BA0027	403BA0027_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	-2.56E-05	MaxMonthQ	17567373	6
403BA0027	403BA0027_modeledflow_bmi	NA	flow_bmi	NoDisturb	-103	NoDisturb	17567373	6
403BA0027	403BA0027_modeledflow_bmi	NA	flow_bmi	Q99	-1.10E-05	Q99	17567373	6
403BA0027	403BA0027_modeledflow_bmi	NA	flow_bmi	QmaxIDR	-0.002737067	QmaxIDR	17567373	6
403BA0027	403BA0027_modeledflow_bmi	NA	flow_bmi	RBI	0.000207687	RBI	17567373	6
403BA0068	403BA0068_modeledflow_bmi	NA	flow_bmi	HighDur	0.5	HighDur	17574729	2
403BA0068	403BA0068_modeledflow_algae	NA	flow_algae	HighDur_Dry	0.673798629	HighDur_Dry	17574729	2
403BA0068	403BA0068_modeledflow_bmi	NA	flow_bmi	HighNum	10	HighNum	17574729	2
403BA0068	403BA0068_modeledflow_algae	NA	flow_algae	HighNum_Dry	0.592699116	HighNum_Dry	17574729	2
403BA0068	403BA0068_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.002969617	MaxMonthQ	17574729	2
403BA0068	403BA0068_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	0.991762883	MaxMonthQ_Dry	17574729	2
403BA0068	403BA0068_modeledflow_bmi	NA	flow_bmi	NoDisturb	-124	NoDisturb	17574729	2
403BA0068	403BA0068_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	0.640291091	NoDisturb_Dry	17574729	2
403BA0068	403BA0068_modeledflow_bmi	NA	flow_bmi	Q99	0.021076799	Q99	17574729	2
403BA0068	403BA0068_modeledflow_algae	NA	flow_algae	Qmax_Dry	1	Qmax_Dry	17574729	2
403BA0068	403BA0068_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.013005003	QmaxIDR	17574729	2
403BA0068	403BA0068_modeledflow_algae	NA	flow_algae	QmaxIDR_All	1	QmaxIDR_All	17574729	2
403BA0068	403BA0068_modeledflow_bmi	NA	flow_bmi	RBI	0.370143449	RBI	17574729	2
403BA0136	403BA0136_modeledflow_bmi	NA	flow_bmi	HighDur	-2.5	HighDur	17570387	4
403BA0136	403BA0136_modeledflow_algae	NA	flow_algae	HighDur_Dry	1	HighDur_Dry	17570387	4
403BA0136	403BA0136_modeledflow_bmi	NA	flow_bmi	HighNum	0	HighNum	17570387	4
403BA0136	403BA0136_modeledflow_algae	NA	flow_algae	HighNum_Dry	1	HighNum_Dry	17570387	4
403BA0136	403BA0136_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.002851603	MaxMonthQ	17570387	4
403BA0136	403BA0136_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	1	MaxMonthQ_Dry	17570387	4
403BA0136	403BA0136_modeledflow_bmi	NA	flow_bmi	NoDisturb	-193	NoDisturb	17570387	4
403BA0136	403BA0136_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	1	NoDisturb_Dry	17570387	4
403BA0136	403BA0136_modeledflow_bmi	NA	flow_bmi	Q99	-0.000101133	Q99	17570387	4
403BA0136	403BA0136_modeledflow_algae	NA	flow_algae	Qmax_Dry	1	Qmax_Dry	17570387	4
403BA0136	403BA0136_modeledflow_bmi	NA	flow_bmi	QmaxIDR	-0.001190527	QmaxIDR	17570387	4
403BA0136	403BA0136_modeledflow_algae	NA	flow_algae	QmaxIDR_All	1	QmaxIDR_All	17570387	4
403BA0136	403BA0136_modeledflow_bmi	NA	flow_bmi	RBI	0.002946193	RBI	17570387	4
403CE0188	403CE0188_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17573663	5
403CE0188	403CE0188_modeledflow_bmi	NA	flow_bmi	HighNum	3	HighNum	17573663	5
403CE0188	403CE0188_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.026017848	MaxMonthQ	17573663	5
403CE0188	403CE0188_modeledflow_bmi	NA	flow_bmi	NoDisturb	-48	NoDisturb	17573663	5
403CE0188	403CE0188_modeledflow_bmi	NA	flow_bmi	Q99	0.004764656	Q99	17573663	5
403CE0188	403CE0188_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.04004544	QmaxIDR	17573663	5
403CE0188	403CE0188_modeledflow_bmi	NA	flow_bmi	RBI	0.047823001	RBI	17573663	5
403PRCSFD	403PRCSFD_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17575859	5
403PRCSFD	403PRCSFD_modeledflow_bmi	NA	flow_bmi	HighNum	2	HighNum	17575859	5
403PRCSFD	403PRCSFD_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.081860362	MaxMonthQ	17575859	5
403PRCSFD	403PRCSFD_modeledflow_bmi	NA	flow_bmi	NoDisturb	-15.5	NoDisturb	17575859	5
403PRCSFD	403PRCSFD_modeledflow_bmi	NA	flow_bmi	Q99	-0.02902872	Q99	17575859	5
403PRCSFD	403PRCSFD_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.4964464	QmaxIDR	17575859	5
403PRCSFD	403PRCSFD_modeledflow_bmi	NA	flow_bmi	RBI	0.050568694	RBI	17575859	5
403S00640	403S00640_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17569783	4
403S00640	403S00640_modeledflow_algae	NA	flow_algae	HighDur_Dry	0.957618917	HighDur_Dry	17569783	4
403S00640	403S00640_modeledflow_bmi	NA	flow_bmi	HighNum	1	HighNum	17569783	4
403S00640	403S00640_modeledflow_algae	NA	flow_algae	HighNum_Dry	0.964077044	HighNum_Dry	17569783	4
403S00640	403S00640_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.005023156	MaxMonthQ	17569783	4
403S00640	403S00640_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	1	MaxMonthQ_Dry	17569783	4
403S00640	403S00640_modeledflow_bmi	NA	flow_bmi	NoDisturb	-99	NoDisturb	17569783	4
403S00640	403S00640_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	1	NoDisturb_Dry	17569783	4
403S00640	403S00640_modeledflow_bmi	NA	flow_bmi	Q99	-0.005426223	Q99	17569783	4
403S00640	403S00640_modeledflow_algae	NA	flow_algae	Qmax_Dry	1	Qmax_Dry	17569783	4
403S00640	403S00640_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.102771283	QmaxIDR	17569783	4
403S00640	403S00640_modeledflow_algae	NA	flow_algae	QmaxIDR_All	1	QmaxIDR_All	17569783	4
403S00640	403S00640_modeledflow_bmi	NA	flow_bmi	RBI	0.002491573	RBI	17569783	4
403S00831	403S00831_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17574531	2
403S00831	403S00831_modeledflow_algae	NA	flow_algae	HighDur_Dry	0.987962629	HighDur_Dry	17574531	2
403S00831	403S00831_modeledflow_bmi	NA	flow_bmi	HighNum	0	HighNum	17574531	2
403S00831	403S00831_modeledflow_algae	NA	flow_algae	HighNum_Dry	1	HighNum_Dry	17574531	2
403S00831	403S00831_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.000323214	MaxMonthQ	17574531	2
403S00831	403S00831_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	1	MaxMonthQ_Dry	17574531	2
403S00831	403S00831_modeledflow_bmi	NA	flow_bmi	NoDisturb	-130.5	NoDisturb	17574531	2
403S00831	403S00831_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	1	NoDisturb_Dry	17574531	2
403S00831	403S00831_modeledflow_bmi	NA	flow_bmi	Q99	-5.45E-05	Q99	17574531	2
403S00831	403S00831_modeledflow_algae	NA	flow_algae	Qmax_Dry	1	Qmax_Dry	17574531	2
403S00831	403S00831_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.003301354	QmaxIDR	17574531	2
403S00831	403S00831_modeledflow_algae	NA	flow_algae	QmaxIDR_All	1	QmaxIDR_All	17574531	2
403S00831	403S00831_modeledflow_bmi	NA	flow_bmi	RBI	-1.16E-07	RBI	17574531	2
403S00875	403S00875_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17567963	2
403S00875	403S00875_modeledflow_algae	NA	flow_algae	HighDur_Dry	0.996791816	HighDur_Dry	17567963	2
403S00875	403S00875_modeledflow_bmi	NA	flow_bmi	HighNum	0	HighNum	17567963	2
403S00875	403S00875_modeledflow_algae	NA	flow_algae	HighNum_Dry	1	HighNum_Dry	17567963	2
403S00875	403S00875_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	6.79E-06	MaxMonthQ	17567963	2
403S00875	403S00875_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	1	MaxMonthQ_Dry	17567963	2
403S00875	403S00875_modeledflow_bmi	NA	flow_bmi	NoDisturb	-99.5	NoDisturb	17567963	2
403S00875	403S00875_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	1	NoDisturb_Dry	17567963	2
403S00875	403S00875_modeledflow_bmi	NA	flow_bmi	Q99	-6.00E-09	Q99	17567963	2
403S00875	403S00875_modeledflow_algae	NA	flow_algae	Qmax_Dry	1	Qmax_Dry	17567963	2
403S00875	403S00875_modeledflow_bmi	NA	flow_bmi	QmaxIDR	3.48E-05	QmaxIDR	17567963	2
403S00875	403S00875_modeledflow_algae	NA	flow_algae	QmaxIDR_All	1	QmaxIDR_All	17567963	2
403S00875	403S00875_modeledflow_bmi	NA	flow_bmi	RBI	3.79E-08	RBI	17567963	2
403S01195	403S01195_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17567929	5
403S01195	403S01195_modeledflow_algae	NA	flow_algae	HighDur_Dry	0.988984809	HighDur_Dry	17567929	5
403S01195	403S01195_modeledflow_bmi	NA	flow_bmi	HighNum	0	HighNum	17567929	5
403S01195	403S01195_modeledflow_algae	NA	flow_algae	HighNum_Dry	1	HighNum_Dry	17567929	5
403S01195	403S01195_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.004119086	MaxMonthQ	17567929	5
403S01195	403S01195_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	1	MaxMonthQ_Dry	17567929	5
403S01195	403S01195_modeledflow_bmi	NA	flow_bmi	NoDisturb	12.5	NoDisturb	17567929	5
403S01195	403S01195_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	1	NoDisturb_Dry	17567929	5
403S01195	403S01195_modeledflow_bmi	NA	flow_bmi	Q99	0.53238011	Q99	17567929	5
403S01195	403S01195_modeledflow_algae	NA	flow_algae	Qmax_Dry	1	Qmax_Dry	17567929	5
403S01195	403S01195_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.08444616	QmaxIDR	17567929	5
403S01195	403S01195_modeledflow_algae	NA	flow_algae	QmaxIDR_All	1	QmaxIDR_All	17567929	5
403S01195	403S01195_modeledflow_bmi	NA	flow_bmi	RBI	0.00107913	RBI	17567929	5
403S01272	403S01272_modeledflow_bmi	NA	flow_bmi	HighDur	4.5	HighDur	17574691	5
403S01272	403S01272_modeledflow_algae	NA	flow_algae	HighDur_Dry	0.513370384	HighDur_Dry	17574691	5
403S01272	403S01272_modeledflow_bmi	NA	flow_bmi	HighNum	5	HighNum	17574691	5
403S01272	403S01272_modeledflow_algae	NA	flow_algae	HighNum_Dry	0.796439437	HighNum_Dry	17574691	5
403S01272	403S01272_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.246935434	MaxMonthQ	17574691	5
403S01272	403S01272_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	0.472961584	MaxMonthQ_Dry	17574691	5
403S01272	403S01272_modeledflow_bmi	NA	flow_bmi	NoDisturb	-87.5	NoDisturb	17574691	5
403S01272	403S01272_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	0.759898767	NoDisturb_Dry	17574691	5
403S01272	403S01272_modeledflow_bmi	NA	flow_bmi	Q99	10.10786298	Q99	17574691	5
403S01272	403S01272_modeledflow_algae	NA	flow_algae	Qmax_Dry	0.328325736	Qmax_Dry	17574691	5
403S01272	403S01272_modeledflow_bmi	NA	flow_bmi	QmaxIDR	-11.8996649	QmaxIDR	17574691	5
403S01272	403S01272_modeledflow_algae	NA	flow_algae	QmaxIDR_All	1	QmaxIDR_All	17574691	5
403S01272	403S01272_modeledflow_bmi	NA	flow_bmi	RBI	0.932084026	RBI	17574691	5
403S01536	403S01536_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17569981	4
403S01536	403S01536_modeledflow_algae	NA	flow_algae	HighDur_Dry	1	HighDur_Dry	17569981	4
403S01536	403S01536_modeledflow_bmi	NA	flow_bmi	HighNum	0	HighNum	17569981	4
403S01536	403S01536_modeledflow_algae	NA	flow_algae	HighNum_Dry	1	HighNum_Dry	17569981	4
403S01536	403S01536_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	-3.41E-10	MaxMonthQ	17569981	4
403S01536	403S01536_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	1	MaxMonthQ_Dry	17569981	4
403S01536	403S01536_modeledflow_bmi	NA	flow_bmi	NoDisturb	-122	NoDisturb	17569981	4
403S01536	403S01536_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	1	NoDisturb_Dry	17569981	4
403S01536	403S01536_modeledflow_bmi	NA	flow_bmi	Q99	0	Q99	17569981	4
403S01536	403S01536_modeledflow_algae	NA	flow_algae	Qmax_Dry	1	Qmax_Dry	17569981	4
403S01536	403S01536_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0	QmaxIDR	17569981	4
403S01536	403S01536_modeledflow_algae	NA	flow_algae	QmaxIDR_All	1	QmaxIDR_All	17569981	4
403S01536	403S01536_modeledflow_bmi	NA	flow_bmi	RBI	-0.000884628	RBI	17569981	4
403S01707	403S01707_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17568571	2
403S01707	403S01707_modeledflow_algae	NA	flow_algae	HighDur_Dry	0.988870674	HighDur_Dry	17568571	2
403S01707	403S01707_modeledflow_bmi	NA	flow_bmi	HighNum	0	HighNum	17568571	2
403S01707	403S01707_modeledflow_algae	NA	flow_algae	HighNum_Dry	1	HighNum_Dry	17568571	2
403S01707	403S01707_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.001831598	MaxMonthQ	17568571	2
403S01707	403S01707_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	1	MaxMonthQ_Dry	17568571	2
403S01707	403S01707_modeledflow_bmi	NA	flow_bmi	NoDisturb	-60.5	NoDisturb	17568571	2
403S01707	403S01707_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	1	NoDisturb_Dry	17568571	2
403S01707	403S01707_modeledflow_bmi	NA	flow_bmi	Q99	-0.001134659	Q99	17568571	2
403S01707	403S01707_modeledflow_algae	NA	flow_algae	Qmax_Dry	1	Qmax_Dry	17568571	2
403S01707	403S01707_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.05954706	QmaxIDR	17568571	2
403S01707	403S01707_modeledflow_algae	NA	flow_algae	QmaxIDR_All	0.99847682	QmaxIDR_All	17568571	2
403S01707	403S01707_modeledflow_bmi	NA	flow_bmi	RBI	0.000664276	RBI	17568571	2
403S01728	403S01728_modeledflow_bmi	NA	flow_bmi	HighDur	8	HighDur	17569947	4
403S01728	403S01728_modeledflow_bmi	NA	flow_bmi	HighNum	2.5	HighNum	17569947	4
403S01728	403S01728_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.010289053	MaxMonthQ	17569947	4
403S01728	403S01728_modeledflow_bmi	NA	flow_bmi	NoDisturb	-185	NoDisturb	17569947	4
403S01728	403S01728_modeledflow_bmi	NA	flow_bmi	Q99	0.026137544	Q99	17569947	4
403S01728	403S01728_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.064311338	QmaxIDR	17569947	4
403S01728	403S01728_modeledflow_bmi	NA	flow_bmi	RBI	0.00216063	RBI	17569947	4
403S01784	403S01784_modeledflow_bmi	NA	flow_bmi	HighDur	-1.5	HighDur	17575785	5
