"StationID_Master"	"ChemSampleID"	"SampDate"	"SampleType"	"matrixname"	"StdParamName"	"ResultText"	"ResultValue"	"ResultHalfMDL"	"ConvertTo"	"COMID_NHD2"	"clust"
"402BA0079"	"402BA0079_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	0.26837339	0.26837339	0.26837339	"QmaxIDR"	17586810	2
"402BA0079"	"402BA0079_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.0352538	0.0352538	0.0352538	"MaxMonthQ"	17586810	2
"402BA0079"	"402BA0079_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0.040255074	0.040255074	0.040255074	"RBI"	17586810	2
"402BA0079"	"402BA0079_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-124.5	-124.5	-124.5	"NoDisturb"	17586810	2
"402BA0079"	"402BA0079_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	-2.5	-2.5	-2.5	"HighDur"	17586810	2
"402BA0079"	"402BA0079_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	1.5	1.5	1.5	"HighNum"	17586810	2
"402BA0079"	"402BA0079_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	0.241346285	0.241346285	0.241346285	"Q99"	17586810	2
"402BA0095"	"402BA0095_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	-6.73e-06	-6.73e-06	-6.73e-06	"Q99"	17586570	2
"402BA0095"	"402BA0095_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	1.9e-05	1.9e-05	1.9e-05	"MaxMonthQ"	17586570	2
"402BA0095"	"402BA0095_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	0.000317946	0.000317946	0.000317946	"QmaxIDR"	17586570	2
"402BA0095"	"402BA0095_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	0	0	0	"HighNum"	17586570	2
"402BA0095"	"402BA0095_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0.000961197	0.000961197	0.000961197	"RBI"	17586570	2
"402BA0095"	"402BA0095_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-111.5	-111.5	-111.5	"NoDisturb"	17586570	2
"402BA0095"	"402BA0095_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	0	0	0	"HighDur"	17586570	2
"402BA0143"	"402BA0143_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	1.12775304	1.12775304	1.12775304	"QmaxIDR"	17587720	5
"402BA0143"	"402BA0143_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	-1.5	-1.5	-1.5	"HighDur"	17587720	5
"402BA0143"	"402BA0143_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.068922473	0.068922473	0.068922473	"MaxMonthQ"	17587720	5
"402BA0143"	"402BA0143_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0.005298506	0.005298506	0.005298506	"RBI"	17587720	5
"402BA0143"	"402BA0143_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	1	1	1	"HighNum"	17587720	5
"402BA0143"	"402BA0143_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	0.167851319	0.167851319	0.167851319	"Q99"	17587720	5
"402BA0143"	"402BA0143_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-100.5	-100.5	-100.5	"NoDisturb"	17587720	5
"402BA0335"	"402BA0335_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	1.3346122	1.3346122	1.3346122	"QmaxIDR"	17586848	5
"402BA0335"	"402BA0335_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-60	-60	-60	"NoDisturb"	17586848	5
"402BA0335"	"402BA0335_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0.019603577	0.019603577	0.019603577	"RBI"	17586848	5
"402BA0335"	"402BA0335_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	1.5	1.5	1.5	"HighNum"	17586848	5
"402BA0335"	"402BA0335_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	0	0	0	"HighDur"	17586848	5
"402BA0335"	"402BA0335_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	0.0603182	0.0603182	0.0603182	"Q99"	17586848	5
"402BA0335"	"402BA0335_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.099315716	0.099315716	0.099315716	"MaxMonthQ"	17586848	5
"402WE0536"	"402WE0536_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	0	0	0	"HighNum"	17585714	2
"402WE0536"	"402WE0536_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	0	0	0	"HighDur"	17585714	2
"402WE0536"	"402WE0536_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-33.5	-33.5	-33.5	"NoDisturb"	17585714	2
"402WE0536"	"402WE0536_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.000212398	0.000212398	0.000212398	"MaxMonthQ"	17585714	2
"402WE0536"	"402WE0536_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	0.176670608	0.176670608	0.176670608	"Q99"	17585714	2
"402WE0536"	"402WE0536_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	0.001076773	0.001076773	0.001076773	"QmaxIDR"	17585714	2
"402WE0536"	"402WE0536_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	3.27e-05	3.27e-05	3.27e-05	"RBI"	17585714	2
"402WE0803"	"402WE0803_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	0	0	0	"HighDur"	17586740	2
"402WE0803"	"402WE0803_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	0.00371802	0.00371802	0.00371802	"QmaxIDR"	17586740	2
"402WE0803"	"402WE0803_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.000399381	0.000399381	0.000399381	"MaxMonthQ"	17586740	2
"402WE0803"	"402WE0803_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	-0.000175786	-0.000175786	-0.000175786	"Q99"	17586740	2
