ANALYSIS_TYPE	CHEMICAL_NAME	FinalUnit	StdParamName	GroupNum	GroupName	LogTransf	SSD	SSTV	SensMin	SensMax	TolMin	TolMax	UseInStressorID	DirIncStress
None	E. coli	MPN/100 mL	E_coli_MPN_100mL	1	Bacteria	1	0	0	NA	NA	NA	NA	1	Inc
None	Enterococcus	MPN/100 mL	Enterococcus_MPN_100mL	1	Bacteria	1	0	0	NA	NA	NA	NA	1	Inc
None	"Coliform, Fecal"	MPN/100 mL	FecalColiform_MPN_100mL	1	Bacteria	1	0	0	NA	NA	NA	NA	1	Inc
None	"Coliform, Total"	MPN/100 mL	TotalColiform_MPN_100mL	1	Bacteria	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDD(o,p')"	ng/g dw	DDD_o_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDD(o,p')"	ug/L	DDD_o_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDD(p,p')"	ng/g dw	DDD_p_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDD(p,p')"	ug/L	DDD_p_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDE(o,p')"	ng/g dw	DDE_o_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDE(o,p')"	ug/L	DDE_o_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDE(p,p')"	ng/g dw	DDE_p_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDE(p,p')"	ug/L	DDE_p_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDMU(p,p')"	ng/g dw	DDMU_p_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDMU(p,p')"	ug/L	DDMU_p_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDT(o,p')"	ng/g dw	DDT_o_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDT(o,p')"	ug/L	DDT_o_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDT(p,p')"	ng/g dw	DDT_p_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
Total	"DDT(p,p')"	ug/L	DDT_p_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc
none	IPI	none	IPI	18	habitat	0	0	0	NA	NA	NA	NA	1	Inc
none	Ev_FlowHab_score	none	Ev_FlowHab_score	18	habitat	0	0	0	NA	NA	NA	NA	1	Dec
