StationID_Master	CollDate	nChemSamp	nPhabSamp	nBMISamp	nBMIMetSamp	nAlgMetSamp	nDiatomSamp	nSoftAlgSamp	ChemSampleID	PhabSampID	BMISampID	BMI.Metrics.SampID	Algae.Metrics.SampID	DiatomSampID	SoftAlgaeSampID
10	7/14/2009 0:00	1							10_7/14/2009_1						
10	7/15/2009 0:00	1							10_7/15/2009_1						
101	8/19/2009 0:00	1							101_8/19/2009_1						
101	6/1/2010 0:00	1							101_6/1/2010_1						
103	8/13/2009 0:00	1							103_8/13/2009_1						
103	6/4/2010 0:00	1							103_6/4/2010_1						
105	6/23/2009 0:00	1							105_6/23/2009_1						
105	5/24/2010 0:00	1							105_5/24/2010_1						
106	6/3/2010 0:00	1							106_6/3/2010_1						
108	8/6/2009 0:00	1							108_8/6/2009_1						
108	5/27/2010 0:00	1							108_5/27/2010_1						
109	8/17/2009 0:00	1							109_8/17/2009_1						
11	7/6/2009 0:00	1							11_7/6/2009_1						
111	8/13/2009 0:00	1							111_8/13/2009_1						
111	5/27/2010 0:00	1							111_5/27/2010_1						
114	8/12/2009 0:00	1							114_8/12/2009_1						
115	8/12/2009 0:00	1							115_8/12/2009_1						
115	5/24/2010 0:00	1							115_5/24/2010_1						
118	8/7/2009 0:00	1							118_8/7/2009_1						
119	8/7/2009 0:00	1							119_8/7/2009_1						
119	6/7/2010 0:00	1							119_6/7/2010_1						
11B-46	7/14/2010 0:00	1							11B-46_7/14/2010_1						
11B-48	7/14/2010 0:00	1							11B-48_7/14/2010_1						
11D-50	7/23/2010 0:00	1							11D-50_7/23/2010_1						
121	8/18/2009 0:00	1							121_8/18/2009_1						
121	6/4/2010 0:00	1							121_6/4/2010_1						
123	6/3/2010 0:00	1							123_6/3/2010_1						
124	6/3/2010 0:00	1							124_6/3/2010_1						
125	8/19/2009 0:00	1							125_8/19/2009_1						
125	6/7/2010 0:00	1							125_6/7/2010_1						
128	8/17/2009 0:00	1							128_8/17/2009_1						
128	5/25/2010 0:00	1							128_5/25/2010_1						
129	6/24/2009 0:00	1							129_6/24/2009_1						
129	5/26/2010 0:00	1							129_5/26/2010_1						
130	8/17/2009 0:00	1							130_8/17/2009_1						
130	6/3/2010 0:00	1							130_6/3/2010_1						
132	8/13/2009 0:00	1							132_8/13/2009_1						
132	6/3/2010 0:00	1							132_6/3/2010_1						
133	8/7/2009 0:00	1							133_8/7/2009_1						
133	5/25/2010 0:00	1							133_5/25/2010_1						
134	6/1/2010 0:00	1							134_6/1/2010_1						
135	8/13/2009 0:00	1							135_8/13/2009_1						
135	6/4/2010 0:00	1							135_6/4/2010_1						
136	6/23/2009 0:00	1							136_6/23/2009_1						
136	5/26/2010 0:00	1							136_5/26/2010_1						
14	8/28/2009 0:00	1							14_8/28/2009_1						
14	8/19/2010 0:00	1							14_8/19/2010_1						
140	6/1/2010 0:00	1							140_6/1/2010_1						
141	8/7/2009 0:00	1							141_8/7/2009_1						
141	5/27/2010 0:00	1							141_5/27/2010_1						
16	8/12/2009 0:00	1							16_8/12/2009_1						
16	5/28/2010 0:00	1							16_5/28/2010_1						
16C-61	6/29/2010 0:00	1							16C-61_6/29/2010_1						
17	8/25/2009 0:00	1							17_8/25/2009_1						
17	8/17/2010 0:00	1							17_8/17/2010_1						
17B-46	7/23/2010 0:00	1							17B-46_7/23/2010_1						
17C-83	7/23/2010 0:00	1							17C-83_7/23/2010_1						
17D-21	7/26/2010 0:00	1							17D-21_7/26/2010_1						
17D-37	7/2/2010 0:00	1							17D-37_7/2/2010_1						
17D-7	7/23/2010 0:00	1							17D-7_7/23/2010_1						
18	8/28/2009 0:00	1							18_8/28/2009_1						
18	8/20/2010 0:00	1							18_8/20/2010_1						
18A	6/23/2009 0:00	1							18A_6/23/2009_1						
18A	5/24/2010 0:00	1							18A_5/24/2010_1						
18D-33A	7/23/2010 0:00	1							18D-33A_7/23/2010_1						
18D-6	7/26/2010 0:00	1							18D-6_7/26/2010_1						
19C-1	6/30/2010 0:00	1							19C-1_6/30/2010_1						
1b	7/15/2009 0:00	1							1b_7/15/2009_1						
1c	7/6/2009 0:00	1							1c_7/6/2009_1						
1C-21	7/26/2010 0:00	1							1C-21_7/26/2010_1						
1D-20	6/29/2010 0:00	1							1D-20_6/29/2010_1						
20	8/28/2009 0:00	1							20_8/28/2009_1						
20	8/23/2010 0:00	1							20_8/23/2010_1						
21	8/19/2010 0:00	1							21_8/19/2010_1						
21A	6/24/2009 0:00	1							21A_6/24/2009_1						
21A	5/26/2010 0:00	1							21A_5/26/2010_1						
21B	8/17/2009 0:00	1							21B_8/17/2009_1						
21B	5/26/2010 0:00	1							21B_5/26/2010_1						
21C-14	6/30/2010 0:00	1							21C-14_6/30/2010_1						
22	8/26/2009 0:00	1							22_8/26/2009_1						
22	8/19/2010 0:00	1							22_8/19/2010_1						
22B-11	7/22/2010 0:00	1							22B-11_7/22/2010_1						
24	8/24/2009 0:00	1							24_8/24/2009_1						
24	8/16/2010 0:00	1							24_8/16/2010_1						
25	8/24/2009 0:00	1							25_8/24/2009_1						
25	8/16/2010 0:00	1							25_8/16/2010_1						
25D-2	7/15/2010 0:00	1							25D-2_7/15/2010_1						
27	8/27/2009 0:00	1							27_8/27/2009_1						
27	8/18/2010 0:00	1							27_8/18/2010_1						
27D-17	6/30/2010 0:00	1							27D-17_6/30/2010_1						
28	8/19/2010 0:00	1							28_8/19/2010_1						
28C-70	7/1/2010 0:00	1							28C-70_7/1/2010_1						
28C-73	7/1/2010 0:00	1							28C-73_7/1/2010_1						
29B-44	6/30/2010 0:00	1							29B-44_6/30/2010_1						
30A-38	7/2/2010 0:00	1							30A-38_7/2/2010_1						
315ABHxxx	4/21/2001 0:00			1							315ABHxxx_BMI_CSBP_Trans_4/21/2001_1				
315ABHxxx	3/26/2002 0:00			1							315ABHxxx_BMI_CSBP_Trans_3/26/2002_1				
315ABUxxx	4/21/2001 0:00			1							315ABUxxx_BMI_CSBP_Trans_4/21/2001_1				
315ABUxxx	3/26/2002 0:00			1							315ABUxxx_BMI_CSBP_Trans_3/26/2002_1				
315ABUxxx	4/13/2004 0:00			1							315ABUxxx_BMI_CSBP_Trans_4/13/2004_1				
315ABUxxx	4/28/2005 0:00			1							315ABUxxx_BMI_RWB_4/28/2005_1				
315ARH101	6/14/2010 0:00		1	1		1	1	1		315ARH101_6/14/2010_1	315ARH101_BMI_RWB_6/14/2010_1		315ARH101_6/14/2010_1	315ARH101_6/14/2010_1	315ARH101_6/14/2010_1
315ATAxxx	4/21/2001 0:00			1							315ATAxxx_BMI_CSBP_Trans_4/21/2001_1				
315ATAxxx	3/26/2002 0:00			1							315ATAxxx_BMI_CSBP_Trans_3/26/2002_1				
315ATAxxx	4/13/2004 0:00			1							315ATAxxx_BMI_CSBP_Trans_4/13/2004_1				
315ATAxxx	4/28/2005 0:00			1							315ATAxxx_BMI_RWB_4/28/2005_1				
315ATUxxx	4/10/2008 0:00		1	1						315ATUxxx_4/10/2008_1	315ATUxxx_BMI_RWB_4/10/2008_1				
315ATUxxx	6/4/2010 0:00		1	1						315ATUxxx_6/4/2010_1	315ATUxxx_BMI_RWB_6/4/2010_1				
315CAPxxx	4/20/2001 0:00			1							315CAPxxx_BMI_CSBP_Trans_4/20/2001_1				
315CAPxxx	3/23/2002 0:00			1							315CAPxxx_BMI_CSBP_Trans_3/23/2002_1				
315CAPxxx	5/8/2008 0:00		1	2						315CAPxxx_5/8/2008_1	315CAPxxx_BMI_RWB_5/8/2008_1				
315CAUxxx	4/14/2001 0:00			1							315CAUxxx_BMI_CSBP_Trans_4/14/2001_1				
315CAUxxx	4/8/2008 0:00		1	1						315CAUxxx_4/8/2008_1	315CAUxxx_BMI_RWB_4/8/2008_1				
315CCDxxx	9/15/1999 0:00			1							315CCDxxx_BMI_CSBP_Trans_9/15/1999_1				
315CCUxxx	9/15/1999 0:00			1							315CCUxxx_BMI_CSBP_Trans_9/15/1999_1				
315CRPxxx	4/14/2001 0:00			1							315CRPxxx_BMI_CSBP_Trans_4/14/2001_1				
315CRPxxx	3/25/2002 0:00			1							315CRPxxx_BMI_CSBP_Trans_3/25/2002_1				
315CRPxxx	4/12/2004 0:00			1							315CRPxxx_BMI_CSBP_Trans_4/12/2004_1				
315CRPxxx	4/26/2005 0:00			1							315CRPxxx_BMI_RWB_4/26/2005_1				
