StationID_Master	BMISampleID	CollDate	DataType3	CSCI	O_E	MMI_Score	BurrowerPct	BurrowerTaxa	BurrowerTaxaPct	CFCGPct	CFCGTaxa	CFCGTaxaPct	ClimberPct	ClimberTaxa	ClimberTaxaPct	ClingerPct	ClingerTaxa	ClingerTaxaPct	ColeopteraTaxa	ColeopteraTaxaPct	DipteraPct	DipteraTaxa	DipteraTaxaPct	DominantPct	EPTPct	EPTTaxa	EPTTaxaPct	IntolerantPct	IntolerantTaxa	IntolerantTaxaPct	InvasivePct	InvasiveTaxa	InvasiveTaxaPct	ScraperPct	ScraperTaxa	ScraperTaxaPct	ShannonDiversity	ShredderPct	ShredderTaxa	ShredderTaxaPct	SimpsonDiversity	SwimmerPct	SwimmerTaxa	SwimmerTaxaPct	TaxaRichness	TolerantPct	TolerantTaxa	TolerantTaxaPct
402BA0079	402BA0079_5/28/2008_1	5/28/2008 0:00:00	BMI	0.81	0.81	0.80	0.28	3.00	0.15	0.77	12.67	0.46	4.405286e-03	1.00	0.05	0.17	5.57	0.31	1.82	0.07	0.36	8.00	0.28	0.68	0.41	4.66	0.25	6.0e-03	2.00	0.07	0.00	0.00	0.00	4.0e-03	2.00	0.07	2.09	0.01	1.00	0.03	0.80	0.05	3.00	0.15	28.00	0.18	11.00	0.39
402BA0143	402BA0143_5/21/2008_1	5/21/2008 0:00:00	BMI	0.60	0.73	0.46	0.68	1.00	0.14	0.81	5.87	0.40	0.01	1.00	0.14	0.00	0.00	0.00	2.22	0.13	0.39	2.00	0.13	0.75	0.04	1.33	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.03	1.00	0.06	1.79	0.00	0.00	0.00	0.76	0.29	4.00	0.57	15.00	0.34	9.00	0.60
402BA0335	402BA0335_5/27/2008_1	5/27/2008 0:00:00	BMI	0.81	0.90	0.72	0.40	2.00	0.11	0.90	10.85	0.40	0.00	0.00	0.00	0.04	6.60	0.41	0.00	0.00	0.38	3.00	0.11	0.84	0.53	8.00	0.44	0.02	3.00	0.11	0.00	0.00	0.00	0.03	3.00	0.11	1.59	0.00	0.00	0.00	0.67	0.09	5.00	0.29	27.00	0.08	9.00	0.33
402BA0335	402BA0335_5/27/2008_2	5/27/2008 0:00:00	BMI	0.61	0.59	0.64					7.20						7.10		1.50											0.05							1.50		0.00									
402WE0803	402WE0803_6/12/2001_1	6/12/2001 0:00:00	BMI	0.94	0.98	0.90					9.95						13.40	0.52	1.50	0.04							0.52	0.05		0.25							1.73		2.00						23.00			
402WE0803	402WE0803_6/12/2001_2	6/12/2001 0:00:00	BMI	0.94	0.98	0.90					10.00						14.00	0.52	5.00	0.04							0.52	0.05		0.28							2.19		2.00						23.00			
402WE0803	402WE0803_6/12/2001_3	6/12/2001 0:00:00	BMI	0.94	0.98	0.90					10.00						10.00	0.52	1.00	0.04							0.52	0.05		0.30							1.86		2.00						23.00			
403BA0047	403BA0047_5/15/2008_1	5/15/2008 0:00:00	BMI	0.26	0.37	0.16	1.00	1.00	1.00	0.99	2.92	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	1.00	0.25	0.99	0.00	1.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.0e-03	1.00	0.25	0.31	0.00	0.00	0.00	0.15	0.00	0.00	0.00	4.00	0.91	2.00	0.50
403BA0068	403BA0068_5/14/2008_1	5/14/2008 0:00:00	BMI	0.62	0.60	0.65	0.02	1.00	0.14	0.98	4.85	0.55	0.00	0.00	0.00	0.33	2.72	0.42	0.90	0.11	0.41	4.00	0.44	0.96	0.58	1.33	0.22	2.0e-03	1.00	0.11	0.00	0.00	0.00	2.0e-03	1.00	0.11	1.00	0.00	0.00	0.00	0.55	0.58	1.00	0.14	9.00	0.06	3.00	0.33
403BA0140	403BA0140_5/21/2008_1	5/21/2008 0:00:00	BMI	0.72	0.83	0.60	0.58	2.00	0.20	0.92	6.30	0.50	0.00	0.00	0.00	6.410256e-03	1.95	0.20	0.97	0.08	0.97	9.00	0.75	0.89	0.00	0.00	0.00	4.0e-03	1.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.63	0.03	2.00	0.20	12.00	0.02	3.00	0.25
403CE0156	403CE0156_5/18/2005_1	5/18/2005 0:00:00	BMI	0.45	0.36	0.54					4.47						1.97		0.47											0.05							0.48		0.50									
403CE0188	403CE0188_5/17/2005_1	5/17/2005 0:00:00	BMI	0.49	0.47	0.51					5.00						1.00		1.00											0.00							0.55		0.00									
403CE0188	403CE0188_5/17/2005_2	5/17/2005 0:00:00	BMI	0.55	0.48	0.61					6.00						3.00		0.00											0.14							0.80		1.00									
403FCA022	403FCA022_5/27/2009_1	5/27/2009 0:00:00	BMI	0.84	0.88	0.79					9.70						8.35		2.65											0.11							1.98		0.00									
403FCA022	403FCA022_5/27/2009_2	5/27/2009 0:00:00	BMI	0.89	0.99	0.79					13.35						3.80		2.60											0.04							1.90		0.00									
403FCA038	403FCA038_5/26/2009_1	5/26/2009 0:00:00	BMI	0.64	0.69	0.58					7.35						2.00		0.00											0.00							0.99		0.00									
403S00772	403S00772_5/20/2009_1	5/20/2009 0:00:00	BMI	0.98	1.11	0.85	0.42	2.00	0.10	0.83	12.70	0.52	4.329004e-03	1.00	0.05	0.13	7.72	0.40	1.45	0.08	0.47	6.00	0.24	0.62	0.43	9.43	0.40	0.01	2.00	0.08	0.00	0.00	0.00	8.0e-03	2.00	0.08	2.16	6.0e-03	1.00	0.04	0.80	0.24	4.00	0.20	25.00	0.05	4.00	0.16
403S00831	403S00831_6/10/2010_1	6/10/2010 0:00:00	BMI	0.51	0.50	0.51	0.45	1.00	0.16	0.69	3.00	0.37	0.03	1.00	0.16	0.16	1.00	0.16	1.00	0.12	0.81	4.00	0.50	0.82	0.14	0.66	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.01	1.00	0.12	1.51	0.00	0.00	0.00	0.72	4.555809e-03	1.00	0.16	8.00	0.03	2.00	0.25
403S01164	403S01164_6/24/2011_1	6/24/2011 0:00:00	BMI	1.02	1.22	0.81												0.16		0.13							0.26	2.0e-03											1.00						30.00			
403S01272	403S01272_6/9/2009_1	6/9/2009 0:00:00	BMI	0.95	0.99	0.91	0.11	3.00	0.13	0.79	14.80	0.57	4.329004e-03	1.00	0.04	0.30	5.87	0.26	0.00	0.00	0.27	12.00	0.46	0.59	0.66	7.33	0.42	0.03	7.00	0.26	0.00	0.00	0.00	8.0e-03	1.00	0.03	2.20	8.0e-03	2.00	0.07	0.84	0.49	3.00	0.13	26.00	0.09	6.00	0.23
403S01784	403S01784_6/9/2009_1	6/9/2009 0:00:00	BMI	0.75	0.76	0.74	0.12	1.00	0.07	0.79	8.85	0.42	0.05	2.00	0.14	0.10	3.00	0.21	2.92	0.14	0.16	7.00	0.33	0.66	0.65	10.29	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.02	1.00	0.04	2.10	0.00	0.00	0.00	0.81	0.29	4.00	0.28	21.00	0.16	7.00	0.33
403S01979	403S01979_7/14/2011_1	7/14/2011 0:00:00	BMI	0.99	0.97	1.00												0.54		0.06							0.50	0.19											2.00						30.00			
403S02764	403S02764_6/14/2011_1	6/14/2011 0:00:00	BMI	0.79	0.89	0.68	0.28	2.00	0.15	0.62	10.00	0.43	0.10	1.00	0.07	0.33	5.00	0.38	0.00	0.00	0.29	6.00	0.26	0.59	0.59	8.66	0.30	6.0e-03	2.00	0.08	0.00	0.00	0.00	0.02	2.00	0.08	2.31	4.0e-03	1.00	0.04	0.85	0.17	2.00	0.15	23.00	0.07	8.00	0.34
403S03832	403S03832_6/8/2009_1	6/8/2009 0:00:00	BMI	0.63	0.72	0.54	0.60	2.00	0.16	0.52	10.25	0.58	0.00	0.00	0.00	0.23	1.95	0.16	0.87	0.05	0.43	9.00	0.52	0.79	6.0e-03	31.41	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.42	1.00	0.05	1.64	0.01	1.00	0.05	0.72	0.05	3.00	0.25	17.00	0.58	7.00	0.41
403S04600	403S04600_6/8/2010_1	6/8/2010 0:00:00	BMI	0.85	1.02	0.69	0.07	1.00	0.09	0.92	10.00	0.55	0.01	2.00	0.18	0.14	3.00	0.27	1.00	0.05	0.18	5.00	0.27	0.71	0.74	3.33	0.27	0.00	0.00	0.00	0.00	0.00	0.00	2.0e-03	1.00	0.05	1.91	0.00	0.00	0.00	0.78	0.36	3.00	0.27	18.00	0.02	4.00	0.22
403S04868	403S04868_6/15/2011_1	6/15/2011 0:00:00	BMI	1.00	1.00	1.00	0.08	3.00	0.16	0.76	8.00	0.38	0.00	0.00	0.00	0.72	9.00	0.50	3.00	0.14	0.52	4.00	0.19	0.70	0.41	6.66	0.47	0.04	4.00	0.19	0.00	0.00	0.00	0.01	3.00	0.14	1.89	0.00	0.00	0.00	0.75	0.16	5.00	0.27	21.00	0.03	2.00	0.09
403S05247	403S05247_6/1/2010_1	6/1/2010 0:00:00	BMI	0.93	1.01	0.84	0.10	3.00	0.20	0.85	11.00	0.52	2.364066e-03	1.00	0.06	0.06	5.00	0.33	4.00	0.19	0.12	3.00	0.14	0.65	0.68	4.00	0.28	6.0e-03	1.00	0.04	0.00	0.00	0.00	0.10	3.00	0.14	2.04	0.00	0.00	0.00	0.79	0.74	5.00	0.33	21.00	0.21	7.00	0.33
403S06904	403S06904_6/9/2010_1	6/9/2010 0:00:00	BMI	0.80	0.88	0.71	0.25	3.00	0.15	0.53	11.00	0.35	0.03	3.00	0.15	0.44	4.00	0.21	3.00	0.09	0.21	9.00	0.29	0.41	0.37	15.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.05	2.00	0.06	2.76	0.00	0.00	0.00	0.91	0.15	5.00	0.26	31.00	0.32	11.00	0.35
403S11084	403S11084_6/9/2010_1	6/9/2010 0:00:00	BMI	0.59	0.64	0.53	0.95	2.00	0.40	0.94	5.00	0.45	0.00	0.00	0.00	0.04	2.00	0.40	0.00	0.00	0.94	4.00	0.36	0.97	0.03	1.66	0.18	0.00	0.00	0.00	0.00	0.00	0.00	2.0e-03	1.00	0.09	0.38	0.00	0.00	0.00	0.13	2.040816e-03	1.00	0.20	11.00	6.0e-03	3.00	0.27
403S14156	403S14156_6/9/2009_1	6/9/2009 0:00:00	BMI	0.67	0.77	0.58	0.10	3.00	0.20	0.87	9.87	0.52	0.01	1.00	0.06	0.19	2.00	0.13	0.00	0.00	0.23	9.00	0.47	0.69	0.71	3.96	0.21	0.00	0.00	0.00	0.00	0.00	0.00	8.0e-03	1.00	0.05	1.88	0.00	0.00	0.00	0.77	0.61	2.00	0.13	19.00	0.05	8.00	0.42
