GroupNum	GroupName	DataType3	Analyte	LogTransf	SSTV	SensMin	SensMax	TolMin	TolMax	SSD
1	Water quality		AlkalinityCaCO3_f_mg_L	1	0					0
1	Water quality		AlkalinityCaCO3_uf_mg_L	1	0					0
1	Water quality		Bicarbonate_uf_mg_L	1	0					0
1	Water quality		BOD_mg_L	1	0					0
1	Water quality		COD_mg_L	1	0					0
1	Water quality		DO_uf_mg_L	0	0					0
1	Water quality		Hardness_CaCO3_f_mg_L	1	0					0
1	Water quality		Hardness_CaCO3_uf_mg_L	1	0					0
1	Water quality		pH	0	0					0
1	Water quality		Salinity_uf_ppt	1	0					0
1	Water quality		SpecCond_uf_µS_cm	1	SpecCondTolVal	1	2	5	6	0
1	Water quality		TDS_f_mg_L	1	0					0
1	Water quality		Temp_degC	0	0					0
1	Water quality		TSS_uf_mg_L	1	0					0
1	Water quality		Turb_NTU	1	0					0
2	Bacteria		Coliform_Fecal_MPN_100mL	1	0					0
2	Bacteria		Coliform_Total_MPN_100mL	1	0					0
2	Bacteria		E_coli_MPN_100_mL	1	0					0
2	Bacteria		Enterococcus_MPN_100_mL	1	0					0
3	Ions_Metals		Ag_f_µg_L	1	0					0
3	Ions_Metals		Ag_uf_µg_L	1	0					0
3	Ions_Metals		Al_f_µg_L	1	0					0
3	Ions_Metals		Al_uf_µg_L	1	0					0
3	Ions_Metals		As_f_µg_L	1	0					0
3	Ions_Metals		As_uf_µg_L	1	0					0
3	Ions_Metals		B_f_µg_L	1	0					0
3	Ions_Metals		B_uf_µg_L	1	0					0
3	Ions_Metals		Ca_f_mg_L	1	0					0
3	Ions_Metals		Ca_uf_mg_L	1	0					0
3	Ions_Metals		Cd_f_µg_L	1	0					0
3	Ions_Metals		Cd_uf_µg_L	1	0					0
3	Ions_Metals		Cl_f_mg_L	1	0					0
3	Ions_Metals		Cr_f_µg_L	1	0					0
3	Ions_Metals		Cr_uf_µg_L	1	0					0
3	Ions_Metals		Cu_f_µg_L	1	0					0
3	Ions_Metals		Cu_uf_µg_L	1	0					0
3	Ions_Metals		F_f_mg_L	1	0					0
3	Ions_Metals		F_uf_mg_L	1	0					0
3	Ions_Metals		Fe_f_µg_L	1	0					0
3	Ions_Metals		Fe_uf_µg_L	1	0					0
3	Ions_Metals		Hg_f_ng_L	1	0					0
3	Ions_Metals		Hg_uf_ng_L	1	0					0
3	Ions_Metals		K_f_mg_L	1	0					0
3	Ions_Metals		K_uf_mg_L	1	0					0
3	Ions_Metals		Mg_f_mg_L	1	0					0
3	Ions_Metals		Mg_uf_mg_L	1	0					0
3	Ions_Metals		Mn_f_µg_L	1	0					0
3	Ions_Metals		Mn_uf_µg_L	1	0					0
3	Ions_Metals		Na_f_mg_L	1	0					0
3	Ions_Metals		Na_uf_mg_L	1	0					0
3	Ions_Metals		Ni_f_µg_L	1	0					0
3	Ions_Metals		Ni_uf_µg_L	1	0					0
3	Ions_Metals		Pb_f_µg_L	1	0					0
3	Ions_Metals		Pb_uf_µg_L	1	0					0
3	Ions_Metals		Sb_f_µg_L	1	0					0
3	Ions_Metals		Sb_uf_µg_L	1	0					0
3	Ions_Metals		Se_f_µg_L	1	0					0
3	Ions_Metals		Se_uf_µg_L	1	0					0
3	Ions_Metals		Si_SiO2_uf_mg_L	1	0					0
3	Ions_Metals		Zn_f_µg_L	1	0					0
3	Ions_Metals		Zn_uf_µg_L	1	0					0
4	Nutrients		AFDM_Algae_Particulate_g_m2	1	0					0
4	Nutrients		Chlor_a_mg_m2	1	0					0
4	Nutrients		Chlor_a_mg_m3	1	0					0
4	Nutrients		Chlor_a_Particulate_µg_L	1	0					0
4	Nutrients		Chlor_a_Particulate_mg_m2	1	0					0
4	Nutrients		DIC_f_mg_L	1	0					0
4	Nutrients		DOC_f_mg_L	1	0					0
4	Nutrients		DP_f_mg_L	1	0					0
4	Nutrients		DP_P_f_mg_L	1	0					0
4	Nutrients		DP_P_mg_L	1	0					0
4	Nutrients		NH3_N_f_mg_L	1	0					0
4	Nutrients		NH3_N_uf_mg_L	1	0					0
4	Nutrients		NO2_N_f_mg_L	1	0					0
4	Nutrients		NO2_N_uf_mg_L	1	0					0
4	Nutrients		NO2NO3_N_f_mg_L	1	0					0
4	Nutrients		NO2NO3_N_uf_mg_L	1	0					0
4	Nutrients		NO3_N_f_mg_L	1	0					0
4	Nutrients		NO3_N_uf_mg_L	1	0					0
4	Nutrients		oPO4_P_f_mg_L	1	0					0
4	Nutrients		oPO4_P_uf_mg_L	1	0					0
4	Nutrients		Pheo_a_Particulate_µg_L	1	0					0
4	Nutrients		Si_SiO2_f_mg_L	1	0					0
4	Nutrients		SO4_f_mg_L	1	0					0
4	Nutrients		TIN_uf_mg_L	1	0					0
4	Nutrients		TKN_uf_mg_L	1	0					0
4	Nutrients		TN_uf_mg_L	1	0					0
4	Nutrients		TOC_%	1	0					0
4	Nutrients		TOC_uf_mg_L	1	0					0
4	Nutrients		TP_mg_L	1	0					0
4	Nutrients		TP_P_uf_mg_L	1	0					0
5	Organometallics	Tin	Dibutyltin_Sn_uf_µg_L	1	0					0
5	Organometallics	Mercury	MethylMercury_uf_ng_L	1	0					0
5	Organometallics	Tin	Tributyltin_Sn_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Aldrin_uf_µg_L	1	0					0
6	Pesticides	Pest-Pyrethroids	Allethrin_uf_µg_L	1	0					0
6	Pesticides	Herbicides	Ametryn_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Aspon_uf_µg_L	1	0					0
6	Pesticides	Herbicides	Atraton_uf_µg_L	1	0					0
6	Pesticides	Herbicides	Atrazine_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Azinphos ethyl_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Azinphos methyl_uf_µg_L	1	0					0
6	Pesticides	Fungicides	Azoxystrobin_uf_µg_L	1	0					0
6	Pesticides	Pest-Pyrethroids	Bifenthrin_uf_µg_L	1	0					0
6	Pesticides	Fungicides	Biphenyl_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Biphenyl_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Bolstar_uf_µg_L	1	0					0
6	Pesticides	Fungicides	Boscalid_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Carbophenothion_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Chlordane_cis_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Chlordane_trans_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Chlordene_alpha_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Chlordene_cis_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Chlordene_gamma_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Chlordene_Total_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Chlordene_trans_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Chlorfenvinphos_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Chlorpyrifos_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Chlorpyrifos_methyl_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Chlorpyrifos_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Ciodrin_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Coumaphos_uf_µg_L	1	0					0
6	Pesticides	Herbicides	Cyanazine_uf_µg_L	1	0					0
6	Pesticides	Pest-Pyrethroids	Cyfluthrin_uf_µg_L	1	0					0
6	Pesticides	Pest-Pyrethroids	Cyhalothrin_lambda_uf_µg_L	1	0					0
6	Pesticides	Pest-Pyrethroids	Cypermethrin_uf_µg_L	1	0					0
6	Pesticides	Herbicides	Dacthal_uf_µg_L	1	0					0
6	Pesticides	Pest-Pyrethroids	Danitol_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	"DDD(o,p')_uf_µg_L"	1	0					0
6	Pesticides	Conventional pesticides	"DDD(p,p')_uf_µg_L"	1	0					0
6	Pesticides	Conventional pesticides	"DDE(o,p')_uf_µg_L"	1	0					0
6	Pesticides	Conventional pesticides	"DDE(p,p')_uf_µg_L"	1	0					0
6	Pesticides	Conventional pesticides	"DDMU(p,p')_uf_µg_L"	1	0					0
6	Pesticides	Conventional pesticides	"DDT(o,p')_uf_µg_L"	1	0					0
6	Pesticides	Conventional pesticides	"DDT(p,p')_uf_µg_L"	1	0					0
6	Pesticides	Pest-Pyrethroids	Deltamethrin_uf_µg_L	1	0					0
6	Pesticides	Pest-Pyrethroids	DeltamethrinTralomethrin_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Demeton_o_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Demeton_s_uf_µg_L	1	0					0
6	Pesticides	Herbicides	Desmetryn_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Diazinon_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Diazinon_ug_L	1	0					0
6	Pesticides	Organophosphate pesticides	Dichlofenthion_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Dichlorvos_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Dicrotophos_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Dieldrin_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Dimethoate_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Dioxathion _uf_µg_L	1	0					0
6	Pesticides	Herbicides	Dipropetryn_uf_µg_L	1	0					0
6	Pesticides	Organophosphate pesticides	Disulfoton_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Endosulfan_I_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Endosulfan_II_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Endosulfan_sulfate_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Endrin_Aldehyde_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Endrin_Ketone_uf_µg_L	1	0					0
6	Pesticides	Conventional pesticides	Endrin_uf_µg_L	1	0					0
