StationID_Master	ChemSampleID	CollDate	ConvertTo	Result_Text	ResultValue	MDLvalue	HalfMDL	ResultQualCode	Description
10	10_7/14/2009_1	7/14/2009 0:00:00	Cd_f_µg_L			2.50	1.25	ND	Not detected
10	10_7/14/2009_1	7/14/2009 0:00:00	Pb_f_µg_L			2.50	1.25	ND	Not detected
10	10_7/15/2009_1	7/15/2009 0:00:00	Chlorpyrifos_µg_L			0.02	0.01	ND	Not detected
10	10_7/15/2009_1	7/15/2009 0:00:00	Diazinon_ug_L			0.02	0.01	ND	Not detected
101	101_6/1/2010_1	6/1/2010 0:00:00	NH3_N_uf_mg_L		0.10			E	Detected concentration exceeded calibration range
101	101_6/1/2010_1	6/1/2010 0:00:00	NO3_N_uf_mg_L		0.52			E	Detected concentration exceeded calibration range
101	101_8/19/2009_1	8/19/2009 0:00:00	NO3_N_uf_mg_L		0.91			E	Detected concentration exceeded calibration range
103	103_6/4/2010_1	6/4/2010 0:00:00	NH3_N_uf_mg_L		0.14			E	Detected concentration exceeded calibration range
103	103_6/4/2010_1	6/4/2010 0:00:00	NO3_N_uf_mg_L		0.12			E	Detected concentration exceeded calibration range
103	103_6/4/2010_1	6/4/2010 0:00:00	oPO4_P_uf_mg_L		0.01			E	Detected concentration exceeded calibration range
103	103_8/13/2009_1	8/13/2009 0:00:00	NO3_N_uf_mg_L		0.11			E	Detected concentration exceeded calibration range
103	103_8/13/2009_1	8/13/2009 0:00:00	oPO4_P_uf_mg_L		0.03			E	Detected concentration exceeded calibration range
105	105_5/24/2010_1	5/24/2010 0:00:00	oPO4_P_uf_mg_L		0.05			E	Detected concentration exceeded calibration range
105	105_6/23/2009_1	6/23/2009 0:00:00	oPO4_P_uf_mg_L		0.01			E	Detected concentration exceeded calibration range
106	106_6/3/2010_1	6/3/2010 0:00:00	NO3_N_uf_mg_L		0.09			E	Detected concentration exceeded calibration range
106	106_6/3/2010_1	6/3/2010 0:00:00	oPO4_P_uf_mg_L		0.08			E	Detected concentration exceeded calibration range
108	108_5/27/2010_1	5/27/2010 0:00:00	NH3_N_uf_mg_L		0.04			E	Detected concentration exceeded calibration range
108	108_8/6/2009_1	8/6/2009 0:00:00	Cd_f_µg_L			0.50	0.25	ND	Not detected
108	108_8/6/2009_1	8/6/2009 0:00:00	Chlorpyrifos_µg_L			0.02	0.01	ND	Not detected
108	108_8/6/2009_1	8/6/2009 0:00:00	Coliform_Fecal_MPN_100mL			5.00	2.50	ND	Not detected
108	108_8/6/2009_1	8/6/2009 0:00:00	Diazinon_ug_L			0.02	0.01	ND	Not detected
108	108_8/6/2009_1	8/6/2009 0:00:00	NO3_N_uf_mg_L			0.56	0.28	ND	Not detected
108	108_8/6/2009_1	8/6/2009 0:00:00	oPO4_P_uf_mg_L		0.02			E	Detected concentration exceeded calibration range
108	108_8/6/2009_1	8/6/2009 0:00:00	Pb_f_µg_L			0.50	0.25	ND	Not detected
108	108_8/6/2009_1	8/6/2009 0:00:00	Zn_f_µg_L			10.00	5.00	ND	Not detected
109	109_8/17/2009_1	8/17/2009 0:00:00	oPO4_P_uf_mg_L		0.08			E	Detected concentration exceeded calibration range
11	11_7/6/2009_1	7/6/2009 0:00:00	Cd_f_µg_L			2.50	1.25	ND	Not detected
11	11_7/6/2009_1	7/6/2009 0:00:00	Chlorpyrifos_µg_L			0.02	0.01	ND	Not detected
11	11_7/6/2009_1	7/6/2009 0:00:00	Coliform_Total_MPN_100mL		1600000.00			>	Detected value is greater than the value in the ResultValue field
11	11_7/6/2009_1	7/6/2009 0:00:00	Diazinon_ug_L			0.02	0.01	ND	Not detected
11	11_7/6/2009_1	7/6/2009 0:00:00	NH3_N_uf_mg_L			0.05	0.02	ND	Not detected
11	11_7/6/2009_1	7/6/2009 0:00:00	NO3_N_uf_mg_L			0.02	0.01	ND	Not detected
11	11_7/6/2009_1	7/6/2009 0:00:00	Pb_f_µg_L			2.50	1.25	ND	Not detected
111	111_5/27/2010_1	5/27/2010 0:00:00	NH3_N_uf_mg_L		0.08			E	Detected concentration exceeded calibration range
111	111_8/13/2009_1	8/13/2009 0:00:00	Cd_f_µg_L			0.50	0.25	ND	Not detected
111	111_8/13/2009_1	8/13/2009 0:00:00	Chlorpyrifos_µg_L			0.02	0.01	ND	Not detected
111	111_8/13/2009_1	8/13/2009 0:00:00	Cu_f_µg_L			0.50	0.25	ND	Not detected
111	111_8/13/2009_1	8/13/2009 0:00:00	Diazinon_ug_L			0.02	0.01	ND	Not detected
111	111_8/13/2009_1	8/13/2009 0:00:00	NH3_N_uf_mg_L		0.08			E	Detected concentration exceeded calibration range
111	111_8/13/2009_1	8/13/2009 0:00:00	oPO4_P_uf_mg_L			0.04	0.02	ND	Not detected
111	111_8/13/2009_1	8/13/2009 0:00:00	Pb_f_µg_L			0.50	0.25	ND	Not detected
111	111_8/13/2009_1	8/13/2009 0:00:00	Zn_f_µg_L			10.00	5.00	ND	Not detected
114	114_8/12/2009_1	8/12/2009 0:00:00	NO3_N_uf_mg_L		1.04			E	Detected concentration exceeded calibration range
115	115_5/24/2010_1	5/24/2010 0:00:00	NH3_N_uf_mg_L		0.11			E	Detected concentration exceeded calibration range
115	115_5/24/2010_1	5/24/2010 0:00:00	NO3_N_uf_mg_L		0.84			E	Detected concentration exceeded calibration range
115	115_8/12/2009_1	8/12/2009 0:00:00	NO3_N_uf_mg_L		0.37			E	Detected concentration exceeded calibration range
118	118_8/7/2009_1	8/7/2009 0:00:00	oPO4_P_uf_mg_L		0.08			E	Detected concentration exceeded calibration range
119	119_6/7/2010_1	6/7/2010 0:00:00	NH3_N_uf_mg_L		0.19			E	Detected concentration exceeded calibration range
