StationID_Master	SampleID	CollDate	ConvertTo	ResultValue	MDLvalue	ResultQualCode	Description
315ARH101	315ARH101_6/14/2010_1	6/14/2010 0:00:00	Embeddedness	30.00		=	Detected value is equal to the value in the ResultValue field
315ATUxxx	315ATUxxx_4/10/2008_1	4/10/2008 0:00:00	Embeddedness	52.35		=	Detected value is equal to the value in the ResultValue field
315ATUxxx	315ATUxxx_4/10/2008_1	4/10/2008 0:00:00	EmbeddednessReach	45.00		=	Detected value is equal to the value in the ResultValue field
315ATUxxx	315ATUxxx_6/4/2010_1	6/4/2010 0:00:00	Embeddedness	67.00		=	Detected value is equal to the value in the ResultValue field
315ATUxxx	315ATUxxx_6/4/2010_1	6/4/2010 0:00:00	EmbeddednessReach	65.00		=	Detected value is equal to the value in the ResultValue field
315CAPxxx	315CAPxxx_5/8/2008_1	5/8/2008 0:00:00	Embeddedness	31.31		=	Detected value is equal to the value in the ResultValue field
315CAPxxx	315CAPxxx_5/8/2008_1	5/8/2008 0:00:00	EmbeddednessReach	47.50		=	Detected value is equal to the value in the ResultValue field
315CAUxxx	315CAUxxx_4/8/2008_1	4/8/2008 0:00:00	Embeddedness	33.75		=	Detected value is equal to the value in the ResultValue field
315CRPxxx	315CRPxxx_4/8/2010_1	4/8/2010 0:00:00	Embeddedness	45.62		=	Detected value is equal to the value in the ResultValue field
315CRPxxx	315CRPxxx_4/8/2010_1	4/8/2010 0:00:00	EmbeddednessReach	38.88		=	Detected value is equal to the value in the ResultValue field
315CRPxxx	315CRPxxx_4/9/2008_1	4/9/2008 0:00:00	Embeddedness	43.05		=	Detected value is equal to the value in the ResultValue field
315CRPxxx	315CRPxxx_4/9/2008_1	4/9/2008 0:00:00	EmbeddednessReach	33.57		=	Detected value is equal to the value in the ResultValue field
315GAVxxx	315GAVxxx_4/29/2008_1	4/29/2008 0:00:00	Embeddedness	50.35		=	Detected value is equal to the value in the ResultValue field
315GAVxxx	315GAVxxx_4/29/2008_1	4/29/2008 0:00:00	EmbeddednessReach	33.63		=	Detected value is equal to the value in the ResultValue field
315GAVxxx	315GAVxxx_4/5/2007_1	4/5/2007 0:00:00	Embeddedness	36.80		=	Detected value is equal to the value in the ResultValue field
315MISxxx	315MISxxx_4/8/2010_1	4/8/2010 0:00:00	Embeddedness	54.37		=	Detected value is equal to the value in the ResultValue field
315MISxxx	315MISxxx_4/8/2010_1	4/8/2010 0:00:00	EmbeddednessReach	51.17		=	Detected value is equal to the value in the ResultValue field
315MIUxxx	315MIUxxx_4/28/2008_1	4/28/2008 0:00:00	Embeddedness	29.00		=	Detected value is equal to the value in the ResultValue field
315MIUxxx	315MIUxxx_4/28/2008_1	4/28/2008 0:00:00	EmbeddednessReach	39.75		=	Detected value is equal to the value in the ResultValue field
315MTCxxx	315MTCxxx_4/10/2008_1	4/10/2008 0:00:00	Embeddedness	35.16		=	Detected value is equal to the value in the ResultValue field
315MTCxxx	315MTCxxx_4/10/2008_1	4/10/2008 0:00:00	EmbeddednessReach	42.69		=	Detected value is equal to the value in the ResultValue field
315RINxxx	315RINxxx_4/5/2007_1	4/5/2007 0:00:00	Embeddedness	65.45		=	Detected value is equal to the value in the ResultValue field
315RINxxx	315RINxxx_4/8/2008_1	4/8/2008 0:00:00	Embeddedness	41.25		=	Detected value is equal to the value in the ResultValue field
315RINxxx	315RINxxx_4/8/2008_1	4/8/2008 0:00:00	EmbeddednessReach	39.72		=	Detected value is equal to the value in the ResultValue field
315RSBxxx	315RSBxxx_5/7/2008_1	5/7/2008 0:00:00	Embeddedness	34.66		=	Detected value is equal to the value in the ResultValue field
315RSBxxx	315RSBxxx_5/7/2008_1	5/7/2008 0:00:00	EmbeddednessReach	32.00		=	Detected value is equal to the value in the ResultValue field
315TORxxx	315TORxxx_4/9/2008_1	4/9/2008 0:00:00	Embeddedness	53.86		=	Detected value is equal to the value in the ResultValue field
315TORxxx	315TORxxx_4/9/2008_1	4/9/2008 0:00:00	EmbeddednessReach	38.33		=	Detected value is equal to the value in the ResultValue field
401VCJVCL	401VCJVCL_6/5/2006_1	6/5/2006 0:00:00	Embeddedness	0.00		=	Detected value is equal to the value in the ResultValue field
401VCJVCU	401VCJVCU_6/5/2006_1	6/5/2006 0:00:00	Embeddedness	66.66		=	Detected value is equal to the value in the ResultValue field
401VCPJCU	401VCPJCU_6/7/2006_1	6/7/2006 0:00:00	Embeddedness	90.00		=	Detected value is equal to the value in the ResultValue field
401VCSAUL	401VCSAUL_6/8/2006_1	6/8/2006 0:00:00	Embeddedness	54.00		=	Detected value is equal to the value in the ResultValue field
401VCSAUU	401VCSAUU_6/8/2006_1	6/8/2006 0:00:00	Embeddedness	56.66		=	Detected value is equal to the value in the ResultValue field
402BA0031	402BA0031_5/28/2008_1	5/28/2008 0:00:00	Embeddedness	20.68		=	Detected value is equal to the value in the ResultValue field
402BA0031	402BA0031_5/28/2008_1	5/28/2008 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
402BA0079	402BA0079_5/28/2008_1	5/28/2008 0:00:00	Embeddedness	41.11		=	Detected value is equal to the value in the ResultValue field
402BA0079	402BA0079_5/28/2008_1	5/28/2008 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
402BA0143	402BA0143_5/21/2008_1	5/21/2008 0:00:00	Embeddedness	38.41		=	Detected value is equal to the value in the ResultValue field
402BA0143	402BA0143_5/21/2008_1	5/21/2008 0:00:00	EmbeddednessReach	24.16		=	Detected value is equal to the value in the ResultValue field
402BA0335	402BA0335_5/27/2008_1	5/27/2008 0:00:00	Embeddedness	20.41		=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Clay_Coarse0.00195LT0.0039mm_%	1.70	0.01	=	Detected value is equal to the value in the ResultValue field
