stressName	respName	V3	V4	V5	r2
TP_P_uf_mg_L	H20	-3.1	0.004	-0.49	0.238
TP_P_uf_mg_L	H20	-3.1	0.004	-0.49	0.238
TP_P_uf_mg_L	H21	-3	0.005	-0.48	0.228
TP_P_uf_mg_L	H23	-3.1	0.0036	-0.49	0.242
TP_P_uf_mg_L	D18	-4.4	0.00013	-0.62	0.380
TP_P_uf_mg_L	S2	-1.4	0.16	-0.25	0.062
TP_P_uf_mg_L	propAchMin	-3.3	0.0026	-0.51	0.258
TP_P_uf_mg_L	propTaxaZHR	-1.1	0.3	-0.19	0.035
TP_P_uf_mg_L	RAWDO100	-3.1	0.0038	-0.49	0.240
TP_P_uf_mg_L	RAWDO50	-4.1	0.00027	-0.59	0.353
TP_P_uf_mg_L	RAWlowN	-4	0.00039	-0.58	0.338
TP_P_uf_mg_L	RAWlowP	-4.1	0.00027	-0.59	0.352
TP_P_uf_mg_L	RAWNhet	1.1	0.29	0.19	0.036
TP_P_uf_mg_L	RAWeutro	3.2	0.0031	0.5	0.250
TP_P_uf_mg_L	RAWpropBiovolChlor	-0.2	0.84	-0.037	0.001
TP_P_uf_mg_L	RAWpropBiovolZHR	-1.4	0.18	-0.24	0.058
TP_P_uf_mg_L	RAWmeanZHR	-1.4	0.18	-0.24	0.058
TP_P_uf_mg_L	RAWlowTPsp	-2.2	0.035	-0.37	0.136
TP_P_uf_mg_L	RAWpropGreenCRUS	0.73	0.47	0.13	0.017
TP_P_uf_mg_L	PCT_MAP	1.2	0.25	0.23	0.054
TP_P_uf_mg_L	PCT_MCP	0.81	0.42	0.16	0.027
TP_P_uf_mg_L	PCT_MIAT1	-1.6	0.11	-0.32	0.101
