COMID	Reach Mod Status	Reach Mod Status Reasoning	Reach Flow Status	Reach Flow Status Reasoning
22548269	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
22561230	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
17586838	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
20333706	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20334408	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348201	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348249	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
22561168	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
22602225	NA	01_Ftype_NA	NA	00_Ftype_NA_2
17573029	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
17595375	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20325079	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20329724	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
20330854	LikelyNat	06_LULC_Nat	Perennial	05N1_SSURGO
20332460	Unk	05YN_LULC_LikeDist	Perennial	04_Model13
20333172	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20333708	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
20333716	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20334680	NA	01_Ftype_NA	NA	00_Ftype_NA_2
20348255	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20350723	LikelyNat	06_LULC_Nat	Ephemeral	05Y3_Ephem
17563614	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17564920	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17570445	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17572735	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
17572737	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17572807	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
17572825	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
17572829	Unk	05YN_LULC_LikeDist	Ephemeral	05Y3_Ephem
17572855	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
17572913	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17572947	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
17572997	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
17573033	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
17573701	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
17573703	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
17573739	NA	01_Ftype_NA	NA	00_Ftype_NA_2
17573741	NA	01_Ftype_NA	NA	00_Ftype_NA_2
17573745	NA	01_Ftype_NA	NA	00_Ftype_NA_2
17573763	NA	01_Ftype_NA	NA	00_Ftype_NA_2
17573765	NA	01_Ftype_NA	NA	00_Ftype_NA_2
17574951	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17575009	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17586462	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17586506	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17586508	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17586570	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
17586574	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
17586586	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17586588	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
17586590	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
17586644	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
17586656	Natural	04Y_LULC_Nat	Ephemeral	02Y_UplandVeg
17586672	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
17586674	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17586702	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
17586722	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17586724	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
17586726	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17586732	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
17586738	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
17586740	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
17586770	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
17586780	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
17586794	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
17586836	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
