StationCode	TT_REF_2013	TT_REF_2015	SWAMP_REF_2013	SWAMP_REF_2015	SC-IBI	CSCI	O/E	pMMI	Status_Modified_Site	Status_Flow
_Hypothetical	ref	ref	ref	ref	53.33	0.944	0.902	0.985	Natural	Perennial
402WE0803	ref	ref	ref	ref	53.33	0.944	0.902	0.985	Natural	Perennial
801SARH60	non_ref	non_ref	non_ref	non_ref	30	0.539	0.361	0.719	LikelyMod	Unknown
801SCASxx	ref	non_ref	non_ref	non_ref	57.14	0.85	0.657	1.042	Unk	Intermittent
801SCLCRx	maybe	non_ref	non_ref	non_ref	41.43	0.836	0.939	0.734	Unk	Intermittent
801SCMJCx	N/A	ref	ref	non_ref	55.7	0.91	0.99	0.84	Unk	Unknown
801WE1032	non_ref	non_ref	non_ref	non_ref	21.43	0.552	0.561	0.544	Mod	Unknown
901ACCCRx	non_ref	non_ref	non_ref	non_ref	26.33	0.681	0.752	0.611	Natural	Perennial
901ACPPDx	non_ref	non_ref	non_ref	non_ref	25	0.72	0.805	0.634	Unk	Intermittent
901ATCAAS	ref	ref	non_ref	ref	55.71	0.775	0.732	0.818	Natural	Perennial
901ATCAPx	non_ref	non_ref	non_ref	non_ref	36.19	0.758	0.829	0.686	Unk	Perennial
901ATCTCx	ref	maybe	non_ref	non_ref	51.91	0.843	0.715	0.971	Natural	Perennial
901BCCBCT	ref	non_ref	non_ref	non_ref	22.86	0.687	0.878	0.496	Unk	Ephemeral
901BCCSRT	ref	non_ref	non_ref	non_ref	25.71	0.662	0.844	0.48	LikelyNat	Perennial
901DCCDCx	ref	ref	non_ref	ref	45	0.797	0.835	0.758	Natural	Ephemeral
901S00313	ref	non_ref	non_ref	non_ref	41.43	0.681	0.775	0.588	Natural	Intermittent
901S00469	ref	maybe	non_ref	ref	32.86	0.796	0.885	0.706	Natural	Perennial
901S00531	non_ref	non_ref	non_ref	non_ref	5.71	0.601	0.749	0.453	Unk	Intermittent
901S00997	non_ref	non_ref	non_ref	non_ref	15.71	0.479	0.565	0.393	LikelyMod	Intermittent
901S01705	ref	ref	non_ref	ref	52.86	0.875	0.908	0.842	Natural	Intermittent
901S01811	non_ref	non_ref	non_ref	non_ref	7.14	0.694	0.894	0.494	LikelyMod	Intermittent
901S01849	ref	maybe	ref	non_ref	51.43	1.089	1.176	1.003	Natural	Intermittent
901S02873	ref	non_ref	ref	non_ref	71.43	1.204	1.201	1.207	Natural	Intermittent
901S06030	non_ref	non_ref	non_ref	non_ref	14.29	0.437	0.489	0.386	Unk	Perennial
901SCCA74	ref	ref	ref	ref	78.57	0.946	0.838	1.055	Natural	Perennial
901SJMS1x	ref	non_ref	non_ref	non_ref	40.57	0.836	0.906	0.767	LikelyNat	Perennial
901SJOF1x	ref	non_ref	non_ref	non_ref	32.57	0.638	0.721	0.555	LikelyNat	Intermittent
901SJSMT2	ref	non_ref	non_ref	non_ref	52.86	1.032	1.074	0.99	Natural	Intermittent
901SJSMT3	ref	ref	non_ref	ref	40	0.865	0.964	0.765	Natural	Perennial
901SMCSMR	maybe	non_ref	non_ref	non_ref	28.57	0.797	1.034	0.56	Unk	Perennial
901WC2MMx	non_ref	non_ref	non_ref	non_ref	20	0.563	0.767	0.359	Unk	Ephemeral
901WCCRTx	non_ref	non_ref	non_ref	non_ref	18.57	0.564	0.767	0.36	Unk	Ephemeral
901WCEOTx	non_ref	non_ref	non_ref	non_ref	11.43	0.542	0.768	0.316	Unk	Ephemeral
902MCGSxx	non_ref	non_ref	non_ref	non_ref	26.19	0.777	0.923	0.631	Unk	Perennial
902MCWBxx	non_ref	non_ref	non_ref	non_ref	21.43	0.631	0.653	0.609	Unk	Ephemeral
902S00565	maybe	non_ref	non_ref	non_ref	22.86	0.831	1.04	0.622	Unk	Perennial
902S01097	non_ref	non_ref	non_ref	non_ref	42.86	1.072	1.298	0.847	Natural	Intermittent
902SCDLRx	non_ref	non_ref	non_ref	non_ref	59.05	1.172	1.233	1.111	Unk	Ephemeral
902SCSCRx	non_ref	non_ref	non_ref	non_ref	52.14	0.972	0.937	1.008	LikelyNat	Perennial
902SMADO2	ref	non_ref	non_ref	non_ref	52.86	1.042	1.114	0.97	Natural	Unknown
902SMAS1x	ref	ref	non_ref	ref	38.21	0.809	0.874	0.745	LikelyNat	Intermittent
902SMRCPx	maybe	non_ref	non_ref	non_ref	35.62	0.738	0.746	0.73	Unk	Perennial
902SMRDRx	non_ref	non_ref	non_ref	non_ref	18.57	0.737	0.916	0.557	Unk	Perennial
902SMRDSx	non_ref	non_ref	non_ref	non_ref	30.82	0.444	0.299	0.589	LikelyMod	Unknown
902SMROB8	ref	ref	non_ref	ref	49.05	0.724	0.762	0.685	Natural	Ephemeral
902SMRWGR	maybe	non_ref	non_ref	non_ref	33.06	0.77	0.807	0.733	Natural	Perennial
902SMSTN1	ref	non_ref	non_ref	non_ref	52.86	0.957	0.947	0.968	Natural	Ephemeral
902SSMR05	maybe	non_ref	non_ref	non_ref	37.5	0.857	0.949	0.766	Natural	Perennial
902SSMR10	non_ref	non_ref	non_ref	non_ref	22.14	0.629	0.777	0.481	Natural	Perennial
902TCI15x	non_ref	non_ref	non_ref	non_ref	35.1	0.935	1.103	0.767	Natural	Perennial
903GIR2xx	non_ref	non_ref	non_ref	non_ref	38.57	0.776	0.77	0.783	Unk	Ephemeral
903SLGRD2	non_ref	non_ref	non_ref	non_ref	26.67	0.793	0.868	0.717	Unk	Ephemeral
903SLLGC2	non_ref	non_ref	non_ref	non_ref	26.43	0.598	0.624	0.572	Unk	Perennial
903SLRR39	non_ref	non_ref	non_ref	non_ref	25.92	0.745	0.834	0.656	Unk	Perennial
903SLRRFR	non_ref	non_ref	non_ref	non_ref	21.43	0.641	0.752	0.529	Natural	Perennial
903SLRRMR	non_ref	non_ref	non_ref	non_ref	27.14	0.778	0.891	0.666	Unk	Perennial
903SLSLR6	non_ref	non_ref	non_ref	non_ref	11.43	0.625	0.726	0.524	Unk	Perennial
903SLWVR1	non_ref	non_ref	non_ref	non_ref	50	0.897	0.865	0.929	Unk	Ephemeral
904AHCSAx	non_ref	non_ref	non_ref	non_ref	20	0.369	0.454	0.284	Unk	Intermittent
904BVREDx	non_ref	non_ref	non_ref	non_ref	22.28	0.607	0.717	0.498	Unk	Perennial
904CBBVR4	non_ref	non_ref	non_ref	non_ref	11.43	0.525	0.631	0.42	Unk	Perennial
904CBESC5	non_ref	non_ref	non_ref	non_ref	20	0.56	0.49	0.63	Natural	Perennial
904CBLAC3	non_ref	non_ref	non_ref	non_ref	17.86	0.571	0.667	0.476	Unk	Intermittent
904CBSAM3	non_ref	non_ref	non_ref	non_ref	14.69	0.59	0.661	0.519	Unk	Ephemeral
904CBSAM5	non_ref	non_ref	non_ref	non_ref	23.88	0.706	0.847	0.566	LikelyMod	Perennial
904ECHRBx	non_ref	non_ref	non_ref	non_ref	14.28	0.659	0.68	0.638	Unk	Perennial
904ENCGVR	non_ref	non_ref	non_ref	non_ref	14.28	0.486	0.57	0.404	Unk	Perennial
904ENCRSF	non_ref	non_ref	non_ref	non_ref	21.43	0.599	0.762	0.436	Unk	Intermittent
904LACCBx	non_ref	non_ref	non_ref	non_ref	17.71	0.462	0.491	0.433	Unk	Perennial
904S00537	non_ref	non_ref	non_ref	non_ref	17.14	0.439	0.484	0.395	Unk	Unknown
904SMCRSF	non_ref	non_ref	non_ref	non_ref	16.43	0.647	0.793	0.5	LikelyMod	Perennial
904SMCSPx	non_ref	non_ref	non_ref	non_ref	23.14	0.673	0.799	0.548	Unk	Ephemeral
905BCN1xx	ref	non_ref	non_ref	non_ref	41.43	0.862	0.858	0.864	Natural	Perennial
905BMCCGx	ref	non_ref	non_ref	non_ref	42.14	0.949	0.95	0.948	Natural	Perennial
905CE0512	ref	maybe	ref	non_ref	53.57	1.032	1.086	0.98	Unk	Perennial
905DGCC1	ref	non_ref	ref	non_ref	60	1.214	1.318	1.109	Unk	Ephemeral
905DGCC1x	ref	maybe	non_ref	non_ref	60	1.187	1.272	1.101	Unk	Perennial
905DGUT1	ref	ref	ref	ref	60	1.221	1.356	1.086	Unk	Perennial
905DGUT1x	ref	ref	non_ref	ref	60	1.227	1.367	1.087	Unk	Perennial
905S01953	ref	non_ref	non_ref	non_ref	58.57	1.144	1.279	1.009	Natural	Intermittent
905SDBDN9	ref	ref	ref	ref	45	0.911	0.929	0.893	Natural	Intermittent
905SDYSA7	ref	non_ref	non_ref	non_ref	39.28	0.904	0.954	0.852	Natural	Ephemeral
906LPCCCR	non_ref	non_ref	non_ref	non_ref	24.57	0.851	1.004	0.697	Unk	Perennial
906LPLPC4	non_ref	non_ref	non_ref	non_ref	17.86	0.73	0.877	0.583	Unk	Perennial
906LPLPC5	non_ref	non_ref	non_ref	non_ref	11.43	0.588	0.613	0.563	LikelyNat	Perennial
906LPSOL2	non_ref	non_ref	non_ref	non_ref	27.38	0.721	0.83	0.611	Unk	Intermittent
906LPTEC3	non_ref	non_ref	non_ref	non_ref	22	0.602	0.675	0.528	Unk	Intermittent
906RCHPxx	non_ref	non_ref	non_ref	non_ref	21.14	0.682	0.778	0.586	Unk	Intermittent
907CCCR02	ref	maybe	non_ref	ref	52.7	0.98	0.929	1.03	Natural	Perennial
907CHC2xx	non_ref	non_ref	non_ref	non_ref	17.14	0.784	0.874	0.694	Unk	Ephemeral
907CONECR	ref	ref	ref	ref	39.59	0.801	0.726	0.875	Unk	Perennial
907S00577	ref	non_ref	non_ref	non_ref	48.57	1.06	1.262	0.858	Natural	Perennial
907S01418	ref	maybe	non_ref	ref	77.14	1.221	1.293	1.148	Natural	Perennial
907SDALV3	non_ref	non_ref	non_ref	non_ref	12.86	0.605	0.609	0.602	Unk	Intermittent
907SDR1xx	non_ref	non_ref	non_ref	non_ref	10	0.493	0.6	0.386	Natural	Unknown
907SDRMTx	non_ref	non_ref	non_ref	non_ref	24.29	0.778	0.936	0.621	Unk	Perennial
907SDSDR8	non_ref	non_ref	non_ref	non_ref	19.71	0.679	0.828	0.53	Unk	Perennial
907SDSDR9	non_ref	non_ref	non_ref	non_ref	17.86	0.571	0.556	0.584	Natural	Perennial
908CCTNFA	non_ref	non_ref	non_ref	non_ref	15.71	0.395	0.261	0.529	Unk	Intermittent
908CLCANB	non_ref	non_ref	non_ref	non_ref	10	0.269	0.143	0.395	Mod	Intermittent
908PPAR04	non_ref	non_ref	non_ref	non_ref	5.71	0.241	0.14	0.341	Unk	Intermittent
909SWR94x	non_ref	non_ref	non_ref	non_ref	31.84	0.785	0.881	0.689	LikelyNat	Unknown
909TCCAHP	non_ref	non_ref	non_ref	non_ref	5.71	0.418	0.421	0.414	Unk	Intermittent
910OTJMC4	ref	non_ref	non_ref	non_ref	19.05	0.497	0.536	0.457	Natural	Perennial
910OTJMC5	ref	non_ref	non_ref	non_ref	22.86	0.702	0.848	0.555	Unk	Perennial
910OTPOG3	non_ref	non_ref	non_ref	non_ref	1.43	0.281	0.259	0.303	Unk	Perennial
911MCCBML	maybe	maybe	non_ref	non_ref	22.86	0.782	0.836	0.729	Unk	Perennial
911S02058	ref	ref	non_ref	ref	55.71	1.046	1.166	0.927	Natural	Perennial
911S04086	maybe	maybe	non_ref	non_ref	52.86	0.961	1.08	0.841	Natural	Perennial
911TJKITx	N/A	ref	ref	non_ref	70	1.18	1.19	1.17	Unk	Unknown
911TJLAP4	ref	non_ref	non_ref	non_ref	37.35	0.81	0.682	0.939	Unk	Perennial
911TJLCCx	N/A	ref	ref	ref	44.3	0.88	0.84	0.91	Unk	Unknown
911TJWIL3	ref	maybe	ref	non_ref	42.86	1.116	1.232	1	LikelyNat	Perennial
LCC	N/A	non_ref	ref	non_ref	77.1	1.05	1.09	1.02	Unk	Unknown
R5BIO-309	ref	ref	ref	ref	57.14	0.805	0.764	0.847	Unk	Perennial
R5BIO-6496	ref	non_ref	ref	non_ref	49.05	0.994	1.009	0.979	LikelyNat	Intermittent
R5BIO-6498	ref	ref	ref	ref	80	0.936	0.778	1.094	LikelyNat	Ephemeral
R5BIO-6500	ref	ref	ref	ref	61.43	0.903	0.772	1.033	LikelyNat	Ephemeral
R5BIO-6514	ref	maybe	ref	ref	52.22	0.984	0.937	1.031	LikelyNat	Perennial
R5BIO-6516	ref	non_ref	ref	non_ref	44.9	0.996	1.015	0.977	Unk	Perennial
SMAS1	ref	ref	ref	ref	38.21	0.807	0.868	0.746	LikelyNat	Intermittent
SMC00469	ref	maybe	ref	ref	32.86	0.808	0.893	0.724	LikelyNat	Perennial
SMC01705	ref	ref	ref	ref	52.86	0.882	0.909	0.856	LikelyNat	Intermittent
SMC06467	ref	non_ref	ref	non_ref	48.57	0.894	0.913	0.874	Unk	Perennial
SMCR8_046	ref	non_ref	ref	non_ref	35.71	0.692	0.67	0.714	Unk	Perennial
SMST1	ref	non_ref	ref	non_ref	52.86	0.95	0.936	0.965	Unk	Ephemeral
