	COMID	W___IMPERV	SLOPE	SLOPEGRADW	AWS050WTA	SLOPELENKM	RunOffV	MINELEVSMO	W___AGRIC	TempV	HYDCLPRS	W___CANAL_	DivDASqKM	W_RD_CROSS	ST_ORDER	ROCKTYPE1	HYDGRPDCD	DRCLASSDCD	HGroup	KGroup	Temp	HGroup2	KGroup2
1	20331702	8.926329608	0.00039065	4.5	7.23	2.8670001	9.868399	374	0.138500819	1676.930053	54	0.104392135	373.644	1.097301174	5	Alluvium	D	2	1	1	16.76930053	1	1
2	22533046	11.35939323	0.02454076	4.5	6.88	6.0100002	16.1368	45126	5.276805393	1786.920043	67	0	6.9417	1.15245545	1	Alluvium	C	3	2	1	17.86920043	2	1
3	20332458	0.181742489	0.04935928	43.900002	4.08	1.233	28.031099	26588	0.069612219	1732.599975	50	0	65.9367	0.788635161	3	Rock	C	4	3	2	17.32599975	3	2
4	22537332	0.934138129	0.00358736	46	4.24	3.2279999	19.5944	44643	1.645656138	1760.849975	75	0.005175354	682.0866	0.417835507	4	Alluvium	D	3	2	1	17.60849975	4	1
5	17594793	0.129600626	0.08326042	45.5	6.45	2.4690001	88.570098	5699	0	1432.95996	65	0	2.2986	0	1	Rock	D	3	4	3	14.3295996	4	2
6	17574659	1.212522422	0.02372159	2.5	6.02	0.704	95.9029	50822	0	1659.420043	75	0	10.5363	0.094909978	2	Rock	B	3	5	3	16.59420043	2	2
7	20333386	0.295971979	0.03598257	46	4.24	1.033	18	25254	0	1752.75	75	0	0.5139	0	1	Rock	D	3	4	2	17.5275	4	2
8	20332858	0.625398276	0.00053997	9.1	5.13	1.426	23.0935	14052	0.366405131	1760.869995	74	0	516.0681	0.511560393	5	Rock	D	4	1	2	17.60869995	1	2
9	20350741	0.018263473	0.07766566	43.900002	4.08	4.678	111.529998	33999	0	1704.890014	50	0	3.006	0	1	Rock	C	4	3	2	17.04890014	3	2
10	20329628	0.050128789	0.03471993	17.1	5.63	1.214	61.920501	45967	0	1645.790039	34	0	4.5423	0.880611144	2	Rock	B	3	5	2	16.45790039	2	2
11	20341501	0.198997015	0.01419263	3.6	5.59	0.353	19	12818	3.87238592	1800	61	0.019691033	0.1296	0.561256711	5	Alluvium	B	3	2	4	18	5	1
12	17563572	0.098577236	0.10588925	26	6.05	1.535	112.414001	59556	0	1728.400024	48	0	0.8856	0	1	Rock	B	3	5	2	17.28400024	2	2
13	20325661	0.041685754	0.07406422	46	4.24	1.993	18.3129	17058	0	1763.869995	75	0	1.9647	1.01796712	1	Rock	D	3	4	2	17.63869995	4	2
14	22524737	6.428484411	0.01533993	4.3	6.15	12.1199999	74.591499	14073	0.196903376	1841.869995	43	0.020708122	63.4887	1.542488475	3	Alluvium	NA	3	2	4	18.41869995	5	1
15	20333660	0.04284699	0.02362658	46	4.24	1.023	15.6189	16272	0	1762.21997	75	0	8.8641	0	2	Rock	D	3	4	2	17.6221997	4	2
16	17596155	8.08153702	0.05819988	10.6	5.88	1.761	63.130298	436	0	1527.189941	45	0	0.9603	3.124023743	1	Rock	D	2	1	3	15.27189941	1	2
17	22549491	0.223948339	0.01380746	22	5.2	1.849	20.0351	52198	1.798664241	1710.339965	44	0	288.9144	0.619560673	4	Alluvium	B	3	2	4	17.10339965	5	1
18	22561284	1.659459459	0.00001	37.299999	7.58	0.197	33	33557	0	1767	45	0	0.072	1.001001001	1	Rock	C	3	5	2	17.67	2	2
19	17563700	0.133795309	0.09160017	43.700001	7.59	2.306	72.447799	32935	0	1795.140014	42	0	1.6884	0	1	Rock	B	3	5	2	17.95140014	2	2
20	22563118	13.53108108	0.06712939	37.299999	7.58	2.3340001	28.8068	10519	0	1815.699951	45	1.10035281	1.332	8.258258258	1	Alluvium	C	3	2	1	18.15699951	2	1
21	20331304	58.64226682	0.04007017	10.1	5.57	0.57	14	5504	0	1725.420043	73	0	0.7623	0	1	Rock	D	2	1	2	17.25420043	1	2
22	20328642	20.85942979	0.02646818	43.900002	4.08	2.687	18.8623	9695	0	1785.380004	50	0	5.9031	1.185817621	1	Rock	C	4	3	2	17.85380004	3	2
