STATIONCOD	LAT_DD	LONG_DD	W_AREA_KM	W_DAMS	W_MINES	W_GRVL_MIN	COMID	GNIS_ID	GNIS_NAME	REACHCODE	FTYPE	FCODE	ST_ORDER	W_RD_DENSE	W_RD_CROSS	W___CANAL_	W___IMPERV	W___AGRIC	W___URBAN	W___AGRIC_	W___CODE21	W___FOREST	AREASYMBOL	MUSYM	MUKEY	MUSYM_1	MUNAME	SLOPEGRADD	SLOPEGRADW	BROCKDEPMI	FLODFREQDC	FLODFREQMA	PONDFREQPR	AWS025WTA	AWS050WTA	AWS0100WTA	AWS0150WTA	DRCLASSDCD	DRCLASSWET	HYDGRPDCD	ICCDCDPCT	NICCDCD	NICCDCDPCT	HYDCLPRS	MUKEY_1	ORIG_LABEL	UNIT_AGE	ROCKTYPE1	ROCKTYPE2	MAXELEVRAW	MINELEVRAW	MAXELEVSMO	MINELEVSMO	SLOPE	SLOPELENKM	StreamOrde	LengthKM	AreaSqKM	TotDASqKM	DivDASqKM	PrecipV	PrecipVC	TempVC	TempV	RunOffV
							-999				StreamRiver	46006	3																																											3									
			373.644	2	2		20331702	247005	Otay River	1.80703E+13	StreamRiver	46006	5	2.997906726	1.097301174	0.104392135	8.926329608	0.138500819	21.51242894	21.65092976	6.278784083	0.726226033	US	s1000	660447	s1000	Urban land-Stockpen-Antioch (s1000)	3	4.5	0	None	None	0-14%	3.7	7.23	10.69	13.56	Moderately well drained	Moderately well drained	D		35	4	54	660447	Q	Pliocene to Holocene	alluvium	S	-9998	374	486	374	0.00039065	2.8670001	5	2.8670001	8.7948	373.644	373.644	22687.19922	38941.18137	1703.993874	1676.930053	9.868399
			6.9417	0	0		22533046	 	 	1.80702E+13	StreamRiver	46003	1	4.924925481	1.15245545	0	11.35939323	5.276805393	43.42019966	48.69700506	18.38454557	0.103720991	US	s1003	660450	s1003	Urban land-Monserate-Exeter-Arlington (s1003)	3	4.5	0	None	None	0-14%	3.15	6.88	11.96	13.76	Well drained	Well drained	C	3	41	4	67	660450	Q	Pliocene to Holocene	alluvium	S	59875	45126	59875	45126	0.02454076	6.0100002	1	6.1609998	6.9417	6.9417	6.9417	32443.19922	32443.19922	1786.920043	1786.920043	16.1368
			65.9367	0	0		20332458	240386	Cedar Creek	1.80703E+13	StreamRiver	46003	3	2.151055364	0.788635161	0	0.181742489	0.069612219	5.189522679	5.259134898	5.16495366	31.67901942	US	s1010	660457	s1010	Sesame-Rock outcrop-Cieneba (s1010)	53	43.900002	0	None	None	0-14%	2.7	4.08	5.54	5.77	Somewhat excessively drained	Somewhat excessively drained	C		77	7	50	660457	grMz	Middle Jurassic to Late Cretaceous	tonalite	I	-9998	26559	32674	26588	0.04935928	1.233	3	1.233	0.7533	65.9367	65.9367	44955.5	71231.46742	1440.063514	1732.599975	28.031099
			682.0866	2	2		22537332	273486	San Jacinto River	1.80702E+13	ArtificialPath	55800	4	1.381294104	0.417835507	0.005175354	0.934138129	1.645656138	6.380875977	8.026532115	4.766227632	22.96437139	US	s1013	660460	s1013	San Miguel-Friant-Exchequer (s1013)	50	46	31	None	None	0-14%	3.32	4.24	4.61	4.74	Well drained	Well drained	D		94	7	75	660460	Q	Pliocene to Holocene	alluvium	S	-9998	44583	45801	44643	0.00358736	3.2279999	4	3.2279999	6.0003	682.0866	682.0866	38570	53677.2052	1413.244646	1760.849975	19.5944
			2.2986	0	0		17594793	 	 	1.806E+13	StreamRiver	46003	1	2.277808839	0	0	0.129600626	0	6.068911511	6.068911511	6.068911511	25.92012529	US	s922	661025	s922	Shedd-Gaviota (s922)	63	45.5	31	None	None	0-14%	3.74	6.45	9.17	10.12	Well drained	Well drained	D		86	7	65	661025	M	Oligocene to Pliocene	sandstone	S	26256	5699	26256	5699	0.08326042	2.4690001	1	2.619	2.2986	2.2986	2.2986	49334.80078	49334.80078	1432.95996	1432.95996	88.570098
			10.5363	0	0		17574659	 	 	1.80701E+13	StreamRiver	46003	2	0.195176772	0.094909978	0	1.212522422	0	8.849406338	8.849406338	6.731015632	0.555223371	US	s909	661012	s909	Xerofluvents-Salinas-Pico-Mocho-Metz-Anacapa (s909)	1	2.5	0	None	None	0-14%	2.93	6.02	12.09	17.84	Well drained	Well drained	B	1	35	3	75	661012	Mc	Oligocene to Pleistocene	sandstone	S	-9998	50822	52492	50822	0.02372159	0.704	2	0.704	0.306	10.5363	10.5363	48962	52147.80073	1631.439053	1659.420043	95.9029
			0.5139	0	0		20333386	 	 	1.80703E+13	StreamRiver	46003	1	1.254601661	0	0	0.295971979	0	16.28721541	16.28721541	16.28721541	0	US	s1013	660460	s1013	San Miguel-Friant-Exchequer (s1013)	50	46	31	None	None	0-14%	3.32	4.24	4.61	4.74	Well drained	Well drained	D		94	7	75	660460	Mzv	Late Jurassic to Early Cretaceous	felsic volcanic rock	I	28971	24871	28971	25254	0.03598257	1.033	1	1.183	0.5139	0.5139	0.5139	40145	40145	1752.75	1752.75	18
			516.0681	3	0		20332858	273458	San Diego River	1.80703E+13	StreamRiver	46003	5	1.425034833	0.511560393	0	0.625398276	0.366405131	6.176917349	6.54332248	5.296917209	13.64715238	US	s1002	660449	s1002	Urban land-Marina-Chesterton (s1002)	6	9.1	0	None	None	0-14%	2.62	5.13	8.05	9.86	Somewhat excessively drained	Moderately well drained	D	4	39	4	74	660449	grMz	Middle Jurassic to Late Cretaceous	tonalite	I	-9998	13937	14129	14052	0.00053997	1.426	5	1.426	4.1958	516.0681	516.0681	43326.30078	60958.72793	1536.444135	1760.869995	23.0935
			3.006	0	0		20350741	 	 	1.80703E+13	StreamRiver	46003	1	0.291062623	0	0	0.018263473	0	0.808383234	0.808383234	0.808383234	0.239520958	US	s1010	660457	s1010	Sesame-Rock outcrop-Cieneba (s1010)	53	43.900002	0	None	None	0-14%	2.7	4.08	5.54	5.77	Somewhat excessively drained	Somewhat excessively drained	C		77	7	50	660457	grMz	Middle Jurassic to Late Cretaceous	tonalite	I	70331	33999	70331	33999	0.07766566	4.678	1	4.829	3.006	3.006	3.006	52977.10156	52977.10156	1704.890014	1704.890014	111.529998
			4.5423	0	0		20329628	 	 	1.80703E+13	StreamRiver	46003	2	1.391339666	0.880611144	0	0.050128789	0	4.061818902	4.061818902	4.061818902	1.664355062	US	s1011	660458	s1011	Vista-Fallbrook-Cieneba (s1011)	12	17.1	0	None	None	0-14%	2.92	5.63	10.5	12.91	Well drained	Well drained	B	4	27	3	34	660458	grMz	Middle Jurassic to Late Cretaceous	tonalite	I	-9998	45967	50182	45967	0.03471993	1.214	2	1.214	0.5436	4.5423	4.5423	47370.5	48177.32224	1630.982872	1645.790039	61.920501
			840.9699	2	1		20341501	 	 	1.80703E+13	StreamRiver	46003	5	1.280227198	0.561256711	0.019691033	0.198997015	3.87238592	3.472133783	7.344519703	3.324019088	19.81312292	US	s1001	660448	s1001	Tujunga-Salinas-Elder (s1001)	3	3.6	0	None	Frequent	0-14%	2.78	5.59	10.94	16.41	Well drained	Well drained	B	2	34	3	61	660448	Q	Pliocene to Holocene	alluvium	S	-9998	12818	13319	12818	0.01419263	0.353	5	0.503	0.1296	840.9699	0.1296	40555	57149.76024	1476.064051	1800	19
			0.8856	0	0		17563572	 	 	1.80701E+13	StreamRiver	46003	1	0.834885047	0	0	0.098577236	0	4.979674797	4.979674797	4.979674797	0	US	s902	661005	s902	San Andreas-Arujo-Arnold (s902)	12	26	0	None		0-14%	3.16	6.05	9.9	12.39	Well drained		B		43	4	48	661005	M	Oligocene to Pliocene	sandstone	S	75810	59556	75810	59556	0.10588925	1.535	1	1.6849999	0.8856	0.8856	0.8856	51875.10156	51875.10156	1728.400024	1728.400024	112.414001
