StationID_Master	CanonicalStationID	WaterbodyName	WaterbodyType	FinalLatitude	FinalLongitude	Coastal	CARefSite_2017	GIS_County	GIS_State	GIS_EcoL3Code	GIS_EcoL3Name	COMID_NHD2	COMID_NHD2_Notes	StationComment
1	1	Penasquitos		32.94	-117.06	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331212		
1. Point Loma	1. Point Loma	Pueblo San Diego		32.71	-117.22	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20332102		
10	10	Otay River	Rivers/Streams	32.67	-117.17	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20332064		
10. Ferry Landing	10. Ferry Landing	Otay		32.69	-117.16	1	0	San Diego	California	85	Southern California/Northern Baja Coast	20332064		
101	101	Penasquitos		32.93	-117.06	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331242		
103	103	Penasquitos		32.93	-117.06	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331242		
105	105	Penasquitos		32.94	-117.06	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331166		
106	106	Penasquitos		32.94	-117.04	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331202		
108	108	Penasquitos		32.95	-117.03	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331194		
109	109	Penasquitos		32.95	-117.02	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331142		
11	11	Otay River	Rivers/Streams	32.68	-117.18	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20332046		
1-Jan	1-Jan	San Diego River	Rivers/Streams	32.8	-116.95	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20333074		
111	111	Penasquitos		32.95	-117.01	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331142		
114	114	Penasquitos		32.95	-117.05	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331156		
115	115	Penasquitos		32.96	-117.05	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331156		
118	118	Penasquitos		32.96	-117.06	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331162		
119	119	Penasquitos		32.97	-117.06	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331162		
11B-46	11B-46	Carlsbad		33.16	-117.31	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341871		
11B-48	11B-48	Carlsbad		33.16	-117.31	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341871		
11D-50	11D-50	Carlsbad		33.15	-117.3	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341917		
121	121	Penasquitos		32.98	-117.06	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331118		
123	123	Penasquitos		32.99	-117.05	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331118		
124	124	Penasquitos		32.96	-117.04	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331150		
125	125	Penasquitos		32.97	-117.04	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331150		
128	128	Penasquitos		32.97	-117.03	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331126		
129	129	San Dieguito River	Rivers/Streams	33	-117.03	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20328676		
13	13	Otay River	Rivers/Streams	32.68	-117.17	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20332064		
130	130	San Dieguito River	Rivers/Streams	33	-117.04	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20328676		
131	131	San Dieguito River	Rivers/Streams	33	-117.02	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20329174		
132	132	San Dieguito River	Rivers/Streams	33	-117.02	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20328684		
133	133	San Dieguito River	Rivers/Streams	33.01	-117.03	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20328684		
134	134	Penasquitos		33.01	-117.03	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20328684		
135	135	San Dieguito River	Rivers/Streams	33.01	-117.04	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20328684		
136	136	San Dieguito River	Rivers/Streams	33.01	-117.04	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20328684		
138	138	San Dieguito River	Rivers/Streams	33.02	-117.04	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20328684		
