StationCode	SampleDate	StationDateRep	H20	H21	H23	D18	S2	propAchMin	propTaxaZHR	RAWDO100	RAWDO50	RAWlowN	RAWlowP	RAWNhet	RAWeutro	RAWpropBiovolChlor	RAWpropBiovolZHR	RAWmeanZHR	RAWlowTPsp	RAWpropGreenCRUS	PCT_MAP	PCT_MCP	PCT_MIAT1	totalSoftBiovol_um3cm2	microalgalEntityCount	diatomCount
315ARH101	6/14/2010 0:00:00	315ARH101_6/14/2010_1	65.00	59.00	62.00	76.00	40.00	7.0e-03	0.33	0.01	1.00	0.03	0.03	0.00	0.96	0.89	0.11	0.22	0.12	0.97	64.00	0.00	22.00	25981190520.00	307.00	600.00
402BA0031	5/28/2008 0:00:00	402BA0031_5/28/2008_1	96.00	71.00	90.00	96.00	88.00	0.82	0.46	0.95	0.99	0.96	0.97	0.00	0.03	0.91	0.09	0.27	0.30	0.00				51958377087.00	300.00	600.00
402BA0079	5/28/2008 0:00:00	402BA0079_5/28/2008_1	65.00	64.00	65.00	82.00	37.00	0.47	0.10	0.49	0.98	0.54	0.80	0.04	0.45	0.82	0.18	0.14	0.11	0.79				31746882379.00	300.00	600.00
402BA0143	5/21/2008 0:00:00	402BA0143_5/21/2008_1	78.00	67.00	80.00	84.00	68.00	0.46	0.21	0.79	0.96	0.82	0.83	0.12	0.20	0.76	0.20	0.21	0.16	0.00				14483816836.00	300.00	600.00
402BA0335	5/27/2008 0:00:00	402BA0335_5/27/2008_1	62.00	61.00	59.00	76.00	35.00	0.41	0.21	0.43	0.96	0.48	0.56	0.10	0.50	0.65	0.09	0.15	0.15	0.84				40425454497.00	300.00	600.00
403BA0047	5/15/2008 0:00:00	403BA0047_5/15/2008_1	41.00	36.00	34.00	50.00	18.00	0.30	0.00	0.38	0.98	0.65	0.65	0.57	0.62	1.00	0.00	0.00	0.20	1.00				8658081751.00		600.00
403BA0068	5/14/2008 0:00:00	403BA0068_5/14/2008_1	55.00	56.00	61.00	60.00	58.00	0.47	0.15	0.48	0.92	0.54	0.54	0.33	0.49	0.47	0.36	0.25	0.10	0.06				20206270042.00	300.00	600.00
403BA0140	5/21/2008 0:00:00	403BA0140_5/21/2008_1	74.00	61.00	71.00	64.00	83.00	0.00	0.37	2.0e-03	0.93	0.29	0.29	0.08	0.67	0.12	0.26	0.32	0.20	0.00				14579995080.00	300.00	600.00
403BA0191	5/14/2008 0:00:00	403BA0191_5/14/2008_1	58.00	57.00	52.00	80.00	10.00	0.65	0.00	0.77	0.97	0.79	0.80	0.16	0.20	1.00	0.00	0.00	0.10	1.00				43290376311.00	300.00	600.00
403S00772	5/20/2009 0:00:00	403S00772_5/20/2009_1	58.00	51.00	52.00	52.00	58.00	2.0e-03	0.35	0.01	0.98	0.04	0.09	0.09	0.92	0.53	0.46	0.41	0.21	0.92	46.91	7.80	0.00	1364299384.00	300.00	600.00
403S00831	6/10/2010 0:00:00	403S00831_6/10/2010_1	79.00	64.00	80.00	78.00	82.00	0.39	0.31	0.45	0.95	0.59	0.62	0.16	0.45	0.76	0.23	0.27	0.22	0.00	57.00	1.00	0.00	14461492889.00	300.00	595.00
403S01272	6/9/2009 0:00:00	403S01272_6/9/2009_1	49.00	43.00	46.00	58.00	30.00	0.00	0.00	3.0e-03	0.99	0.00	0.00	0.01	0.99	0.98	0.00	0.00	0.00	0.82	60.11	49.76	0.00	37519849353.00	300.00	600.00
403S01784	6/9/2009 0:00:00	403S01784_6/9/2009_1	24.00	16.00	22.00	18.00	33.00	7.0e-03	0.20	0.01	0.88	0.01	0.01	0.71	0.98	0.97	0.03	0.11	0.05	0.74	27.22	21.95	0.00	63501902427.00	300.00	600.00
403S02764	6/14/2011 0:00:00	403S02764_6/14/2011_1	42.00	29.00	36.00	36.00	42.00	0.08	0.15	0.18	0.60	0.13	0.13	0.04	0.78	0.91	0.09	0.12	0.07	0.91	44.00	38.00	0.00	14496896372.00	301.00	600.00
403S03320	6/8/2010 0:00:00	403S03320_6/8/2010_1	35.00	46.00	31.00	50.00	10.00	0.00	0.00	0.70	0.78	0.03	0.09	0.10	0.40	0.23	0.00	0.00	0.00	1.00	0.00	0.00	0.00	8658033173.00	300.00	190.00
403S03832	6/8/2009 0:00:00	403S03832_6/8/2009_1	38.00	36.00	41.00	14.00	83.00	0.03	0.23	0.04	0.84	0.04	0.04	0.83	0.93	3.0e-03	0.87	0.55	0.23	0.00	27.36	2.92	0.00	5163972.29	300.00	600.00
403S04600	6/8/2010 0:00:00	403S04600_6/8/2010_1	31.00	34.00	35.00	48.00	10.00	0.09	0.00	0.12	0.88	0.13	0.34	0.23	0.85	1.00	0.00	0.00	0.00	0.93	38.00	10.00	0.00	97158520662.00	300.00	600.00
403S04868	6/15/2011 0:00:00	403S04868_6/15/2011_1	70.00	56.00	74.00	76.00	63.00	0.52	0.23	0.62	0.99	0.60	0.69	0.13	0.37	0.99	0.00	0.11	0.09	0.00	82.00	11.00	0.00	5900323150.00	325.00	600.00
403S05247	6/1/2010 0:00:00	403S05247_6/1/2010_1	59.00	51.00	52.00	72.00	30.00	0.52	0.00	0.66	0.92	0.61	0.68	0.20	0.34	1.00	0.00	0.00	0.05	1.00	61.00	7.00	0.00	89485587146.00	300.00	600.00
403S06904	6/9/2010 0:00:00	403S06904_6/9/2010_1	40.00	33.00	30.00	26.00	48.00	0.04	0.27	0.09	0.40	0.06	0.06	0.15	0.90	0.09	0.02	0.14	0.18	0.81	47.00	10.00	0.00	15233405022.00	300.00	600.00
403S11084	6/9/2010 0:00:00	403S11084_6/9/2010_1	24.00	31.00	22.00	36.00	2.00	0.00	0.00	0.04	0.69	0.02	0.03	0.23	0.86	0.58	0.00	0.00	0.00	1.00	38.00	1.00	0.00	2886248977.00	300.00	600.00
403S14156	6/9/2009 0:00:00	403S14156_6/9/2009_1	41.00	37.00	41.00	52.00	20.00	0.00	0.04	0.05	0.83	0.00	0.00	0.16	0.96	1.00	0.00	0.02	0.05	0.99	62.31	50.23	0.00	124000000000.00	300.00	600.00
403S15608	6/8/2010 0:00:00	403S15608_6/8/2010_1	16.00	20.00	20.00	28.00	5.00	0.11	0.00	0.19	0.82	0.16	0.29	0.45	0.70	1.00	0.00	0.00	0.00	0.88	30.00	7.00	0.00	34641860981.00	300.00	600.00
