BestID	LifeStageCode	Group	Phylum	Subphylum	Superclass	Class	Subclass	Superorder	Order	Suborder	Superfamily	Family	Subfamily	Tribe	Genus	Species	Subspecies	GenusComplex	SpeciesComplex	Variety	FFG	TolVal	Habit	SpecCondTolVal
Abedus	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus						P	8	CB	
Abedus	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus						P	8	CB	
Abedus	U	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus						P	8	CB	
Abedus breviceps	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus	Abedus breviceps					P	8	CB	
Abedus breviceps	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus	Abedus breviceps					P		CB	
Abedus herberti	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus	Abedus herberti					P	8	CB	
Abedus herberti	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus	Abedus herberti					P		CB	
Abedus indentatus	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus	Abedus indentatus					P	8	CB	
Abedus indentatus	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus	Abedus indentatus					P	8	CB	
Abedus indentatus	U	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus	Abedus indentatus					P	8	CB	
Abedus ovatus	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus	Abedus ovatus					P	8	CB	
Abedus ovatus	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus	Abedus ovatus					P		CB	
Abedus parkeri	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus	Abedus parkeri					P	8	CB	
Abedus parkeri	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus	Abedus parkeri					P		CB	
Abedus vicinus	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus	Abedus vicinus					P	8	CB	
Abedus vicinus	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Hemiptera			Belostomatidae			Abedus	Abedus vicinus					P		CB	
Ablabesmyia	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneurini	Ablabesmyia						CG	8	SP	4
Ablabesmyia	P	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneurini	Ablabesmyia						CG	8	SP	4
Ablabesmyia	U	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneurini	Ablabesmyia						CG	8	SP	4
Ablabesmyia annulata	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia annulata							SP	
Ablabesmyia annulata	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia annulata					OM	8	SP	
Ablabesmyia annulata	P	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia annulata					OM	8	SP	
Ablabesmyia aspera	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia aspera							SP	
Ablabesmyia aspera	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia aspera					OM	8	SP	
Ablabesmyia aspera	P	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia aspera					OM	8	SP	
Ablabesmyia cinctipes	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia cinctipes							SP	
Ablabesmyia cinctipes	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia cinctipes					OM	8	SP	
Ablabesmyia cinctipes	P	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia cinctipes					OM	8	SP	
Ablabesmyia mallochi	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia mallochi							SP	
Ablabesmyia mallochi	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia mallochi					OM	8	SP	
Ablabesmyia mallochi	P	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia mallochi					OM	8	SP	
Ablabesmyia monilis	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia monilis							SP	
Ablabesmyia monilis	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia monilis					CG	8	SP	
Ablabesmyia monilis	P	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia monilis					CG	8	SP	
Ablabesmyia peleensis	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia peleensis							SP	
Ablabesmyia peleensis	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia peleensis					OM	8	SP	
Ablabesmyia peleensis	P	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia peleensis					OM	8	SP	
Ablabesmyia pulchripennis	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia pulchripennis							SP	
Ablabesmyia pulchripennis	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia pulchripennis					CG	8	SP	
Ablabesmyia pulchripennis	P	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Tanypodinae	Pentaneuriini	Ablabesmyia	Ablabesmyia pulchripennis					CG	8	SP	
Acalyptonotidae	X	Benthic macroinvertebrates	Arthropoda	Chelicerata		Arachnida	Acari		Trombidiformes			Acalyptonotidae									P			
Acalyptonotus	X	Benthic macroinvertebrates	Arthropoda	Chelicerata		Arachnida	Acari		Trombidiformes			Acalyptonotidae			Acalyptonotus						P			
Acalyptonotus pacificus	X	Benthic macroinvertebrates	Arthropoda	Chelicerata		Arachnida	Acari		Trombidiformes			Acalyptonotidae			Acalyptonotus	Acalyptonotus pacificus					P			
Acanthomysis	X	Benthic macroinvertebrates	Arthropoda	Crustacea		Malacostraca			Mysida			Mysidae			Acanthomysis									
Acanthomysis aspera	X	Benthic macroinvertebrates	Arthropoda	Crustacea		Malacostraca			Mysida			Mysidae			Acanthomysis	Acanthomysis aspera								
Acanthomysis hwanhaiensis	X	Benthic macroinvertebrates	Arthropoda	Crustacea		Malacostraca			Mysida			Mysidae			Acanthomysis	Acanthomysis hwanhaiensis								
Acari	U	Benthic macroinvertebrates	Arthropoda	Chelicerata		Arachnida	Acari														P	5		
Acari	X	Benthic macroinvertebrates	Arthropoda	Chelicerata		Arachnida	Acari														P	5		
Acentrella	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acentrella							4	SW	
Acentrella	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acentrella						CG	4	SW	
Acentrella insignificans	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acentrella	Acentrella insignificans						4	SW	
Acentrella insignificans	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acentrella	Acentrella insignificans					CG	4	SW	
Acentrella turbida	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acentrella	Acentrella turbida						4	SW	
Acentrella turbida	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acentrella	Acentrella turbida					CG	4	SW	
Acerpenna	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acerpenna								SW	
Acerpenna	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acerpenna						SH		SW	
Acerpenna pygmaea	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acerpenna	Acerpenna pygmaea							SW	
Acerpenna pygmaea	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acerpenna	Acerpenna pygmaea					OM		SW	
Acerpenna sulfurosus	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acerpenna	Acerpenna sulfurosus							SW	
Acerpenna sulfurosus	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acerpenna	Acerpenna sulfurosus					SH		SW	
Acerpenna thermophilus	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acerpenna	Acerpenna thermophilus						4	SW	
Acerpenna thermophilus	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Ephemeroptera			Baetidae			Acerpenna	Acerpenna thermophilus					SH	4	SW	
Aciculata	X	Benthic macroinvertebrates	Annelida			Polychaeta			Aciculata															
Acilius	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Dytiscidae	Dytiscinae		Acilius						P	5	SW	
Acilius	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Dytiscidae	Dytiscinae		Acilius						P	5	SW	
Acilius abbreviatus	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Dytiscidae	Dytiscinae		Acilius	Acilius abbreviatus					P	5	SW	
Acilius abbreviatus	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Dytiscidae	Dytiscinae		Acilius	Acilius abbreviatus					P	5	SW	
Acmira catherinae	U	Benthic macroinvertebrates	Annelida			Sedentaria	Palpata		Scolecida			Paraonidae			Acmira	Acmira catherinae								
Acneus	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Psephenidae			Acneus							4	CN	
Acneus	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Psephenidae			Acneus						SC	4	CN	
Acneus beeri	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Psephenidae			Acneus	Acneus beeri							CN	
Acneus beeri	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Psephenidae			Acneus	Acneus beeri					SC		CN	
Acneus burnelli	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Psephenidae			Acneus	Acneus burnelli							CN	
Acneus burnelli	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Psephenidae			Acneus	Acneus burnelli					SC		CN	
Acneus oregonensis	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Psephenidae			Acneus	Acneus oregonensis							CN	
Acneus oregonensis	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Psephenidae			Acneus	Acneus oregonensis					SC		CN	
Acneus quadrimaculatus	A	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Psephenidae			Acneus	Acneus quadrimaculatus						4	CN	
Acneus quadrimaculatus	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Coleoptera			Psephenidae			Acneus	Acneus quadrimaculatus					SC	4	CN	
Acricotopus	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Orthocladiinae		Acricotopus						CG	5	SP	
Acricotopus	P	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Chironomidae	Orthocladiinae		Acricotopus						CG	5	SP	
Acteocina inculta	U	Benthic macroinvertebrates	Mollusca			Gastropoda	Opisthobranchia		Cephalaspidea			Cylichnidae			Acteocina	Acteocina inculta								
Adenophorea	X	Benthic macroinvertebrates	Nematoda			Adenophorea															P	5		
Aedes	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Culicidae			Aedes						CF	8	SW	
Aedes	P	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Culicidae			Aedes						CF	8	SW	
Aedes	U	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Culicidae			Aedes						CF	8	SW	
Aedes aegypti	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Culicidae			Aedes	Aedes aegypti					CF	8	SW	
Aedes aegypti	P	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Culicidae			Aedes	Aedes aegypti					CF	8	SW	
Aedes cinereus	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Culicidae			Aedes	Aedes cinereus					CF	8	SW	
Aedes cinereus	P	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Culicidae			Aedes	Aedes cinereus					CF	8	SW	
Aedes vexans	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Culicidae			Aedes	Aedes vexans					CF	8	SW	
Aedes vexans	P	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Diptera			Culicidae			Aedes	Aedes vexans					CF	8	SW	
Aeolosoma	X	Benthic macroinvertebrates	Annelida			Polychaeta						Aeolosomatidae			Aeolosoma									
Aeolosomatidae	X	Benthic macroinvertebrates	Annelida			Polychaeta						Aeolosomatidae												
Aeshna	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Odonata			Aeshnidae			Aeshna			Aeshna/ Rhionaeshna			P	5	CB	
Aeshna	U	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Odonata			Aeshnidae			Aeshna			Aeshna/ Rhionaeshna			P	5	CB	
Aeshna canadensis	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Odonata			Aeshnidae			Aeshna	Aeshna canadensis		Aeshna/ Rhionaeshna			P	5	CB	
Aeshna constricta	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Odonata			Aeshnidae			Aeshna	Aeshna constricta		Aeshna/ Rhionaeshna			P	5	CB	
Aeshna eremita	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Odonata			Aeshnidae			Aeshna	Aeshna eremita		Aeshna/ Rhionaeshna			P	5	CB	
Aeshna interrupta	L	Benthic macroinvertebrates	Arthropoda	Hexapoda		Insecta			Odonata			Aeshnidae			Aeshna	Aeshna interrupta		Aeshna/ Rhionaeshna			P	5	CB	
