StationID_Master	BMISampleID	CollDate	BestID	SumOfResult_Value	Genus	Family	SpecCondTolVal
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Caloparyphus/ Euparyphus	2.00		Stratiomyidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Chironomini	1.00		Chironomidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Coenagrionidae	1.00		Coenagrionidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Limonia	16.00	Limonia	Tipulidae	3
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Orthocladiinae	161.00		Chironomidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Psychoda	7.00	Psychoda	Psychodidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Tanytarsini	4.00		Chironomidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Tipula	20.00	Tipula	Tipulidae	5
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Agabus	4.00	Agabus	Dytiscidae	3
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Argia	1.00	Argia	Coenagrionidae	5
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Baetidae	2.00		Baetidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Baetis	240.00	Baetis	Baetidae	4
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Blephariceridae	1.00		Blephariceridae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Caenis	8.00	Caenis	Caenidae	2
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Caloparyphus/ Euparyphus	4.00		Stratiomyidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Chironomini	204.00		Chironomidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Chloroperlidae	1.00		Chloroperlidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Culicidae	1.00		Culicidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Dasyhelea	17.00	Dasyhelea	Ceratopogonidae	6
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Diphetor hageni	8.00	Diphetor	Baetidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Dolichopodidae	1.00		Dolichopodidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Drunella	5.00	Drunella	Ephemerellidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Epeorus	1.00	Epeorus	Heptageniidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Euparyphus	6.00	Euparyphus	Stratiomyidae	5
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Gumaga	1.00	Gumaga	Sericostomatidae	1
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Hydropsyche	1.00	Hydropsyche	Hydropsychidae	3
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Isoperla denningi	1.00	Isoperla	Perlodidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Lepidostoma	2.00	Lepidostoma	Lepidostomatidae	1
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Malenka	2.00	Malenka	Nemouridae	2
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Orthocladiinae	168.00		Chironomidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Paraleptophlebia	9.00	Paraleptophlebia	Leptophlebiidae	1
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Perlodidae	1.00		Perlodidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Psychoda	5.00	Psychoda	Psychodidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Rhyacophila	2.00	Rhyacophila	Rhyacophilidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Sanfilippodytes	2.00	Sanfilippodytes	Dytiscidae	2
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Simulium	8.00	Simulium	Simuliidae	4
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Tanypodinae	1.00		Chironomidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Tanytarsini	19.00		Chironomidae	
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Tinodes	2.00	Tinodes	Psychomyiidae	2
315ABHxxx	315ABHxxx_BMI_CSBP_Trans_4/21/2001_1	4/21/2001 0:00:00	Zaitzevia	3.00	Zaitzevia	Elmidae	3
315ABUxxx	315ABUxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Baetidae	2.00		Baetidae	
315ABUxxx	315ABUxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Chironomini	37.00		Chironomidae	
315ABUxxx	315ABUxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Corixidae	1.00		Corixidae	
315ABUxxx	315ABUxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Culicidae	2.00		Culicidae	
315ABUxxx	315ABUxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Dasyhelea	1.00	Dasyhelea	Ceratopogonidae	6
315ABUxxx	315ABUxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Hydrophilidae	2.00		Hydrophilidae	
315ABUxxx	315ABUxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Notonecta	1.00	Notonecta	Notonectidae	
315ABUxxx	315ABUxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Oreodytes	1.00	Oreodytes	Dytiscidae	
315ABUxxx	315ABUxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Orthocladiinae	25.00		Chironomidae	
315ABUxxx	315ABUxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Peltodytes	3.00	Peltodytes	Haliplidae	4
315ABUxxx	315ABUxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Sanfilippodytes	1.00	Sanfilippodytes	Dytiscidae	2
315ABUxxx	315ABUxxx_BMI_CSBP_Trans_3/26/2002_1	3/26/2002 0:00:00	Tanypodinae	3.00		Chironomidae	
