StationID_Master	clust	StressSampleDate	RespSampleDate	ChemSampleID	BMISampID	Quality	CSCI	HighDur	HighNum	MaxMonthQ	NoDisturb	Q99	QmaxIDR	RBI	AFDM_algae_particulate_g_m2	Alkalinity_CaCO3_f_mg_L	Alkalinity_CaCO3_uf_mg_L	Aluminum_f_ug_L	Aluminum_tot_mg_kg_dw	Aluminum_uf_ug_L	ANC_ueq_L	Antimony_f_ug_L	Antimony_uf_ug_L	Arsenic_f_ug_L	Arsenic_tot_mg_kg_dw	Arsenic_uf_ug_L	Azinphos_Methyl_ug_L	Barium_f_ug_L	Barium_uf_ug_L	Benz_a_anthracene_ug_L	Benzo_a_pyrene_ug_L	Benzo_k_fluoranthene_ug_L	Bifenthrin_tot_ng_g_dw	Bifenthrin_ug_L	Boron_uf_mg_L	Bromodichloromethane_ug_L	Cadmium_f_ug_L	Cadmium_tot_mg_kg_dw	Cadmium_uf_ug_L	Caffeine_ug_L	Calcium_f_mg_L	Calcium_uf_mg_L	Carbophenothion_ug_L	Chlor_a_particulate_mg_m2	Chlor_a_particulate_ug_L	Chlordene_cis_ug_L	Chlordene_trans_ug_L	Chloride_f_mg_L	Chloroform_ug_L	Chlorpyrifos_ug_L	Chromium_f_ug_L	Chromium_tot_mg_kg_dw	Chromium_ug_L	Chrysene_ug_L	Clay_LT0_0039mm_pct	Clay_LT0_005mm_pct	Cobalt_f_ug_L	Cobalt_uf_ug_L	Copper_f_ug_L	Copper_tot_mg_kg_dw	Copper_uf_ug_L	Coumaphos_ug_L	Cyfluthrin_tot_ng_g_dw	Cyfluthrin_Total_ug_L	Cyhalothrin_lambda_tot_ng_g_dw	Cyhalothrin_Total_lambda_ug_L	Cypermethrin_tot_ng_g_dw	Cypermethrin_Total_ug_L	Dacthal_tot_ng_g_dw	Dacthal_ug_L	DDD_o_pprime_ug_L	DDD_p_pprime_ug_L	DDE_p_pprime_ug_L	DDT_p_pprime_tot_ng_g_dw	DDT_p_pprime_ug_L	Deltamethrin_Tralomethrin_ug_L	Deltamethrin_ug_L	DeltamethrinTralomethrine_tot_ng_g_dw	Demeton_s_ug_L	Diazinon_ug_L	Dibromochloromethane_ug_L	DIC_f_mg_L	Dichlofenthion_ug_L	Dicrotophos_ug_L	Dieldrin_ug_L	Dimethoate_ug_L	Dioxathion_ug_L	Disulfoton_ug_L	DOC_f_mg_L	E_coli_MPN_100mL	Endosulfan_II_ug_L	Endosulfan_Sulfate_ug_L	Endrin_Aldehyde_ug_L	Endrin_Ketone_ug_L	Enterococcus_MPN_100mL	Esfenvalerate_Fenvalerate_Total_ug_L	EsfenvalerateFenvalerate_tot_ng_g_dw	Ev_FlowHab_score	FecalColiform_MPN_100mL	Fenpropathrin_tot_ng_g_dw	Fenpropathrin_ug_L	Fenthion_ug_L	Fluoride_mg_L	Gravel_4_75_LT75mm_pct	H_AqHab_score	H_SubNat_score	Hardness_CaCO3_f_mg_L	Hardness_CaCO3_uf_mg_L	HCH_beta_ug_L	HCH_delta_ug_L	HCH_gamma_ug_L	Hexachlorobenzene_ug_L	IPI	Iron_f_ug_L	Iron_uf_ug_L	Lead_f_ug_L	Lead_tot_mg_kg_dw	Lead_uf_ug_L	Magnesium_f_mg_L	Magnesium_uf_mg_L	Malathion_ug_L	Manganese_f_ug_L	Manganese_tot_mg_kg_dw	Manganese_uf_ug_L	Mercury_f_ng_L	Mercury_ng_L	Mercury_tot_mg_kg_dw	Methoxychlor_ug_L	Mevinphos_ug_L	Molybdenum_f_ug_L	Molybdenum_uf_ug_L	Naled_ug_L	NH3_N_f_mg_L	NH3_N_uf_mg_L	Nickel_f_ug_L	Nickel_tot_mg_kg_dw	Nickel_uf_ug_L	NO2_N_f_mg_L	NO2_N_mg_L	NO3_N_f_mg_L	NO3_N_mg_L	NO3_N_uf_mg_L	NO3NO2_N_f_mg_L	NO3NO2_N_mg_L	NO3NO2_N_uf_mg_L	Nonachlor_cis_ug_L	Nonachlor_trans_ng_g_dw	Nonachlor_trans_ug_L	Oxadiazon_ug_L	Oxychlordane_ug_L	P_uf_mg_L	Parathion_Ethyl_ug_L	Parathion_Methyl_ug_L	PCB008_ug_L	PCB015_ug_L	PCB018_ug_L	PCB027_ug_L	PCB029_ug_L	PCB031_ug_L	PCB033_ug_L	PCB044_ug_L	PCB049_ug_L	PCB052_ng_g_dw	PCB052_ug_L	PCB056_ug_L	PCB060_ug_L	PCB066_ug_L	PCB095_ug_L	PCB097_ug_L	PCB099_ug_L	PCB101_ug_L	PCB105_ug_L	PCB110_ng_g_dw	PCB110_ug_L	PCB114_ug_L	PCB118_ng_g_dw	PCB118_ug_L	PCB128_ug_L	PCB137_ug_L	PCB138_ug_L	PCB141_ug_L	PCB149_ug_L	PCB151_ug_L	PCB153_ug_L	PCB156_ug_L	PCB157_ug_L	PCB158_ug_L	PCB170_ug_L	PCB183_ug_L	PCB187_ug_L	PCB189_ug_L	PCB194_ug_L	PCB195_ug_L	PCB200_ug_L	PCB201_ug_L	PCB203_ug_L	PCB206_ug_L	PCB209_ug_L	PCT_SAFN_score	Permethrin_cis_ng_g_dw	Permethrin_cis_ug_L	Permethrin_trans_ng_g_dw	Permethrin_trans_ug_L	pH_SU	Phenanthrene_ug_L	Pheophytin_a_particulate_ug_L	Phorate_ug_L	Phosphamidon_ug_L	PO4_P_f_mg_L	Potassium_f_mg_L	Potassium_uf_mg_L	Sand_0_0625_LT2mm_pct	SandCoarse_2_LT4_75mm_pct	SandFine_0_075_LT0_425mm_pct	SandMed_0_425_LT2mm_pct	Selenium_f_ug_L	Selenium_ug_L	Silica_SiO2_f_mg_L	Silica_SiO2_uf_mg_L	Silt_0_0039_LT0_0625mm_pct	Silt_0_005_LT0_075mm_pct	Silver_f_ug_L	Silver_tot_mg_kg_dw	Silver_uf_ug_L	Sodium_f_mg_L	Sodium_uf_mg_L	SpecificConductivity_uS_cm	Strontium_f_ug_L	Strontium_uf_ug_L	Sulfate_f_mg_L	SuspendedSediment_particulate_mg_L	TDS_f_mg_L	Tedion_ug_L	Terbufos_ug_L	Tetrachloroethylene_ug_L	Tetrachlorvinphos_ug_L	Thallium_f_ug_L	Thallium_uf_ug_L	Thiobencarb_ug_L	Tin_f_ug_L	Tin_uf_ug_L	Titanium_f_ug_L	Titanium_uf_ug_L	TKN_uf_mg_L	TN_mg_L	TN_uf_mg_L	TOC_pct_dw	TOC_uf_mg_L	Toluene_ug_L	TotalColiform_MPN_100mL	TotalMicrocystins_particulate_ug_L	TotalMicrocystins_particulate_ug_m2	Trichloronate_ug_L	Trimethylnaphthalene_235_ug_L	TSS_particulate_mg_L	Turbidity_NTU	Vanadium_f_ug_L	Vanadium_uf_ug_L	XCMG_score	Zinc_f_ug_L	Zinc_tot_mg_kg_dw	Zinc_uf_ug_L
402BA0031	2	5/28/2008	5/28/2008	402BA0031_2008-05-28	402BA0031_5/28/2008_BMI_RWB_1	Degraded	0.639758168	NA	NA	NA	NA	NA	NA	NA	2.89	166	NA	4.19	NA	6.23	NA	NA	NA	0.63	NA	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16	NA	0.14	NA	NA	NA	NA	NA	0.4	NA	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA	NA	0.61	0.64	361	NA	NA	NA	NA	NA	0.86	1.61	10.4	NA	NA	NA	NA	NA	NA	1.05	NA	1.6	NA	NA	NA	NA	NA	NA	NA	NA	0.0173	NA	3.99	NA	4.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.015	NA	NA	NA	NA	NA	NA	1.41	1.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	264	2.713	597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38	1.07	NA	1.2
402BA0079	2	5/28/2008	5/28/2008	402BA0079_2008-05-28	402BA0079_5/28/2008_BMI_RWB_1	Good	0.808099913	-2.5	1.5	0.0352538	-124.5	0.241346285	0.26837339	0.040255074	4.47	185	NA	4.82	NA	6.11	NA	NA	NA	1.13	NA	1.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04	NA	0.05	NA	NA	NA	NA	6.57	NA	NA	NA	NA	NA	NA	0.21	NA	0.21	NA	NA	NA	NA	NA	1.06	NA	1.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.45	NA	NA	NA	NA	NA	NA	0.79	0.73	446	NA	NA	NA	NA	NA	1.08	2.56	10.5	NA	NA	NA	NA	NA	NA	3.55	NA	5.19	NA	NA	NA	NA	NA	NA	NA	NA	0.0321	NA	5.82	NA	5.78	0.0128	NA	1.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0263	NA	NA	NA	NA	NA	NA	3.56	3.4	NA	NA	NA	NA	NA	NA	0.06	NA	NA	NA	NA	NA	292	6.641	764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.58	NA	3.17
402BA0095	2	5/29/2008	5/29/2008	402BA0095_2008-05-29	402BA0095_5/29/2008_BMI_RWB_1	Good	1.218279961	0	0	1.90E-05	-111.5	-6.73E-06	0.000317946	0.000961197	2.02	203	NA	11.1	NA	37.5	NA	NA	NA	0.32	NA	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	NA	0.2	NA	NA	NA	NA	NA	0.31	NA	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.94	NA	NA	NA	NA	NA	NA	0.83	0.98	325	NA	NA	NA	NA	NA	1.22	1.29	22.15	NA	NA	NA	NA	NA	NA	0.97	NA	2.2	NA	NA	NA	NA	NA	NA	NA	NA	0.0113	NA	3.68	NA	3.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0243	NA	NA	NA	NA	NA	NA	0.88	0.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170	2.823	477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.78	NA	0.9
402BA0143	5	5/21/2008	5/21/2008	402BA0143_2008-05-21	402BA0143_5/21/2008_BMI_RWB_1	Degraded	0.665718763	-1.5	1	0.068922473	-100.5	0.167851319	1.12775304	0.005298506	NA	213	NA	NA	NA	3.18	NA	NA	NA	0.68	NA	0.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05	NA	0.06	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	0.22	NA	0.19	NA	NA	NA	NA	NA	0.62	NA	0.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.66	0.7	409	NA	NA	NA	NA	NA	0.8	31.1	45	NA	NA	NA	NA	NA	NA	14.3	NA	14.4	NA	NA	NA	NA	NA	NA	NA	NA	0.0161	NA	5.8	NA	5.27	0.00295	NA	0.164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01965	NA	NA	NA	NA	NA	NA	2.04	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	217	2.713	600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65	1.22	NA	1.14
402BA0335	5	5/27/2008	5/27/2008	402BA0335_2008-05-27	402BA0335_5/27/2008_BMI_RWB_2	Degraded	0.698541307	0	1.5	0.099315716	-60	0.0603182	1.3346122	0.019603577	4.475	209.5	NA	NA	NA	6.265	NA	NA	NA	0.555	NA	0.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.045	NA	0.055	NA	NA	NA	NA	10.785	NA	NA	NA	NA	NA	NA	0.255	NA	0.29	NA	NA	NA	NA	NA	0.605	NA	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA	NA	0.74	0.75	410.5	NA	NA	NA	NA	NA	1.2	3.465	11.25	NA	NA	NA	NA	NA	NA	1.79	NA	2.335	NA	NA	NA	NA	NA	NA	NA	NA	0.01985	NA	5.63	NA	5.925	NA	0.004666667	0.7615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.012866667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.56	3.13	NA	NA	NA	NA	NA	NA	0.04	NA	NA	NA	NA	NA	252	3.5155	646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.205	NA	1.245
402BA0335	5	5/27/2008	5/27/2008	402BA0335_2008-05-27	402BA0335_5/27/2008_BMI_RWB_1	Good	0.871480312	0	1.5	0.099315716	-60	0.0603182	1.3346122	0.019603577	4.475	209.5	NA	NA	NA	6.265	NA	NA	NA	0.555	NA	0.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.045	NA	0.055	NA	NA	NA	NA	10.785	NA	NA	NA	NA	NA	NA	0.255	NA	0.29	NA	NA	NA	NA	NA	0.605	NA	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA	NA	0.74	0.75	410.5	NA	NA	NA	NA	NA	1.2	3.465	11.25	NA	NA	NA	NA	NA	NA	1.79	NA	2.335	NA	NA	NA	NA	NA	NA	NA	NA	0.01985	NA	5.63	NA	5.925	NA	0.004666667	0.7615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.012866667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.56	3.13	NA	NA	NA	NA	NA	NA	0.04	NA	NA	NA	NA	NA	252	3.5155	646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.205	NA	1.245
402M00002	5	8/13/2015	8/13/2015	402M00002_2015-08-13	402M00002_8/13/2015_BMI_RWB_MCM_1	Degraded	0.72931931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	NA	NA	NA	NA	1	0.96	NA	NA	NA	NA	NA	NA	1.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68	NA	NA	NA
402M00005	2	6/11/2015	6/11/2015	402M00005_2015-06-11	402M00005_6/11/2015_BMI_RWB_1	Good	0.944961103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.78	NA	NA	NA	NA	NA	NA	0.73	0.97	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.64	NA	NA	NA
402M00009	2	6/29/2015	6/29/2015	402M00009_2015-06-29	402M00009_6/29/2015_BMI_RWB_1	Degraded	0.282867932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.15	NA	NA	NA	NA	NA	NA	0.78	1	NA	NA	NA	NA	NA	NA	0.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.82	NA	NA	NA
402MTCUNF	2	6/5/2012	6/5/2012	402MTCUNF_2012-06-05	402MTCUNF_6/5/2012_BMI_RWB_1	Good	1.134685346	NA	NA	NA	NA	NA	NA	NA	38.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.2	NA	NA	NA	3.065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.735	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA	NA	NA	NA	0.57	1	NA	442.5	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0034	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	NA	NA	NA	NA	NA	NA	0.0168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0216	NA	NA	NA	NA	NA	NA	NA	NA	16.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.104	NA	NA	NA	NA	NA	NA	NA	NA	0.4	NA	NA	NA	0.69	NA	NA	NA
