StationID_Master	ChemSampleID	SampDate	SampYear	StdParamName	ResultValue	COMID	clust
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Nickel_uf_ug_L	4.17	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Chromium_ug_L	0.14	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Copper_uf_ug_L	0.42	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Aluminum_uf_ug_L	6.23	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Chromium_f_ug_L	0.16	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Nickel_f_ug_L	3.99	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Selenium_ug_L	1.33	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Iron_f_ug_L	1.61	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Sulfate_f_mg_L	264	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Manganese_uf_ug_L	1.6	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	AFDM_algae_particulate_g_m2	2.89	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Iron_uf_ug_L	10.4	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	NH3_N_f_mg_L	0.0173	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Zinc_uf_ug_L	1.2	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Manganese_f_ug_L	1.05	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Selenium_f_ug_L	1.41	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	PO4_P_f_mg_L	0.015	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	H_AqHab_score	0.61	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Copper_f_ug_L	0.4	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Arsenic_uf_ug_L	0.6	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Alkalinity_CaCO3_f_mg_L	166	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	SuspendedSediment_particulate_mg_L	2.713	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	H_SubNat_score	0.64	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	TDS_f_mg_L	597	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Aluminum_f_ug_L	4.19	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	XCMG_score	0.38	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	PCT_SAFN_score	1	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Zinc_f_ug_L	1.07	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	IPI	0.86	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Ev_FlowHab_score	0.92	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Hardness_CaCO3_f_mg_L	361	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	TKN_uf_mg_L	0.089	17586626	2
402BA0031	402BA0031_2008-05-28	5/28/2008	2008	Arsenic_f_ug_L	0.63	17586626	2
402BA0079	402BA0079_2008-05-28	5/28/2008	2008	H_AqHab_score	0.79	17586810	2
