ColName	Category	Subcategory	StudyYear	Scale	ShortName	Units	AbbrFN	Description
CBNFCat	Disturbance	Agricultural nitrogen	NA	Catchment	Biological N fixation	kg N/ha/yr	AgNitr	"Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr, within catchment"
CBNFWs	Disturbance	Agricultural nitrogen	NA	Watershed	Biological N fixation	kg N/ha/yr	AgNitr	"Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr, within watershed"
FertCat	Disturbance	Agricultural nitrogen	NA	Catchment	Synthetic N fertilizer	kg N/ha/yr	AgNitr	"Mean rate of synthetic nitrogen fertilizer application to agricultural land in kg N/ha/yr, within the catchment"
FertWs	Disturbance	Agricultural nitrogen	NA	Watershed	Synthetic N fertilizer	kg N/ha/yr	AgNitr	"Mean rate of synthetic nitrogen fertilizer application to agricultural land in kg N/ha/yr, within watershed"
ManureCat	Disturbance	Agricultural nitrogen	NA	Catchment	Manure application	kg N/ha/yr	AgNitr	"Mean rate of manure application to agricultural land from confined animal feeding operations in kg N/ha/yr, within catchment"
ManureWs	Disturbance	Agricultural nitrogen	NA	Watershed	Manure application	kg N/ha/yr	AgNitr	"Mean rate of manure application to agricultural land from confined animal feeding operations in kg N/ha/yr, within watershed"
PctAg2006Slp10Cat	Disturbance	Agriculture land cover	2006	Catchment	10% slope	%	AgLULC	% of catchment area classified as ag land cover (NLCD 2006 classes 81-82) occurring on slopes ? 10%
PctAg2006Slp10Ws	Disturbance	Agriculture land cover	2006	Watershed	10% slope	%	AgLULC	% of watershed area classified as ag land cover (NLCD 2006 classes 81-82) occurring on slopes ? 10%
PctAg2006Slp20Cat	Disturbance	Agriculture land cover	2006	Catchment	20% slope	%	AgLULC	% of catchment area classified as ag land cover (NLCD 2006 classes 81-82) occurring on slopes ? 20%
PctAg2006Slp20Cat	Disturbance	Agriculture land cover	2006	Catchment	20% slope	%	AgLULC	% of watershed area classified as ag land cover (NLCD 2006 classes 81-82) occurring on slopes ? 20%
PctCrop2001Cat	Disturbance	Agriculture land cover	2001	Catchment	Crop	%	AgLULC	% of catchment area classified as crop land use (NLCD 2001 class 82)
PctCrop2001CatRp100	Disturbance	Agriculture land cover	2001	Catchment Riparian	Crop	%	AgLULC	% of catchment area classified as crop land use (NLCD 2001 class 82) within a 100-m buffer of NHD streams
PctCrop2001Ws	Disturbance	Agriculture land cover	2001	Watershed	Crop	%	AgLULC	% of watershed area classified as crop land use (NLCD 2001 class 82)
PctCrop2001WsRp100	Disturbance	Agriculture land cover	2001	Watershed Riparian	Crop	%	AgLULC	% of watershed area classified as crop land use (NLCD 2001 class 82) within a 100-m buffer of NHD streams
PctCrop2006Cat	Disturbance	Agriculture land cover	2006	Catchment	Crop	%	AgLULC	% of catchment area classified as crop land use (NLCD 2006 class 82)
PctCrop2006CatRp100	Disturbance	Agriculture land cover	2006	Catchment Riparian	Crop	%	AgLULC	% of catchment area classified as crop land use (NLCD 2006 class 82) within a 100-m buffer of NHD streams
PctCrop2006Ws	Disturbance	Agriculture land cover	2006	Watershed	Crop	%	AgLULC	% of watershed area classified as crop land use (NLCD 2006 class 82)
PctCrop2006WsRp100	Disturbance	Agriculture land cover	2006	Watershed Riparian	Crop	%	AgLULC	% of watershed area classified as crop land use (NLCD 2006 class 82) within a 100-m buffer of NHD streams
PctCrop2011Cat	Disturbance	Agriculture land cover	2011	Catchment	Crop	%	AgLULC	% of catchment area classified as crop land use (NLCD 2011 class 82)
PctCrop2011CatRp100	Disturbance	Agriculture land cover	2011	Catchment Riparian	Crop	%	AgLULC	% of catchment area classified as crop land use (NLCD 2011 class 82) within a 100-m buffer of NHD streams
PctCrop2011Ws	Disturbance	Agriculture land cover	2011	Watershed	Crop	%	AgLULC	% of watershed area classified as crop land use (NLCD 2011 class 82)
PctCrop2011WsRp100	Disturbance	Agriculture land cover	2011	Watershed Riparian	Crop	%	AgLULC	% of watershed area classified as crop land use (NLCD 2011 class 82) within a 100-m buffer of NHD streams
PctHay2001Cat	Disturbance	Agriculture land cover	2001	Catchment	Hay	%	AgLULC	% of catchment area classified as hay land use (NLCD 2001 class 81)
PctHay2001CatRp100	Disturbance	Agriculture land cover	2001	Catchment Riparian	Hay	%	AgLULC	% of catchment area classified as hay land use (NLCD 2001 class 81) within a 100-m buffer of NHD streams
PctHay2001Ws	Disturbance	Agriculture land cover	2001	Watershed	Hay	%	AgLULC	% of watershed area classified as hay land use (NLCD 2001 class 81)
PctHay2001WsRp100	Disturbance	Agriculture land cover	2001	Watershed Riparian	Hay	%	AgLULC	% of watershed area classified as hay land use (NLCD 2001 class 81) within a 100-m buffer of NHD streams
PctHay2006Cat	Disturbance	Agriculture land cover	2006	Catchment	Hay	%	AgLULC	% of catchment area classified as hay land use (NLCD 2006 class 81)
PctHay2006CatRp100	Disturbance	Agriculture land cover	2006	Catchment Riparian	Hay	%	AgLULC	% of catchment area classified as hay land use (NLCD 2006 class 81) within a 100-m buffer of NHD streams
PctHay2006Ws	Disturbance	Agriculture land cover	2006	Watershed	Hay	%	AgLULC	% of watershed area classified as hay land use (NLCD 2006 class 81)
PctHay2006WsRp100	Disturbance	Agriculture land cover	2006	Watershed Riparian	Hay	%	AgLULC	% of watershed area classified as hay land use (NLCD 2006 class 81) within a 100-m buffer of NHD streams
PctHay2011Cat	Disturbance	Agriculture land cover	2011	Catchment	Hay	%	AgLULC	% of catchment area classified as hay land use (NLCD 2011 class 81)
PctHay2011CatRp100	Disturbance	Agriculture land cover	2011	Catchment Riparian	Hay	%	AgLULC	% of catchment area classified as hay land use (NLCD 2011 class 81) within a 100-m buffer of NHD streams
PctHay2011Ws	Disturbance	Agriculture land cover	2011	Watershed	Hay	%	AgLULC	% of watershed area classified as hay land use (NLCD 2011 class 81)
PctHay2011WsRp100	Disturbance	Agriculture land cover	2011	Watershed Riparian	Hay	%	AgLULC	% of watershed area classified as hay land use (NLCD 2011 class 81) within a 100-m buffer of NHD streams
PctNonAgIntrodManagVegCat	Disturbance	Managed Vegetation	NA	Catchment	Managed vegetation	%	MngdVeg	"% Nonagriculture nonnative introduced or managed vegetation landcover type reclassed from LANDFIRE Existing Vegetation Type (EVT), within catchment"
PctNonAgIntrodManagVegCatRp100	Disturbance	Managed Vegetation	NA	Catchment Riparian	Managed vegetation	%	MngdVeg	"% Nonagriculture nonnative introduced or managed vegetation landcover type reclassed from LANDFIRE Existing Vegetation Type (EVT), within catchment and within 100-m buffer of NHD stream lines"
PctNonAgIntrodManagVegWs	Disturbance	Managed Vegetation	NA	Watershed	Managed vegetation	%	MngdVeg	"% Nonagriculture nonnative introduced or managed vegetation landcover type reclassed from LANDFIRE Existing Vegetation Type (EVT), within watershed"
PctNonAgIntrodManagVegWsRp100	Disturbance	Managed Vegetation	NA	Watershed Riparian	Managed vegetation	%	MngdVeg	"% Nonagriculture nonnative introduced or managed vegetation landcover type reclassed from LANDFIRE Existing Vegetation Type (EVT), within catchment and within 100-m buffer of NHD stream lines"
PctUrbHi2001Cat	Disturbance	Developed	2001	Catchment	High	%	DevelopLULC	"% of catchment area classified as developed, high-intensity land use (NLCD 2001 class 24)"
PctUrbHi2001CatRp100	Disturbance	Developed	2001	Catchment Riparian	High	%	DevelopLULC	"% of catchment area classified as developed, high-intensity land use (NLCD 2001 class 24) within a 100-m buffer of NHD streams"
PctUrbHi2001Ws	Disturbance	Developed	2001	Watershed	High	%	DevelopLULC	"% of watershed area classified as developed, high-intensity land use (NLCD 2001 class 24)"
PctUrbHi2001WsRp100	Disturbance	Developed	2001	Watershed Riparian	High	%	DevelopLULC	"% of watershed area classified as developed, high-intensity land use (NLCD 2001 class 24) within a 100-m buffer of NHD streams"
PctUrbHi2006Cat	Disturbance	Developed	2006	Catchment	High	%	DevelopLULC	"% of catchment area classified as developed, high-intensity land use (NLCD 2006 class 24)"
PctUrbHi2006CatRp100	Disturbance	Developed	2006	Catchment Riparian	High	%	DevelopLULC	"% of catchment area classified as developed, high-intensity land use (NLCD 2006 class 24) within a 100-m buffer of NHD streams"
PctUrbHi2006Ws	Disturbance	Developed	2006	Watershed	High	%	DevelopLULC	"% of watershed area classified as developed, high-intensity land use (NLCD 2006 class 24)"
PctUrbHi2006WsRp100	Disturbance	Developed	2006	Watershed Riparian	High	%	DevelopLULC	"% of watershed area classified as developed, high-intensity land use (NLCD 2006 class 24) within a 100-m buffer of NHD streams"
PctUrbHi2011Cat	Disturbance	Developed	2011	Catchment	High	%	DevelopLULC	"% of catchment area classified as developed, high-intensity land use (NLCD 2011 class 24)"
PctUrbHi2011CatRp100	Disturbance	Developed	2011	Catchment Riparian	High	%	DevelopLULC	"% of catchment area classified as developed, high-intensity land use (NLCD 2011 class 24) within a 100-m buffer of NHD streams"
PctUrbHi2011Ws	Disturbance	Developed	2011	Watershed	High	%	DevelopLULC	"% of watershed area classified as developed, high-intensity land use (NLCD 2011 class 24)"
PctUrbHi2011WsRp100	Disturbance	Developed	2011	Watershed Riparian	High	%	DevelopLULC	"% of watershed area classified as developed, high-intensity land use (NLCD 2011 class 24) within a 100-m buffer of NHD streams"
PctUrbLo2001Cat	Disturbance	Developed	2001	Catchment	Low	%	DevelopLULC	"% of catchment area classified as developed, low-intensity land use (NLCD 2001 class 22)"
PctUrbLo2001CatRp100	Disturbance	Developed	2001	Catchment Riparian	Low	%	DevelopLULC	"% of catchment area classified as developed, low-intensity land use (NLCD 2001 class 22) within a 100-m buffer of NHD streams"
PctUrbLo2001Ws	Disturbance	Developed	2001	Watershed	Low	%	DevelopLULC	"% of watershed area classified as developed, low-intensity land use (NLCD 2001 class 22)"
PctUrbLo2001WsRp100	Disturbance	Developed	2001	Watershed Riparian	Low	%	DevelopLULC	"% of watershed area classified as developed, low-intensity land use (NLCD 2001 class 22) within a 100-m buffer of NHD streams"
PctUrbLo2006Cat	Disturbance	Developed	2006	Catchment	Low	%	DevelopLULC	"% of catchment area classified as developed, low-intensity land use (NLCD 2006 class 22)"
PctUrbLo2006CatRp100	Disturbance	Developed	2006	Catchment Riparian	Low	%	DevelopLULC	"% of catchment area classified as developed, low-intensity land use (NLCD 2006 class 22) within a 100-m buffer of NHD streams"
PctUrbLo2006Ws	Disturbance	Developed	2006	Watershed	Low	%	DevelopLULC	"% of watershed area classified as developed, low-intensity land use (NLCD 2006 class 22)"
PctUrbLo2006WsRp100	Disturbance	Developed	2006	Watershed Riparian	Low	%	DevelopLULC	"% of watershed area classified as developed, low-intensity land use (NLCD 2006 class 22) within a 100-m buffer of NHD streams"
PctUrbLo2011Cat	Disturbance	Developed	2011	Catchment	Low	%	DevelopLULC	"% of catchment area classified as developed, low-intensity land use (NLCD 2011 class 22)"
PctUrbLo2011CatRp100	Disturbance	Developed	2011	Catchment Riparian	Low	%	DevelopLULC	"% of catchment area classified as developed, low-intensity land use (NLCD 2011 class 22) within a 100-m buffer of NHD streams"
PctUrbLo2011Ws	Disturbance	Developed	2011	Watershed	Low	%	DevelopLULC	"% of watershed area classified as developed, low-intensity land use (NLCD 2011 class 22)"
PctUrbLo2011WsRp100	Disturbance	Developed	2011	Watershed Riparian	Low	%	DevelopLULC	"% of watershed area classified as developed, low-intensity land use (NLCD 2011 class 22) within a 100-m buffer of NHD streams"
PctUrbMd2001Cat	Disturbance	Developed	2001	Catchment	Medium	%	DevelopLULC	"% of catchment area classified as developed, medium-intensity land use (NLCD 2001 class 23)"
PctUrbMd2001CatRp100	Disturbance	Developed	2001	Catchment Riparian	Medium	%	DevelopLULC	"% of catchment area classified as developed, medium-intensity land use (NLCD 2001 class 23) within a 100-m buffer of NHD streams"
PctUrbMd2001Ws	Disturbance	Developed	2001	Watershed	Medium	%	DevelopLULC	"% of watershed area classified as developed, medium-intensity land use (NLCD 2001 class 23)"
PctUrbMd2001WsRp100	Disturbance	Developed	2001	Watershed Riparian	Medium	%	DevelopLULC	"% of watershed area classified as developed, medium-intensity land use (NLCD 2001 class 23) within a 100-m buffer of NHD streams"
