StationID_Master	COMID	WaterbodyName	GIS_County	FinalLatitude	FinalLongitude	CARefSite_2017	ElevCategory	clust
408BA0580	17562558	Calleguas watershed	NA	34.26537	-119.09462	0	NA	1
408BH6Bxx	17562588	Calleguas watershed	NA	34.20294	-119.00204	0	NA	1
SMC04932	17562588	Calleguas watershed	NA	34.20139	-119.00115	0	NA	1
408BH6Axx	17562588	Calleguas watershed	NA	34.2037	-119.00141	0	NA	1
408CGCS12	17562598	Calleguas watershed	NA	34.19114	-119.00464	0	NA	1
408BA0836	17562598	Calleguas watershed	NA	34.19071	-119.00511	0	NA	1
408CGCS06	17562626	Calleguas watershed	NA	34.17978	-119.04053	0	NA	5
408PS0032	17562626	Calleguas watershed	NA	34.1688	-119.05743	0	NA	5
ME-CC	17562626	Calleguas watershed	NA	34.17912	-119.03968	0	NA	5
SMC08068	17562630	Calleguas watershed	NA	34.1802	-119.10372	0	NA	1
408CGCS13	17562630	Calleguas watershed	NA	34.16781	-119.09272	0	NA	1
408CAL005	17562630	Calleguas watershed	NA	34.1693	-119.09572	0	NA	1
408WE0654	17562630	Calleguas watershed	NA	34.16522	-119.09069	0	NA	1
408WE1039	17562648	Calleguas watershed	NA	34.14743	-119.087	0	NA	1
SMC03268	17562656	Calleguas watershed	NA	34.16255	-119.06301	0	NA	4
408CAL004	17562692	Calleguas watershed	NA	34.1127	-119.08265	0	NA	5
408BA0268	17563660	Calleguas watershed	NA	34.32646	-118.7182	0	NA	2
408CAL008	17563888	Calleguas watershed	NA	34.27387	-118.85857	0	NA	4
SMC01684	17563902	Calleguas watershed	NA	34.27906	-118.91591	0	NA	4
SMC04756	17563904	Calleguas watershed	NA	34.27092	-118.9269	0	NA	1
408CGCS04	17563904	Calleguas watershed	NA	34.27161	-118.92406	0	NA	1
SMC05524	17563904	Calleguas watershed	NA	34.27032	-118.91723	0	NA	1
SMC07828	17563908	Calleguas watershed	NA	34.27558	-118.89446	0	NA	1
SMC02452	17563908	Calleguas watershed	NA	34.2733	-118.89985	0	NA	1
SMC08660	17563908	Calleguas watershed	NA	34.28495	-118.86938	0	NA	1
SMC01512	17563922	Calleguas watershed	NA	34.27641	-118.67252	0	NA	1
408CAL012	17563944	Calleguas watershed	NA	34.27242	-118.78131	0	NA	1
SMC02536	17563948	Calleguas watershed	NA	34.26861	-118.6736	0	NA	1
SMC03304	17563950	Calleguas watershed	NA	34.28829	-118.72312	0	NA	2
408M03005	17563950	Calleguas watershed	NA	34.27001	-118.74203	0	NA	2
408CAL013	17563950	Calleguas watershed	NA	34.27133	-118.74003	0	NA	2
408BA0660	17563970	Calleguas watershed	NA	34.26784	-118.93781	0	NA	1
408M03019	17563970	Calleguas watershed	NA	34.26742	-118.94037	0	NA	1
SMC02436	17563970	Calleguas watershed	NA	34.26279	-118.97199	0	NA	1
408BA0916	17564016	Calleguas watershed	NA	34.23266	-118.95311	0	NA	1
SMC01860	17564046	Calleguas watershed	NA	34.224	-118.97911	0	NA	1
SMC05956	17564046	Calleguas watershed	NA	34.22875	-118.97109	0	NA	1
SMC02884	17564054	Calleguas watershed	NA	34.21749	-118.98533	0	NA	1
SMC03988	17564074	Calleguas watershed	NA	34.21322	-118.89766	0	NA	2
408CAL007	17564104	Calleguas watershed	NA	34.19437	-119.00077	0	NA	4
408BH6Cxx	17564104	Calleguas watershed	NA	34.2008	-119.00101	0	NA	4
SMC06356	17564110	Calleguas watershed	NA	34.20156	-118.91158	0	NA	2
SMC04308	17564110	Calleguas watershed	NA	34.19349	-118.9083	0	NA	2
408CAL011	17564124	Calleguas watershed	NA	34.18563	-118.90728	0	NA	1
SMC05332	17564124	Calleguas watershed	NA	34.18682	-118.90741	0	NA	1
SMC02644	17564134	Calleguas watershed	NA	34.18157	-118.88652	0	NA	1
SMC06740	17564136	Calleguas watershed	NA	34.1807	-118.87436	0	NA	2
SMC01960	17564880	Calleguas watershed	NA	34.26554	-118.75916	0	NA	1
SMC02984	17564880	Calleguas watershed	NA	34.26528	-118.75053	0	NA	1
408BA0036	17564924	Calleguas watershed	NA	34.21502	-118.87899	0	NA	2
SMC04132	17564924	Calleguas watershed	NA	34.21472	-118.88416	0	NA	2
403WE1027	17567207	Santa Clara watershed	NA	34.72654	-119.02842	1	NA	5
403S01883	17567221	Santa Clara watershed	NA	34.71629	-119.0189	0	NA	5
403STC069	17567285	Santa Clara watershed	NA	34.68111	-119.02111	0	NA	6
SMC02075	17567333	Santa Clara watershed	NA	34.6719	-119.03758	0	NA	6
403STC025	17567337	Santa Clara watershed	NA	34.66528	-119.05111	0	NA	6
403WE0891	17567365	Santa Clara watershed	NA	34.65926	-119.14255	1	NA	6
403BA0027	17567373	Santa Clara watershed	NA	34.66254	-119.05249	0	NA	6
403WE0540	17567407	Santa Clara watershed	NA	34.65136	-119.11845	1	NA	6
403STC085	17567423	Santa Clara watershed	NA	34.6425	-119.0775	1	NA	6
403WE0795	17567425	Santa Clara watershed	NA	34.6408	-119.08094	1	NA	6
403S06315	17567721	Santa Clara watershed	NA	34.59223	-119.31033	0	NA	2
403STC066	17567841	Santa Clara watershed	NA	34.585	-119.16472	1	NA	2
403S05291	17567911	Santa Clara watershed	NA	34.56397	-119.26305	0	NA	5
403SPCNWS	17567911	Santa Clara watershed	NA	34.5778	-119.2579	0	NA	5
403STC070	17567911	Santa Clara watershed	NA	34.56667	-119.26278	0	NA	5
403STC026	17567913	Santa Clara watershed	NA	34.55889	-119.26861	1	NA	2
403S01195	17567929	Santa Clara watershed	NA	34.55902	-119.26784	0	NA	5
403S07227	17567931	Santa Clara watershed	NA	34.56208	-119.16664	0	NA	5
403SED076	17567931	Santa Clara watershed	NA	34.56182	-119.16611	0	NA	5
403STC030	17567951	Santa Clara watershed	NA	34.57	-119.15556	1	NA	2
403S02363	17567953	Santa Clara watershed	NA	34.55885	-119.15456	0	NA	5
403S00875	17567963	Santa Clara watershed	NA	34.55667	-119.30628	0	NA	2
403STC064	17567965	Santa Clara watershed	NA	34.55806	-119.10361	1	NA	5
SMC00827	17567969	Santa Clara watershed	NA	34.55734	-119.18833	0	NA	5
403S03643	17567991	Santa Clara watershed	NA	34.56213	-119.12891	0	NA	5
403WE0560	17567993	Santa Clara watershed	NA	34.55841	-119.14079	0	NA	5
403STC086	17567995	Santa Clara watershed	NA	34.55667	-119.20611	1	NA	2
403STC022	17567999	Santa Clara watershed	NA	34.555	-119.20472	0	NA	5
403S06139	17568009	Santa Clara watershed	NA	34.55464	-119.2405	0	NA	5
403WE0809	17568017	Santa Clara watershed	NA	34.5515	-119.20811	0	NA	2
SMC00271	17568061	Santa Clara watershed	NA	34.5485	-119.16547	1	NA	2
403LNCASC	17568111	Santa Clara watershed	NA	34.53892	-119.16139	0	NA	2
403STC021	17568553	Santa Clara watershed	NA	34.64667	-119.06944	1	NA	6
403S01707	17568571	Santa Clara watershed	NA	34.59835	-119.34799	0	NA	2
403WE0905	17568579	Santa Clara watershed	NA	34.55734	-119.24876	0	NA	5
403STC093	17569153	Santa Clara watershed	NA	34.70806	-118.97333	0	NA	5
403S01163	17569197	Santa Clara watershed	NA	34.69942	-118.86528	0	NA	5
403S06283	17569203	Santa Clara watershed	NA	34.69386	-118.86079	0	NA	5
403S18093	17569203	Santa Clara watershed	NA	34.69441	-118.85658	0	NA	5
403PRCAGH	17569207	Santa Clara watershed	NA	34.69449	-118.92051	0	NA	5
403S16493	17569237	Santa Clara watershed	NA	34.6867	-118.84546	0	NA	5
403STC071	17569253	Santa Clara watershed	NA	34.68278	-118.84361	0	NA	5
403WE1021	17569571	Santa Clara watershed	NA	34.63193	-118.52977	0	NA	6
403STC065	17569603	Santa Clara watershed	NA	34.63056	-118.53611	1	NA	6
403WE0534	17569679	Santa Clara watershed	NA	34.61359	-118.77983	0	NA	5
403S07024	17569679	Santa Clara watershed	NA	34.6092	-118.75771	0	NA	5
403STC029	17569705	Santa Clara watershed	NA	34.61528	-118.55833	1	NA	6
403S00640	17569783	Santa Clara watershed	NA	34.60114	-118.55797	0	NA	4
403S00960	17569839	Santa Clara watershed	NA	34.59078	-118.4617	0	NA	4
403S01728	17569947	Santa Clara watershed	NA	34.5749	-118.46002	0	NA	4
403R4S211	17569947	Santa Clara watershed	NA	34.57232	-118.46287	0	NA	4
403WE0682	17569981	Santa Clara watershed	NA	34.57066	-118.38974	0	NA	4
403S01536	17569981	Santa Clara watershed	NA	34.56909	-118.39212	1	NA	4
SMC05296	17570065	Santa Clara watershed	NA	34.55457	-118.77525	0	NA	5
403WE0501	17570115	Santa Clara watershed	NA	34.54172	-118.77286	1	NA	2
403S16332	17570169	Santa Clara watershed	NA	34.5317	-118.75812	0	NA	5
403M05757	17570253	Santa Clara watershed	NA	34.54518	-118.43467	0	NA	4
403STC027	17570253	Santa Clara watershed	NA	34.54639	-118.43389	0	NA	4
SMC02888	17570253	Santa Clara watershed	NA	34.54401	-118.43626	0	NA	4
403BA0136	17570387	Santa Clara watershed	NA	34.51202	-118.45038	0	NA	4
403M05771	17572225	Santa Clara watershed	NA	34.69939	-118.79476	0	NA	4
403S00064	17572253	Santa Clara watershed	NA	34.64435	-118.51372	0	NA	6
403PRCAFF	17572259	Santa Clara watershed	NA	34.6308	-118.7484	0	NA	5
403STC083	17572259	Santa Clara watershed	NA	34.62833	-118.74528	0	NA	5
403S01136	17572259	Santa Clara watershed	NA	34.62762	-118.74403	0	NA	5
403R4S117	17572289	Santa Clara watershed	NA	34.58739	-118.45116	0	NA	4
403STC024	17572761	Santa Clara watershed	NA	34.45056	-119.05583	1	NA	2
SMC01979	17572783	Santa Clara watershed	NA	34.45205	-119.13624	0	NA	2
403WE0683	17572791	Santa Clara watershed	NA	34.43952	-119.07616	1	NA	2
403STC028	17572797	Santa Clara watershed	NA	34.43722	-119.08583	0	NA	2
403WE0746	17572895	Santa Clara watershed	NA	34.39548	-119.07511	0	NA	5
403STCSTP	17572895	Santa Clara watershed	NA	34.39583	-119.07567	0	NA	5
403CE0156	17572917	Santa Clara watershed	NA	34.37746	-119.05968	0	NA	5
SMC05759	17572963	Santa Clara watershed	NA	34.35232	-119.03474	0	NA	5
SMC06079	17573647	Santa Clara watershed	NA	34.41108	-119.08213	0	NA	5
403FCA022	17573659	Santa Clara watershed	NA	34.35671	-119.01988	0	NA	2
403BA0191	17573663	Santa Clara watershed	NA	34.36762	-119.0538	0	NA	5
403CE0188	17573663	Santa Clara watershed	NA	34.35646	-119.04752	0	NA	5
SMC01215	17573665	Santa Clara watershed	NA	34.33968	-119.06784	0	NA	5
403STC082	17573667	Santa Clara watershed	NA	34.33583	-119.06833	0	NA	4
SMC05567	17573673	Santa Clara watershed	NA	34.31976	-119.08872	0	NA	5
403BA0047	17573691	Santa Clara watershed	NA	34.27084	-119.1524	0	NA	5
403STCEST	17573705	Santa Clara watershed	NA	34.23557	-119.21674	0	NA	1
403STC016	17573707	Santa Clara watershed	NA	34.23556	-119.24083	0	NA	5
403WE0558	17574011	Santa Clara watershed	NA	34.49347	-118.45703	0	NA	4
SMC18656	17574331	Santa Clara watershed	NA	34.47128	-118.53166	0	NA	2
403S02764	17574353	Santa Clara watershed	NA	34.44778	-118.7549	0	NA	5
SMC08540	17574361	Santa Clara watershed	NA	34.44828	-118.61769	0	NA	5
403S06660	17574519	Santa Clara watershed	NA	34.42963	-118.92373	0	NA	5
SMC10756	17574521	Santa Clara watershed	NA	34.42358	-118.93024	0	NA	1
403S00831	17574531	Santa Clara watershed	NA	34.43047	-118.8318	0	NA	2
403STC076	17574539	Santa Clara watershed	NA	34.42472	-118.76278	0	NA	5
403S16978	17574539	Santa Clara watershed	NA	34.42319	-118.76771	0	NA	5
403WE0535	17574539	Santa Clara watershed	NA	34.43957	-118.75907	0	NA	5
403SCVARC	17574541	Santa Clara watershed	NA	34.43125	-118.5913	0	NA	5
SMC17056	17574541	Santa Clara watershed	NA	34.4263	-118.5779	0	NA	5
403S14156	17574541	Santa Clara watershed	NA	34.42523	-118.582	0	NA	5
SMC09564	17574541	Santa Clara watershed	NA	34.4322	-118.59397	0	NA	5
403STC019	17574541	Santa Clara watershed	NA	34.42556	-118.57917	0	NA	5
403SCVARD	17574541	Santa Clara watershed	NA	34.4328	-118.59466	0	NA	5
403S11084	17574547	Santa Clara watershed	NA	34.42487	-118.56081	0	NA	5
403S34646	17574547	Santa Clara watershed	NA	34.42556	-118.56616	0	NA	5
SMC01372	17574585	Santa Clara watershed	NA	34.43437	-118.61386	0	NA	5
403S39062	17574585	Santa Clara watershed	NA	34.4323	-118.61744	0	NA	5
403M05758	17574585	Santa Clara watershed	NA	34.43484	-118.61254	0	NA	5
SMC01676	17574585	Santa Clara watershed	NA	34.41931	-118.62961	0	NA	5
403M01505	17574589	Santa Clara watershed	NA	34.41709	-118.92546	0	NA	5
SMC17692	17574613	Santa Clara watershed	NA	34.41887	-118.63264	0	NA	5
403STC004	17574613	Santa Clara watershed	NA	34.41472	-118.65583	0	NA	5
SMC20092	17574613	Santa Clara watershed	NA	34.4141	-118.65608	0	NA	5
SMC16892	17574649	Santa Clara watershed	NA	34.41043	-118.66107	0	NA	5
SMC04748	17574649	Santa Clara watershed	NA	34.41314	-118.65879	0	NA	5
403S06904	17574677	Santa Clara watershed	NA	34.41964	-118.78769	0	NA	5
403R4S193	17574677	Santa Clara watershed	NA	34.41722	-118.78927	0	NA	5
SMC06904	17574677	Santa Clara watershed	NA	34.41963	-118.78769	0	NA	5
403STCPRU	17574677	Santa Clara watershed	NA	34.40894	-118.78483	0	NA	5
SMC21382	17574683	Santa Clara watershed	NA	34.40663	-118.6694	0	NA	5
403S01272	17574691	Santa Clara watershed	NA	34.40303	-118.6905	0	NA	5
SMC17378	17574691	Santa Clara watershed	NA	34.40267	-118.68412	0	NA	5
403S15608	17574697	Santa Clara watershed	NA	34.4019	-118.70052	0	NA	5
403STCNRB	17574697	Santa Clara watershed	NA	34.40138	-118.70012	0	NA	5
SMC04600	17574717	Santa Clara watershed	NA	34.39728	-118.7105	0	NA	5
403S04600	17574717	Santa Clara watershed	NA	34.39728	-118.7105	0	NA	5
403BA0068	17574729	Santa Clara watershed	NA	34.39179	-118.90285	0	NA	2
PC1	17574729	Santa Clara watershed	NA	34.41189	-118.901	1	NA	2
SMC04432	17574765	Santa Clara watershed	NA	34.41089	-118.14881	0	NA	6
403S03320	17574773	Santa Clara watershed	NA	34.39996	-118.72346	0	NA	2
403STCSSP	17574807	Santa Clara watershed	NA	34.39414	-118.94096	0	NA	4
403S00772	17574807	Santa Clara watershed	NA	34.40976	-118.93221	0	NA	4
SMC01164	17574979	Santa Clara watershed	NA	34.35078	-118.57968	0	NA	2
SMC04956	17575713	Santa Clara watershed	NA	34.42708	-118.57409	0	NA	4
403M01506	17575737	Santa Clara watershed	NA	34.39739	-118.79347	0	NA	5
403S01784	17575785	Santa Clara watershed	NA	34.40228	-118.7471	0	NA	5
403PRCSFD	17575859	Santa Clara watershed	NA	34.4603	-118.752	0	NA	5
403S03832	17575867	Santa Clara watershed	NA	34.40211	-118.78471	0	NA	5
402PS0048	17585714	Ventura watershed	NA	34.53077	-119.40085	0	NA	2
402WE0536	17585714	Ventura watershed	NA	34.5196	-119.40537	1	NA	2
402MTCUNF	17585756	Ventura watershed	NA	34.5175	-119.3792	0	NA	2
SMC02591	17585756	Ventura watershed	NA	34.51783	-119.37846	0	NA	2
402M00005	17585758	Ventura watershed	NA	34.51364	-119.40097	0	NA	2
SMC01567	17585776	Ventura watershed	NA	34.50959	-119.38373	1	NA	2
SMC00911	17585780	Ventura watershed	NA	34.50797	-119.29854	1	NA	2
402WER001	17585796	Ventura watershed	NA	34.50528	-119.27806	0	NA	2
SMC08655	17585796	Ventura watershed	NA	34.50823	-119.28406	0	NA	2
SMC19945	17585796	Ventura watershed	NA	34.50486	-119.28186	0	NA	2
402SNPMCR	17585800	Ventura watershed	NA	34.50509	-119.37741	0	NA	5
VENTURA14	17585800	Ventura watershed	NA	34.50466	-119.3742	1	NA	5
402MJCMHS	17585808	Ventura watershed	NA	34.5028	-119.3573	0	NA	2
SMC19809	17585808	Ventura watershed	NA	34.50141	-119.3531	0	NA	2
SMC04383	17585808	Ventura watershed	NA	34.50224	-119.35602	1	NA	2
SMC05407	17585818	Ventura watershed	NA	34.50124	-119.35043	0	NA	2
VENTURA13	17585818	Ventura watershed	NA	34.50144	-119.348	1	NA	2
SMC13599	17586412	Ventura watershed	NA	34.49889	-119.34172	0	NA	2
SMC06863	17586460	Ventura watershed	NA	34.49417	-119.30534	0	NA	2
SMC18545	17586470	Ventura watershed	NA	34.48452	-119.30834	0	NA	5
SMC11727	17586488	Ventura watershed	NA	34.47857	-119.29339	0	NA	5
SMC04795	17586496	Ventura watershed	NA	34.47989	-119.17067	0	NA	2
402BA0095	17586570	Ventura watershed	NA	34.46328	-119.34566	1	NA	2
SMC04047	17586578	Ventura watershed	NA	34.45832	-119.29171	0	NA	2
402BA0031	17586626	Ventura watershed	NA	34.44652	-119.29227	0	NA	2
SMC02127	17586736	Ventura watershed	NA	34.42318	-119.26474	0	NA	4
