"StationID_Master"	"ChemSampleID"	"StdParamName"	"SampleDate"	"ResultValue"	"IQRmethod"	"SDmethod"	"Outlier"
"402BA0031"	"402BA0031_2008-05-28"	"AFDM_algae_particulate_g_m2"	2008-05-28	2.89	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Alkalinity_CaCO3_f_mg_L"	2008-05-28	166	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Aluminum_f_ug_L"	2008-05-28	4.19	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Aluminum_uf_ug_L"	2008-05-28	6.23	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Arsenic_f_ug_L"	2008-05-28	0.63	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Arsenic_uf_ug_L"	2008-05-28	0.6	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Chromium_f_ug_L"	2008-05-28	0.16	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Chromium_ug_L"	2008-05-28	0.14	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Copper_f_ug_L"	2008-05-28	0.4	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Copper_uf_ug_L"	2008-05-28	0.42	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Ev_FlowHab_score"	2008-05-28	0.92	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"H_AqHab_score"	2008-05-28	0.61	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"H_SubNat_score"	2008-05-28	0.64	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Hardness_CaCO3_f_mg_L"	2008-05-28	361	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"IPI"	2008-05-28	0.86	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Iron_f_ug_L"	2008-05-28	1.61	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Iron_uf_ug_L"	2008-05-28	10.4	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Manganese_f_ug_L"	2008-05-28	1.05	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Manganese_uf_ug_L"	2008-05-28	1.6	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"NH3_N_f_mg_L"	2008-05-28	0.0173	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Nickel_f_ug_L"	2008-05-28	3.99	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Nickel_uf_ug_L"	2008-05-28	4.17	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"PCT_SAFN_score"	2008-05-28	1	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"PO4_P_f_mg_L"	2008-05-28	0.015	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Selenium_f_ug_L"	2008-05-28	1.41	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Selenium_ug_L"	2008-05-28	1.33	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Sulfate_f_mg_L"	2008-05-28	264	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"SuspendedSediment_particulate_mg_L"	2008-05-28	2.713	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"TDS_f_mg_L"	2008-05-28	597	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"TKN_uf_mg_L"	2008-05-28	0.089	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"XCMG_score"	2008-05-28	0.38	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Zinc_f_ug_L"	2008-05-28	1.07	"Good"	"Good"	"Good"
"402BA0031"	"402BA0031_2008-05-28"	"Zinc_uf_ug_L"	2008-05-28	1.2	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"AFDM_algae_particulate_g_m2"	2008-05-28	4.47	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Alkalinity_CaCO3_f_mg_L"	2008-05-28	185	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Aluminum_f_ug_L"	2008-05-28	4.82	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Aluminum_uf_ug_L"	2008-05-28	6.11	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Arsenic_f_ug_L"	2008-05-28	1.13	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Arsenic_uf_ug_L"	2008-05-28	1.14	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Cadmium_f_ug_L"	2008-05-28	0.04	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Cadmium_uf_ug_L"	2008-05-28	0.05	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Chlor_a_particulate_mg_m2"	2008-05-28	6.57	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Chromium_f_ug_L"	2008-05-28	0.21	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Chromium_ug_L"	2008-05-28	0.21	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Copper_f_ug_L"	2008-05-28	1.06	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Copper_uf_ug_L"	2008-05-28	1.05	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Ev_FlowHab_score"	2008-05-28	0.45	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"H_AqHab_score"	2008-05-28	0.79	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"H_SubNat_score"	2008-05-28	0.73	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Hardness_CaCO3_f_mg_L"	2008-05-28	446	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"IPI"	2008-05-28	1.08	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Iron_f_ug_L"	2008-05-28	2.56	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Iron_uf_ug_L"	2008-05-28	10.5	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Manganese_f_ug_L"	2008-05-28	3.55	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Manganese_uf_ug_L"	2008-05-28	5.19	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"NH3_N_f_mg_L"	2008-05-28	0.0321	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Nickel_f_ug_L"	2008-05-28	5.82	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Nickel_uf_ug_L"	2008-05-28	5.78	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"NO2_N_f_mg_L"	2008-05-28	0.0128	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"NO3_N_f_mg_L"	2008-05-28	1.12	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"P_uf_mg_L"	2008-05-28	0.0165	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"PCT_SAFN_score"	2008-05-28	0.97	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"PO4_P_f_mg_L"	2008-05-28	0.0263	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Selenium_f_ug_L"	2008-05-28	3.56	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Selenium_ug_L"	2008-05-28	3.4	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Silver_uf_ug_L"	2008-05-28	0.06	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Sulfate_f_mg_L"	2008-05-28	292	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"SuspendedSediment_particulate_mg_L"	2008-05-28	6.641	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"TDS_f_mg_L"	2008-05-28	764	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"TKN_uf_mg_L"	2008-05-28	0.408	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"XCMG_score"	2008-05-28	1	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Zinc_f_ug_L"	2008-05-28	1.58	"Good"	"Good"	"Good"
"402BA0079"	"402BA0079_2008-05-28"	"Zinc_uf_ug_L"	2008-05-28	3.17	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"AFDM_algae_particulate_g_m2"	2008-05-29	2.02	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Alkalinity_CaCO3_f_mg_L"	2008-05-29	203	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Aluminum_f_ug_L"	2008-05-29	11.1	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Aluminum_uf_ug_L"	2008-05-29	37.5	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Arsenic_f_ug_L"	2008-05-29	0.32	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Arsenic_uf_ug_L"	2008-05-29	0.3	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Chromium_f_ug_L"	2008-05-29	0.17	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Chromium_ug_L"	2008-05-29	0.2	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Copper_f_ug_L"	2008-05-29	0.31	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Copper_uf_ug_L"	2008-05-29	0.41	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Ev_FlowHab_score"	2008-05-29	0.94	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"H_AqHab_score"	2008-05-29	0.83	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"H_SubNat_score"	2008-05-29	0.98	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Hardness_CaCO3_f_mg_L"	2008-05-29	325	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"IPI"	2008-05-29	1.22	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Iron_f_ug_L"	2008-05-29	1.29	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Iron_uf_ug_L"	2008-05-29	22.15	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Manganese_f_ug_L"	2008-05-29	0.97	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Manganese_uf_ug_L"	2008-05-29	2.2	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"NH3_N_f_mg_L"	2008-05-29	0.0113	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Nickel_f_ug_L"	2008-05-29	3.68	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Nickel_uf_ug_L"	2008-05-29	3.76	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"P_uf_mg_L"	2008-05-29	0.0062	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"PCT_SAFN_score"	2008-05-29	0.83	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"PO4_P_f_mg_L"	2008-05-29	0.0243	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Selenium_f_ug_L"	2008-05-29	0.88	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Selenium_ug_L"	2008-05-29	0.94	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Sulfate_f_mg_L"	2008-05-29	170	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"SuspendedSediment_particulate_mg_L"	2008-05-29	2.823	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"TDS_f_mg_L"	2008-05-29	477	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"XCMG_score"	2008-05-29	1	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Zinc_f_ug_L"	2008-05-29	0.78	"Good"	"Good"	"Good"
"402BA0095"	"402BA0095_2008-05-29"	"Zinc_uf_ug_L"	2008-05-29	0.9	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Alkalinity_CaCO3_f_mg_L"	2008-05-21	213	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Aluminum_uf_ug_L"	2008-05-21	3.18	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Arsenic_f_ug_L"	2008-05-21	0.68	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Arsenic_uf_ug_L"	2008-05-21	0.73	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Cadmium_f_ug_L"	2008-05-21	0.05	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Cadmium_uf_ug_L"	2008-05-21	0.06	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Chlor_a_particulate_mg_m2"	2008-05-21	16	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Chromium_f_ug_L"	2008-05-21	0.22	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Chromium_ug_L"	2008-05-21	0.19	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Copper_f_ug_L"	2008-05-21	0.62	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Copper_uf_ug_L"	2008-05-21	0.63	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Ev_FlowHab_score"	2008-05-21	0	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"H_AqHab_score"	2008-05-21	0.66	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"H_SubNat_score"	2008-05-21	0.7	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Hardness_CaCO3_f_mg_L"	2008-05-21	409	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"IPI"	2008-05-21	0.8	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Iron_f_ug_L"	2008-05-21	31.1	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Iron_uf_ug_L"	2008-05-21	45	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Manganese_f_ug_L"	2008-05-21	14.3	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Manganese_uf_ug_L"	2008-05-21	14.4	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"NH3_N_f_mg_L"	2008-05-21	0.0161	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Nickel_f_ug_L"	2008-05-21	5.8	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Nickel_uf_ug_L"	2008-05-21	5.27	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"NO2_N_f_mg_L"	2008-05-21	0.00295	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"NO3_N_f_mg_L"	2008-05-21	0.164	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"P_uf_mg_L"	2008-05-21	0.0155	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"PCT_SAFN_score"	2008-05-21	1	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"PO4_P_f_mg_L"	2008-05-21	0.01965	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Selenium_f_ug_L"	2008-05-21	2.04	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Selenium_ug_L"	2008-05-21	1.8	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Sulfate_f_mg_L"	2008-05-21	217	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"SuspendedSediment_particulate_mg_L"	2008-05-21	2.713	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"TDS_f_mg_L"	2008-05-21	600	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"TKN_uf_mg_L"	2008-05-21	0.21	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"XCMG_score"	2008-05-21	0.65	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Zinc_f_ug_L"	2008-05-21	1.22	"Good"	"Good"	"Good"
"402BA0143"	"402BA0143_2008-05-21"	"Zinc_uf_ug_L"	2008-05-21	1.14	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"AFDM_algae_particulate_g_m2"	2008-05-27	4.475	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Alkalinity_CaCO3_f_mg_L"	2008-05-27	209.5	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Aluminum_uf_ug_L"	2008-05-27	6.265	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Arsenic_f_ug_L"	2008-05-27	0.555	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Arsenic_uf_ug_L"	2008-05-27	0.53	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Cadmium_f_ug_L"	2008-05-27	0.045	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Cadmium_uf_ug_L"	2008-05-27	0.055	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Chlor_a_particulate_mg_m2"	2008-05-27	10.785	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Chromium_f_ug_L"	2008-05-27	0.255	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Chromium_ug_L"	2008-05-27	0.29	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Copper_f_ug_L"	2008-05-27	0.605	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Copper_uf_ug_L"	2008-05-27	0.65	"Good"	"Good"	"Good"
