"ANALYSIS_TYPE"	"CHEMICAL_NAME"	"FinalUnit"	"StdParamName"	"GroupNum"	"GroupName"	"LogTransf"	"SSD"	"SSTV"	"SensMin"	"SensMax"	"TolMin"	"TolMax"	"UseInStressorID"	"DirIncStress"	"SSTVname"	"Label"	"MinWQO_CAR9"	"MCL_Primary"	"MCL_Secondary"	"Analyte"
"None"	"E. coli"	"MPN/100 mL"	"E_coli_MPN_100mL"	1	"Bacteria"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"E. coli (most probable number/100 mL)"	126	NA	NA	"E_coli_MPN_100mL"
"None"	"Enterococcus"	"MPN/100 mL"	"Enterococcus_MPN_100mL"	1	"Bacteria"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Enterococcus (most probable number/100 mL)"	33	NA	NA	"Enterococcus_MPN_100mL"
"None"	"Coliform, Fecal"	"MPN/100 mL"	"FecalColiform_MPN_100mL"	1	"Bacteria"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Fecal coliform (most probable number/100 mL)"	NA	NA	NA	"FecalColiform_MPN_100mL"
"None"	"Coliform, Total"	"MPN/100 mL"	"TotalColiform_MPN_100mL"	1	"Bacteria"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total coliform (most probable number/100 mL)"	NA	NA	NA	"TotalColiform_MPN_100mL"
"Total"	"DDD(o,p')"	"ng/g dw"	"DDD_o_pprime_tot_ng_g_dw"	2	"DDT and metabolites"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"o,p'-DDD (ng/g dry weight)"	NA	NA	NA	"DDD_o_pprime_tot_ng_g_dw"
"Total"	"DDD(o,p')"	"ug/L"	"DDD_o_pprime_ug_L"	2	"DDT and metabolites"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"o,p'-DDD (µg/L)"	NA	NA	NA	"DDD_o_pprime_ug_L"
"Total"	"DDD(p,p')"	"ng/g dw"	"DDD_p_pprime_tot_ng_g_dw"	2	"DDT and metabolites"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"p,p'-DDD (ng/g dry weight)"	NA	NA	NA	"DDD_p_pprime_tot_ng_g_dw"
"Total"	"DDD(p,p')"	"ug/L"	"DDD_p_pprime_ug_L"	2	"DDT and metabolites"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"p,p'-DDD (µg/L)"	NA	NA	NA	"DDD_p_pprime_ug_L"
"Total"	"DDE(o,p')"	"ng/g dw"	"DDE_o_pprime_tot_ng_g_dw"	2	"DDT and metabolites"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"o,p'-DDE (ng/g dry weight)"	NA	NA	NA	"DDE_o_pprime_tot_ng_g_dw"
"Total"	"DDE(o,p')"	"ug/L"	"DDE_o_pprime_ug_L"	2	"DDT and metabolites"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"o,p'-DDE (µg/L)"	NA	NA	NA	"DDE_o_pprime_ug_L"
