"fxnname"	"condition"	"result"	"comment"
"getComparators"	"bc.dist <= 0.05"	35	"max bc.dist = 0.049161889"
"getSiteInfo"	"quality"	108	"Not degraded comparator samples available."
"getSiteInfo"	"quality"	78	"Degraded comparator samples available."
"getSiteInfo"	"quality"	0	"Site photos are not available."
"general"	"ChemStress"	1	"Chemistry stressors available."
"general"	"HabStress"	1	"Habitat stressors available."
"general"	"useModStress"	1	"Modeled stressors available."
"general"	"useBMI"	1	"BMI responses available."
"general"	"useALG"	1	"Algae responses available."
"Comparator outliers"	"DO_fld_mg_L"	76.3	"901SJOF1x value removed as an outlier. Transformation applied prior to identification as necessary."
"Comparator outliers"	"MaxMonthQ_Dry"	0	"901S00313 value removed as an outlier. Transformation applied prior to identification as necessary."
"Comparator outliers"	"MaxMonthQ_Wet"	0	"901S00313 value removed as an outlier. Transformation applied prior to identification as necessary."
"Comparator outliers"	"Q99_Average"	0	"901S00313 value removed as an outlier. Transformation applied prior to identification as necessary."
"Comparator outliers"	"Qmax_Dry"	0	"901S00313 value removed as an outlier. Transformation applied prior to identification as necessary."
"Comparator outliers"	"MaxMonthQ_Dry"	0	"SMC09325 value removed as an outlier. Transformation applied prior to identification as necessary."
"Comparator outliers"	"MaxMonthQ_Wet"	0	"SMC09325 value removed as an outlier. Transformation applied prior to identification as necessary."
"Comparator outliers"	"Q99_Average"	0	"SMC09325 value removed as an outlier. Transformation applied prior to identification as necessary."
"Comparator outliers"	"Qmax_Dry"	0	"SMC09325 value removed as an outlier. Transformation applied prior to identification as necessary."
"Comparator outliers"	"QmaxIDR_All"	0	"SMC09325 value removed as an outlier. Transformation applied prior to identification as necessary."
"All data outliers"	"pH_fld_SU"	52.895	"Value removed as an outlier for site 408WE0654 Transformation applied prior to identification as necessary."
"All data outliers"	"SpecificConductivity_fld_uS_cm"	2	"Value removed as an outlier for site 801CJW027 Transformation applied prior to identification as necessary."
"All data outliers"	"DO_fld_mg_L"	215.7	"Value removed as an outlier for site 801PCW048 Transformation applied prior to identification as necessary."
"All data outliers"	"Alkalinity_CaCO3_fld_mg_L"	1.4	"Value removed as an outlier for site 801PCW171 Transformation applied prior to identification as necessary."
"All data outliers"	"Turbidity_fld_NTU"	0	"Value removed as an outlier for site 802S09698 Transformation applied prior to identification as necessary."
"All data outliers"	"SpecificConductivity_fld_uS_cm"	2.1	"Value removed as an outlier for site 907S02774 Transformation applied prior to identification as necessary."
"All data outliers"	"Alkalinity_CaCO3_fld_mg_L"	0	"Value removed as an outlier for site LALT500 Transformation applied prior to identification as necessary."
"All data outliers"	"Turbidity_fld_NTU"	0	"Value removed as an outlier for site LALT503 Transformation applied prior to identification as necessary."
"All data outliers"	"Turbidity_fld_NTU"	0	"Value removed as an outlier for site SGUT504 Transformation applied prior to identification as necessary."
"All data outliers"	"Turbidity_fld_NTU"	0	"Value removed as an outlier for site SMC01676 Transformation applied prior to identification as necessary."
"All data outliers"	"WaterTemp_fld_degC"	18351	"Value removed as an outlier for site SMC03268 Transformation applied prior to identification as necessary."
