"Stressor"	"BioComm"	"Label"
"AFDM_algae_particulate_g_m2"	"ALGAE"	"Ash-free dry mass from algae (g/m2)"
"Chlor_a_particulate_mg_m2"	"ALGAE"	"Particulate chlorophyll a (mg/m2)"
"Chlor_a_particulate_ug_L"	"ALGAE"	"Particulate chlorophyll a (µg/L)"
"HighDur_Wet"	"ALGAE"	"Wet-season median longest # days flow > high-flow threshold (days/event)"
"MaxMonthQ_Wet"	"ALGAE"	"Wet-season maximum mean monthly streamflow (m3/s)"
"NoDisturb_Average"	"ALGAE"	"Avg median annual longest # days between the low- and high-flow threshold (days)"
"pH_fld_SU"	"ALGAE"	"Field-measured pH (SU)"
"Pheophytin_a_particulate_ug_L"	"ALGAE"	"Particulate pheophytin a (µg/L)"
"Q99_Average"	"ALGAE"	"Average 99th percentile of daily streamflow (m3/s)"
"RBI_Dry"	"ALGAE"	"Dry-season Richards-Baker Index (flashiness)"
