"Stressor"	"Label"
"AFDM_algae_particulate_g_m2"	"Ash-free dry mass from algae (g/m2)"
"Alkalinity_CaCO3_fld_mg_L"	"Field-measured alkalinity as calcium carbonate (mg/L)"
"Arsenic_f_ug_L"	"Dissolved arsenic (µg/L)"
"Arsenic_uf_ug_L"	"Total arsenic (µg/L)"
"Calcium_uf_mg_L"	"Total calcium (mg/L)"
"Chlor_a_particulate_mg_m2"	"Particulate chlorophyll a (mg/m2)"
"Chromium_tot_mg_kg_dw"	"Total chromium (mg/kg dry weight)"
"Ev_FlowHab_score"	"Evenness of flow habitat types"
"H_SubNat_score"	"Shannon diversity of natural substrate types"
"Hardness_CaCO3_f_mg_L"	"Dissolved hardness as calcium carbonate (mg/L)"
"Nickel_f_ug_L"	"Dissolved nickel (µg/L)"
"Nickel_tot_mg_kg_dw"	"Total nickel (mg/kg dry weight)"
"Nickel_uf_ug_L"	"Total nickel (µg/L)"
"NoDisturb_Average"	"Avg median annual longest # days between the low- and high-flow threshold (days)"
"Selenium_f_ug_L"	"Dissolved selenium (µg/L)"
"Silica_SiO2_f_mg_L"	"Dissolved silica as SiO2 (mg/L)"
"SpecificConductivity_fld_uS_cm"	"Field-measured specific conductivity (µS/cm)"
