"StationID_Master"	"FinalLatitude"	"FinalLongitude"	"Cluster"	"BioComm"	"BioDeg"	"IndexScore"	"RespSampID"	"StressorType"	"StressSampID"	"Stressor"	"StressorValue"	"StressorPctRank"	"WoE"	"TS_barplot"	"CO_boxplot"	"SR_InCase_LogRegr"	"SR_InCase_LinRegr"	"SR_OutCase_LinRegr"	"VP_boxplot_senstaxa"	"VP_boxplot_toltaxa"	"SSD_ToxicityCurve"
"403STCPRU"	34.40894	-118.78483	5	"BMI"	"No"	0.836638564	"403STCPRU_11/7/2001_BMI_CSBP_Trans_1"	"Metals_metalloids"	"403STCPRU_2001-11-01"	"Aluminum_uf_ug_L"	136	0.896551724137931	"Indeterminate"	"NE"	"1"	0	"0"	"0"	"NE"	"NE"	"NE"
"403STCPRU"	34.40894	-118.78483	5	"BMI"	"No"	0.836638564	"403STCPRU_11/7/2001_BMI_CSBP_Trans_1"	"Metals_metalloids"	"403STCPRU_2001-11-01"	"Aluminum_tot_mg_kg_dw"	47200	0.75	"Refutes"	"NE"	"-1"	-1	"0"	"0"	"NE"	"NE"	"NE"
"403STCPRU"	34.40894	-118.78483	5	"BMI"	"No"	0.836638564	"403STCPRU_11/7/2001_BMI_CSBP_Trans_1"	"Metals_metalloids"	"403STCPRU_2001-11-01"	"Arsenic_tot_mg_kg_dw"	7.14	0.785714285714286	"Indeterminate"	"NE"	"1"	0	"0"	"0"	"NE"	"NE"	"NE"
"403STCPRU"	34.40894	-118.78483	5	"BMI"	"No"	0.836638564	"403STCPRU_11/7/2001_BMI_CSBP_Trans_1"	"Metals_metalloids"	"403STCPRU_2001-11-01"	"Cadmium_tot_mg_kg_dw"	2.07	1	"Supports"	"NE"	"1"	-1	"0"	"1"	"NE"	"NE"	"NE"
"403STCPRU"	34.40894	-118.78483	5	"BMI"	"No"	0.836638564	"403STCPRU_11/7/2001_BMI_CSBP_Trans_1"	"Metals_metalloids"	"403STCPRU_2001-11-01"	"Chromium_ug_L"	1.835	0.892857142857143	"Indeterminate"	"NE"	"1"	0	"0"	"0"	"NE"	"NE"	"NE"
"403STCPRU"	34.40894	-118.78483	5	"BMI"	"No"	0.836638564	"403STCPRU_11/7/2001_BMI_CSBP_Trans_1"	"Metals_metalloids"	"403STCPRU_2001-11-01"	"Chromium_tot_mg_kg_dw"	39.8	0.857142857142857	"Indeterminate"	"NE"	"0"	-1	"0"	"0"	"NE"	"NE"	"NE"
"403STCPRU"	34.40894	-118.78483	5	"BMI"	"No"	0.836638564	"403STCPRU_11/7/2001_BMI_CSBP_Trans_1"	"Metals_metalloids"	"403STCPRU_2001-11-01"	"Manganese_uf_ug_L"	31.6	0.862068965517241	"Indeterminate"	"NE"	"1"	0	"0"	"0"	"NE"	"NE"	"NE"
"403STCPRU"	34.40894	-118.78483	5	"BMI"	"No"	0.836638564	"403STCPRU_11/7/2001_BMI_CSBP_Trans_1"	"Metals_metalloids"	"403STCPRU_2001-11-01"	"Mercury_tot_mg_kg_dw"	0.171	1	"Refutes"	"NE"	"NE"	-1	"NE"	"NE"	"NE"	"NE"	"NE"
"403STCPRU"	34.40894	-118.78483	5	"BMI"	"No"	0.836638564	"403STCPRU_11/7/2001_BMI_CSBP_Trans_1"	"Metals_metalloids"	"403STCPRU_2001-11-01"	"Nickel_tot_mg_kg_dw"	22.1	0.857142857142857	"Indeterminate"	"NE"	"1"	0	"0"	"0"	"NE"	"NE"	"NE"
"403STCPRU"	34.40894	-118.78483	5	"BMI"	"No"	0.836638564	"403STCPRU_11/7/2001_BMI_CSBP_Trans_1"	"Metals_metalloids"	"403STCPRU_2001-11-01"	"Silver_tot_mg_kg_dw"	0.32	0.9	"Supports"	"NE"	"1"	0	"1"	"0"	"NE"	"NE"	"NE"
"403STCPRU"	34.40894	-118.78483	5	"BMI"	"No"	0.836638564	"403STCPRU_11/7/2001_BMI_CSBP_Trans_1"	"Sediment general"	"403STCPRU_2001-11-01"	"Clay_LT0_005mm_pct"	13.5	1	"Refutes"	"NE"	"NE"	-1	"NE"	"NE"	"NE"	"NE"	"NE"
"403STCPRU"	34.40894	-118.78483	5	"BMI"	"No"	0.836638564	"403STCPRU_11/7/2001_BMI_CSBP_Trans_1"	"Sediment general"	"403STCPRU_2001-11-01"	"Silt_0_005_LT0_075mm_pct"	47.3	1	"Refutes"	"NE"	"NE"	-1	"NE"	"NE"	"NE"	"NE"	"NE"
