"StressorGroup"	"Stressor"	"Label"	"Weight"
"Habitat"	"Ev_FlowHab_score"	"Evenness of flow habitat types"	1
"Habitat"	"H_AqHab_score"	"Shannon diversity of natural in-channel cover types"	1
"Habitat"	"H_SubNat_score"	"Shannon diversity of natural substrate types"	1
"Habitat"	"IPI"	"Index of physical habitat integrity"	1
"Habitat"	"PCT_SAFN_score"	"Percent sand and fine substrate"	1
"Habitat"	"XCMG_score"	"Riparian cover (sum of three layers)"	1
"Ions"	"Calcium_f_mg_L"	"Dissolved calcium (mg/L)"	1
"Ions"	"Calcium_uf_mg_L"	"Total calcium (mg/L)"	1
"Ions"	"Chloride_f_mg_L"	"Dissolved chloride (mg/L)"	1
"Ions"	"Potassium_f_mg_L"	"Dissolved potassium (mg/L)"	1
"Ions"	"Sodium_f_mg_L"	"Dissolved sodium (mg/L)"	1
"Ions"	"Sulfate_f_mg_L"	"Dissolved sulfate (mg/L)"	1
"Metals_metalloids"	"Aluminum_f_ug_L"	"Dissolved aluminum (µg/L)"	1
"Metals_metalloids"	"Aluminum_uf_ug_L"	"Total aluminum (µg/L)"	1
"Metals_metalloids"	"Arsenic_f_ug_L"	"Dissolved arsenic (µg/L)"	1
"Metals_metalloids"	"Arsenic_uf_ug_L"	"Total arsenic (µg/L)"	1
"Metals_metalloids"	"Cadmium_f_ug_L"	"Dissolved cadmium (µg/L)"	1
"Metals_metalloids"	"Cadmium_tot_mg_kg_dw"	"Total cadmium (mg/kg dry weight)"	1
"Metals_metalloids"	"Cadmium_uf_ug_L"	"Total cadmium (µg/L)"	1
"Metals_metalloids"	"Chromium_f_ug_L"	"Dissolved chromium (µg/L)"	1
"Metals_metalloids"	"Copper_f_ug_L"	"Dissolved copper (µg/L)"	1
"Metals_metalloids"	"Copper_uf_ug_L"	"Total copper (µg/L)"	1
"Metals_metalloids"	"Iron_f_ug_L"	"Dissolved iron (µg/L)"	1
"Metals_metalloids"	"Lead_tot_mg_kg_dw"	"Total lead (mg/kg dry weight)"	1
"Metals_metalloids"	"Lead_uf_ug_L"	"Total lead (µg/L)"	1
