"StationID_Master"	"ChemSampleID"	"Arsenic_inorg_f_ug_L"	"Arsenic_inorg_uf_ug_L"	"CaCO3_uf_mg_L"	"Calcium_uf_mg_L"	"Carbon_f_mg_L"	"Carbon_uf_mg_L"	"Chloride_uf_mg_L"	"Copper_uf_ug_L"	"CrossSectionalArea_calc"	"Depth_ft"	"DO_f_%"	"DO_f_mg_L"	"Ecoli_uf_CFU_100"	"Flow_cfs"	"Flow_ft_sec"	"Hardness_CaCO3_MgCO3_calc_mg_L"	"HydrogenCarbonate_uf_mg_L"	"Kjeldahl_N_uf_mg_L"	"Lead_cmpdsInorg_uf_mg_L"	"Magnesium_uf_mg_L"	"Manganese_uf_ug_L"	"Mercury_elemental_uf_mg_L"	"NH3_N_uf_mg_L"	"NO3NO2_uf_mg_L"	"pH_SU"	"Phosphorus_uf_mg_L"	"Potassium_uf_mg_L"	"Sodium_uf_mg_L"	"SpecCond_umhos_cm"	"StreamWidth_ft"	"Sulfate_uf_mg_L"	"TDS_f_mg_L"	"Temp_degC"	"TSS_susp_mg_L"	"Turbidity_NTU"
"1"	"LCBEN002.57"	"LCBEN002.57_2006-11-15"	NA	NA	0.862903225806452	0.9064039408867	NA	NA	NA	NA	NA	0.0285714285714286	0.270588235294118	0.701960784313725	0.291139240506329	0.0992647058823529	0.46078431372549	0.880239520958084	0.903225806451613	NA	NA	0.798657718120805	NA	NA	0.193548387096774	NA	0.6	0.253246753246753	0.246153846153846	0.941747572815534	0.802919708029197	0.127962085308057	0.486910994764398	0.849593495934959	0.0942028985507246	NA	0.0205761316872428
"2"	"LCBEN002.57"	"LCBEN002.57_2007-04-05"	NA	NA	0.67741935483871	0.768472906403941	NA	NA	NA	NA	0.104651162790698	0.233333333333333	0.164705882352941	0.533333333333333	NA	0.1875	0.294117647058824	0.70059880239521	0.741935483870968	0.1328125	NA	0.677852348993289	NA	NA	NA	NA	0.661818181818182	0.292207792207792	0.223076923076923	0.859223300970874	0.726277372262774	0.175355450236967	NA	0.845528455284553	0.380434782608696	NA	0.0864197530864197
"3"	"LCBEN002.57"	"LCBEN002.57_2007-05-09"	NA	NA	0.653225806451613	0.724137931034483	NA	NA	NA	NA	NA	0.257142857142857	0.0941176470588235	0.749019607843137	NA	0.419117647058824	0.617647058823529	0.67065868263473	0.717741935483871	NA	NA	0.597315436241611	NA	NA	NA	NA	0.709090909090909	0.292207792207792	0.576923076923077	0.79126213592233	0.682481751824818	0.364928909952607	0	0.711382113821138	0.0760869565217391	NA	0.358024691358025
"4"	"LCBIL000.01"	"LCBIL000.01_2009-09-22"	1	0.833333333333333	0.887096774193548	0.866995073891626	NA	NA	0.932584269662921	NA	0.546511627906977	0.538095238095238	0.945098039215686	0.584313725490196	0.316455696202532	0.356617647058824	0.166666666666667	0.934131736526946	0.870967741935484	NA	NA	0.973154362416107	0.961832061068702	NA	NA	NA	0.872727272727273	NA	NA	0.941747572815534	0.923357664233577	0.559241706161137	0.612565445026178	0.910569105691057	0.865942028985507	0.847953216374269	0.975308641975309
"5"	"LCBIL000.01"	"LCBIL000.01_2010-03-09"	NA	NA	0.693548387096774	0.788177339901478	NA	NA	0.764044943820225	NA	NA	1	0.176470588235294	0.396078431372549	0.316455696202532	0.996323529411765	1	0.802395209580838	0.637096774193548	NA	NA	0.852348993288591	0.526717557251908	NA	NA	NA	0.792727272727273	NA	NA	0.825242718446602	0.715328467153285	1	0.575916230366492	0.695121951219512	0.0833333333333333	0.625730994152047	0.876543209876543
"6"	"LCBIL000.01"	"LCBIL000.01_2010-05-06"	0.571428571428571	0.333333333333333	0.887096774193548	0.950738916256158	NA	NA	0.932584269662921	NA	0.755813953488372	0.876190476190476	0.992156862745098	0.811764705882353	NA	0.753676470588235	0.431372549019608	0.934131736526946	0.870967741935484	NA	NA	0.953020134228188	0.549618320610687	NA	NA	NA	0.974545454545454	NA	NA	0.922330097087379	0.854014598540146	0.71563981042654	0.732984293193717	1	0.77536231884058	0.538011695906433	0.736625514403292
"7"	"LCBIL000.15"	"LCBIL000.15_2013-09-17"	NA	NA	NA	0.935960591133005	NA	NA	0.887640449438202	NA	0.517441860465116	0.371428571428571	0.486274509803922	0.0627450980392157	0.772151898734177	0.367647058823529	NA	0.916167664670659	NA	0.6875	NA	0.953020134228188	0.824427480916031	NA	0.516129032258065	NA	0.905454545454545	NA	NA	0.956310679611651	0.883211678832117	0.635071090047393	0.267015706806283	0.894308943089431	0.847826086956522	0.883040935672515	0.864197530864197
"8"	"LCBIL000.15"	"LCBIL000.15_2013-11-13"	NA	NA	NA	0.940886699507389	NA	NA	0.97752808988764	NA	0.674418604651163	0.733333333333333	0.458823529411765	0.596078431372549	NA	0.779411764705882	NA	0.952095808383233	NA	0.8828125	NA	0.979865771812081	0.358778625954198	NA	NA	NA	0.92	NA	0.938461538461538	0.956310679611651	0.948905109489051	0.635071090047393	0.759162303664921	0.926829268292683	0.253623188405797	0.339181286549708	0.481481481481481
"9"	"LCBIL000.15"	"LCBIL000.15_2014-03-24"	NA	NA	NA	0.96551724137931	NA	NA	1	NA	0.779069767441861	0.771428571428571	0.949019607843137	0.96078431372549	NA	0.639705882352941	NA	0.976047904191617	NA	NA	NA	0.993288590604027	0.122137404580153	NA	NA	NA	0.956363636363636	NA	0.969230769230769	0.970873786407767	0.970802919708029	0.819905213270142	0.759162303664921	0.943089430894309	0.58695652173913	0.146198830409357	0.271604938271605
"10"	"LCBIL000.15"	"LCBIL000.15_2014-05-13"	0.571428571428571	0.5	NA	0.970443349753695	NA	NA	0.966292134831461	NA	0.372093023255814	0.176190476190476	0.109803921568627	0.47843137254902	0.550632911392405	0.286764705882353	NA	0.994011976047904	NA	0.671875	NA	1	0.541984732824427	NA	NA	NA	0.861818181818182	0.0714285714285714	NA	0.975728155339806	0.985401459854015	0.62085308056872	0.759162303664921	0.959349593495935	0.485507246376812	0.567251461988304	0.320987654320988
